[GNV | EN | OT | Proverbs | Chapter 3 | Verse 1] My sonne, forget not thou my Lawe, but let thine heart keepe my commandements.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 2] For they shall increase the length of thy dayes and the yeeres of life, and thy prosperitie.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 3] Let not mercie and trueth forsake thee: binde them on thy necke, and write them vpon the table of thine heart.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 4] So shalt thou finde fauour and good vnderstanding in the sight of God and man.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 5] Trust in the Lord with all thine heart, and leane not vnto thine owne wisdome.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 6] In all thy wayes acknowledge him, and he shall direct thy wayes.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 7] Be not wise in thine owne eyes: but feare the Lord, and depart from euill.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 8] So health shalbe vnto thy nauel, and marowe vnto thy bones.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 9] Honour the Lord with thy riches, and with the first fruites of all thine increase.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 10] So shall thy barnes be filled with abundance, and thy presses shall burst with newe wine.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 11] My sonne, refuse not the chastening of the Lord, neither be grieued with his correction.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 12] For the Lord correcteth him, whome he loueth, euen as the father doeth the childe in whom he deliteth.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 13] Blessed is the man that findeth wisedome, and the man that getteth vnderstanding.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 14] For the marchandise thereof is better then the marchandise of siluer, and the gaine thereof is better then golde.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 15] It is more precious then pearles: and all things that thou canst desire, are not to be compared vnto her.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 16] Length of dayes is in her right hand, and in her left hand riches and glory.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 17] Her wayes are wayes of pleasure, and all her pathes prosperitie.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 18] She is a tree of life to them that lay holde on her, and blessed is he that retaineth her.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 19] The Lord by wisdome hath layde the foundation of the earth, and hath stablished the heauens through vnderstanding.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 20] By his knowledge the depthes are broken vp, and the cloudes droppe downe the dewe.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 21] My sonne, let not these things depart from thine eyes, but obserue wisdome, and counsell.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 22] So they shalbe life to thy soule, and grace vnto thy necke.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 23] Then shalt thou walke safely by thy way: and thy foote shall not stumble.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 24] If thou sleepest, thou shalt not bee afraide, and when thou sleepest, thy sleepe shalbe sweete.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 25] Thou shalt not feare for any sudden feare, neither for the destruction of the wicked, when it commeth.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 26] For the Lord shall be for thine assurance, and shall preserue thy foote from taking.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 27] Withhold not the good from the owners thereof, though there be power in thine hand to doe it.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 28] Say not vnto thy neighbour, Go and come againe, and to morow wil I giue thee, if thou now haue it.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 29] Intend none hurt against thy neighbour, seeing he doeth dwell without feare by thee.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 30] Striue not with a man causelesse, when he hath done thee no harme.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 31] Bee not enuious for the wicked man, neither chuse any of his wayes.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 32] For the frowarde is abomination vnto the Lord: but his secret is with the righteous.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 33] The curse of the Lord is in the house of the wicked: but he blesseth the habitation of the righteous.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 34] With the scornefull he scorneth, but hee giueth grace vnto the humble.
[GNV | EN | OT | Proverbs | Chapter 3 | Verse 35] The wise shall inherite glorie: but fooles dishonour, though they be exalted.
