[GNV | EN | OT | Proverbs | Chapter 26 | Verse 1] As the snowe in the sommer, and as the raine in the haruest are not meete, so is honour vnseemely for a foole.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 2] As the sparowe by flying, and the swallow by flying escape, so the curse that is causeles, shall not come.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 3] Vnto the horse belongeth a whip, to the asse a bridle, and a rod to the fooles backe.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 4] Answer not a foole according to his foolishnes, least thou also be like him.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 5] Answere a foole according to his foolishnes, least he be wise in his owne conceite.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 6] He that sendeth a message by the hand of a foole, is as he that cutteth off the feete, and drinketh iniquitie.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 7] As they that lift vp the legs of the lame, so is a parable in a fooles mouth.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 8] As the closing vp of a precious stone in an heape of stones, so is he that giueth glory to a foole.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 9] As a thorne standing vp in the hand of a drunkard, so is a parable in the mouth of fooles.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 10] The excellent that formed all things, both rewardeth the foole and rewardeth the transgressers.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 11] As a dog turneth againe to his owne vomit, so a foole turneth to his foolishnes.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 12] Seest thou a man wise in his owne conceite? more hope is of a foole then of him.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 13] The slouthfull man sayth, A lyon is in the way: a lyon is in the streetes.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 14] As the doore turneth vpon his hinges, so doeth the slouthfull man vpon his bed.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 15] The slouthfull hideth his hand in his bosome, and it grieueth him to put it againe to his mouth.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 16] The sluggard is wiser in his owne conceite, then seuen men that can render a reason.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 17] He that passeth by and medleth with the strife that belongeth not vnto him, is as one that taketh a dog by the eares.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 18] As he that faineth himselfe mad, casteth fire brands, arrowes, and mortall things,
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 19] So dealeth the deceitfull man with his friend and sayth, Am not I in sport?
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 20] Without wood the fire is quenched, and without a talebearer strife ceaseth.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 21] As ye cole maketh burning coles, and wood a fire, so the contentious man is apt to kindle strife.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 22] The wordes of a tale bearer are as flatterings, and they goe downe into the bowels of the belly.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 23] As siluer drosse ouerlayde vpon a potsheard, so are burning lips, and an euill heart.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 24] He that hateth, will counterfaite with his lips, but in his heart he layeth vp deceite.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 25] Though he speake fauourably, beleeue him not: for there are seuen abominations in his heart.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 26] Hatred may be couered by deceite: but the malice thereof shall be discouered in the congregation.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 27] He that diggeth a pit shall fall therein, and he that rolleth a stone, it shall returne vnto him.
[GNV | EN | OT | Proverbs | Chapter 26 | Verse 28] A false tongue hateth the afflicted, and a flattering mouth causeth ruine.
