[GNV | EN | OT | Proverbs | Chapter 20 | Verse 1] Wine is a mocker and strong drinke is raging: and whosoeuer is deceiued thereby, is not wise.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 2] The feare of the King is like the roaring of a lyon: hee that prouoketh him vnto anger, sinneth against his owne soule.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 3] It is a mans honour to cease from strife: but euery foole will be medling.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 4] The slouthfull will not plowe, because of winter: therefore shall he beg in sommer, but haue nothing.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 5] The counsell in the heart of man is like deepe waters: but a man that hath vnderstanding, will drawe it out.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 6] Many men wil boast, euery one of his owne goodnes: but who can finde a faithfull man?
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 7] He that walketh in his integritie, is iust: and blessed shall his children be after him.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 8] A King that sitteth in the throne of iudgement, chaseth away all euill with his eyes.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 9] Who can say, I haue made mine heart cleane, I am cleane from my sinne?
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 10] Diuers weightes, and diuers measures, both these are euen abomination vnto the Lord.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 11] A childe also is knowen by his doings, whether his worke be pure and right.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 12] The Lord hath made both these, euen the eare to heare, and the eye to see.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 13] Loue not sleepe least thou come vnto pouertie: open thine eyes, and thou shalt be satisfied with bread.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 14] It is naught, it is naught, sayth the buyer: but when he is gone apart, he boasteth.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 15] There is golde, and a multitude of precious stones: but the lips of knowledge are a precious iewel.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 16] Take his garment, that is suretie for a stranger, and a pledge of him for the stranger.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 17] The bread of deceit is sweete to a man: but afterward his mouth shalbe filled with grauel.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 18] Establish the thoughtes by counsell: and by counsell make warre.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 19] He that goeth about as a slanderer, discouereth secrets: therefore meddle not with him that flattereth with his lips.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 20] He that curseth his father or his mother, his light shalbe put out in obscure darkenes.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 21] An heritage is hastely gotten at the beginning, but the end thereof shall not be blessed.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 22] Say not thou, I wil recompense euill: but waite vpon the Lord, and he shall saue thee.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 23] Diuers weightes are an abomination vnto the Lord, and deceitful balances are not good.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 24] The steps of man are ruled by the Lord: how can a man then vnderstand his owne way?
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 25] It is a destruction for a man to deuoure that which is sanctified, and after the vowes to inquire.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 26] A wise King scattereth the wicked, and causeth the wheele to turne ouer them.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 27] The light of the Lord is the breath of man, and searcheth all the bowels of the belly.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 28] Mercie and trueth preserue the King: for his throne shall be established with mercie.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 29] The beautie of yong men is their strength, and the glory of the aged is the gray head.
[GNV | EN | OT | Proverbs | Chapter 20 | Verse 30] The blewnes of the wound serueth to purge the euill, and the stripes within the bowels of the belly.
