[ASV | EN | NT | Ephesians | Chapter 5 | Verse 1] Be ye therefore imitators of God, as beloved children;
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 2] and walk in love, even as Christ also loved us, and gave himself up for us, an offering and a sacrifice to God for an odor of a sweet smell.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 3] But fornication, and all uncleanness, or covetousness, let it not even be named among you, as becometh saints;
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 4] nor filthiness, nor foolish talking, or jesting, things that are not befitting: but rather giving of thanks.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 5] For this ye know, that no fornicator, nor unclean person, nor covetous man, who is an idolater, hath any inheritance in the kingdom of Christ and God.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 6] Let no man deceive you with empty words: for because of these things cometh the wrath of God upon the sons of disobedience.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 7] Be not ye therefore partakers with them;
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 8] for ye were once darkness, but are now light in the Lord: walk as children of light
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 9] (for the fruit of the Spirit is in all goodness and righteousness and truth),
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 10] proving what is well-pleasing unto the Lord;
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 11] and have no fellowship with the unfruitful works of darkness, but rather even reprove them;
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 12] for the things which are done by them in secret it is a shame even to speak of.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 13] But all things when they are reproved are made manifest by the light: for everything that is made manifest is light.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 14] Wherefore he saith, Awake, thou that sleepest, and arise from the dead, and Christ shall shine upon thee.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 15] See then that ye walk carefully, not as unwise, but as wise;
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 16] redeeming the time, because the days are evil.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 17] Wherefore be ye not foolish, but understanding what the will of the Lord is.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 18] And be not drunken with wine, wherein is riot, but be filled with the Spirit;
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 19] speaking one to another in psalms and hymns and spiritual songs, singing and making melody with your heart to the Lord;
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 20] giving thanks always for all things in the name of our Lord Jesus Christ to God, even the Father;
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 21] subjecting yourselves one to another in the fear of Christ.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 22] Wives, be in subjection unto your own husbands, as unto the Lord.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 23] For the husband is the head of the wife, as Christ also is the head of the church, and he is the savior of the body.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 24] But as the church is subject to Christ, so let the wives also be to their own husbands in everything.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 25] Husbands, love your own wives, even as Christ also loved the church, and gave himself up for it;
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 26] that he might sanctify it, having cleansed it by the washing of water with the word,
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 27] that he might present it to himself a glorious church, not having spot or wrinkle or any such thing; but that it should be holy and without blemish.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 28] So ought husbands to love their own wives as their own bodies. He that loveth his own wife loveth himself:
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 29] for no man ever hated his own flesh; but nourisheth and cherisheth it, even as the Lord also the church;
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 30] because we are members of his body, of his flesh, and of his bones.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 31] For this cause shall a man leave his father and mother, and shall cleave to his wife; and the two shall become one flesh.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 32] This mystery is great: but I speak in regard of Christ and of the church.
[ASV | EN | NT | Ephesians | Chapter 5 | Verse 33] Nevertheless do ye also severally love each one his own wife even as himself; and let the wife see that she fear her husband.
