[ASV | EN | NT | Ephesians | Chapter 3 | Verse 1] For this cause I Paul, the prisoner of Christ Jesus in behalf of you Gentiles—
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 2] if so be that ye have heard of the dispensation of that grace of God which was given me to you-ward;
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 3] how that by revelation he made known unto me the mystery, as I wrote before in few words,
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 4] whereby, when ye read, ye can perceive my understanding in the mystery of Christ;
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 5] which in other generations was not made known unto the sons of men, as it hath now been revealed unto his holy apostles and prophets in the Spirit;
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 6] to wit, that the Gentiles are fellow heirs, and fellow members of the body, and fellow partakers of his promise in Christ through the gospel,
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 7] whereof I became a minister, according to the gift of that grace of God which was given me according to the working of his power.
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 8] Unto me, who am less than the least of all saints, was this grace given, to preach among the Gentiles the unsearchable riches of Christ;
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 9] and to make all men see what is the dispensation of the mystery which for ages hath been hidden in God who created all things through Jesus Christ;
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 10] to the intent that now unto the principalities and the powers in the heavenly places might be made known through the church the manifold wisdom of God,
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 11] according to the eternal purpose which he purposed in Christ Jesus our Lord:
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 12] in whom we have boldness and access in confidence through our faith in him.
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 13] Wherefore I ask that ye may not faint at my tribulations for you, which are your glory.
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 14] For this cause I bow my knees unto the Father of our Lord Jesus Christ,
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 15] from whom every family in heaven and on earth is named,
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 16] that he would grant you, according to the riches of his glory, that ye may be strengthened with power through his Spirit in the inward man;
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 17] that Christ may dwell in your hearts through faith;
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 18] to the end that ye, being rooted and grounded in love, may be strong to apprehend with all the saints what is the breadth and length and depth and height,
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 19] and to know the love of Christ which passeth knowledge, that ye may be filled unto all the fullness of God.
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 20] Now unto him that is able to do exceeding abundantly above all that we ask or think, according to the power that worketh in us,
[ASV | EN | NT | Ephesians | Chapter 3 | Verse 21] unto him be the glory in the church in Christ Jesus unto all generations forever and ever. Amen.
