[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 1] In the four hundred and eightieth year after the children of Israel had come out of the land of Egypt, in the fourth year of Solomon’s reign over Israel, in the month Ziv, which is the second month, he began to build the LORD’s house.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 2] The house which King Solomon built for the LORD had a length of sixty cubits, and its width twenty, and its height thirty cubits.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 3] The porch in front of the temple of the house had a length of twenty cubits, which was along the width of the house. Ten cubits was its width in front of the house.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 4] He made windows of fixed lattice work for the house.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 5] Against the wall of the house, he built floors all around, against the walls of the house all around, both of the temple and of the inner sanctuary; and he made side rooms all around.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 6] The lowest floor was five cubits wide, and the middle was six cubits wide, and the third was seven cubits wide; for on the outside he made offsets in the wall of the house all around, that the beams should not be inserted into the walls of the house.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 7] The house, when it was under construction, was built of stone prepared at the quarry; and no hammer or ax or any tool of iron was heard in the house while it was under construction.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 8] The door for the middle side rooms was in the right side of the house. They went up by winding stairs into the middle floor, and out of the middle into the third.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 9] So he built the house and finished it; and he covered the house with beams and planks of cedar.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 10] He built the floors all along the house, each five cubits high; and they rested on the house with timbers of cedar.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 11] The LORD’s word came to Solomon, saying,
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 12] “Concerning this house which you are building, if you will walk in my statutes, and execute my ordinances, and keep all my commandments to walk in them, then I will establish my word with you, which I spoke to David your father.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 13] I will dwell among the children of Israel, and will not forsake my people Israel.”
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 14] So Solomon built the house and finished it.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 15] He built the walls of the house within with boards of cedar; from the floor of the house to the walls of the ceiling, he covered them on the inside with wood. He covered the floor of the house with cypress boards.
