[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 1] The word that Jehovah spake concerning Babylon, concerning the land of the Chaldeans, by Jeremiah the prophet.
[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 2] Declare ye among the nations and publish, and set up a standard; publish, and conceal not: say, Babylon is taken, Bel is put to shame, Merodach is dismayed; her images are put to shame, her idols are dismayed.
[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 3] For out of the north there cometh up a nation against her, which shall make her land desolate, and none shall dwell therein: they are fled, they are gone, both man and beast.
[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 4] In those days, and in that time, saith Jehovah, the children of Israel shall come, they and the children of Judah together; they shall go on their way weeping, and shall seek Jehovah their God.
[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 5] They shall inquire concerning Zion with their faces thitherward, saying, Come ye, and join yourselves to Jehovah in an everlasting covenant that shall not be forgotten.
[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 6] My people have been lost sheep: their shepherds have caused them to go astray; they have turned them away on the mountains; they have gone from mountain to hill; they have forgotten their resting place.
[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 7] All that found them have devoured them; and their adversaries said, We are not guilty, because they have sinned against Jehovah, the habitation of righteousness, even Jehovah, the hope of their fathers.
[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 8] Flee out of the midst of Babylon, and go forth out of the land of the Chaldeans, and be as the he-goats before the flocks.
[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 9] For, lo, I will stir up and cause to come up against Babylon a company of great nations from the north country; and they shall set themselves in array against her; from thence she shall be taken: their arrows shall be as of an expert mighty man; none shall return in vain.
[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 10] And Chaldea shall be a prey: all that prey upon her shall be satisfied, saith Jehovah.
[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 11] Because ye are glad, because ye rejoice, O ye that plunder my heritage, because ye are wanton as a heifer that treadeth out the grain, and neigh as strong horses;
[ASV | EN | OT | Jeremiah | Chapter 50 | Verse 12] your mother shall be utterly put to shame; she that bare you shall be confounded: behold, she shall be the hindermost of the nations, a wilderness, a dry land, and a desert.
