[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 1] The word of Jehovah which came to Jeremiah the prophet concerning the nations.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 2] Of Egypt: concerning the army of Pharaoh Neco king of Egypt, which was by the river Euphrates in Carchemish, which Nebuchadnezzar king of Babylon smote in the fourth year of Jehoiakim the son of Josiah, king of Judah.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 3] Prepare ye the buckler and shield, and draw near to battle.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 4] Harness the horses, and get up, ye horsemen, and stand forth with your helmets; furbish the spears, put on the coats of mail.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 5] Wherefore have I seen it? they are dismayed and are turned backward; and their mighty ones are beaten down, and are fled apace, and look not back: terror is on every side, saith Jehovah.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 6] Let not the swift flee away, nor the mighty man escape; in the north by the river Euphrates have they stumbled and fallen.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 7] Who is this that riseth up like the Nile, whose waters toss themselves like the rivers?
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 8] Egypt riseth up like the Nile, and his waters toss themselves like the rivers: and he saith, I will rise up, I will cover the earth; I will destroy cities and the inhabitants thereof.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 9] Go up, ye horses; and rage, ye chariots; and let the mighty men go forth: Cush and Put, that handle the shield; and the Ludim, that handle and bend the bow.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 10] For that day is a day of the Lord, Jehovah of hosts, a day of vengeance, that he may avenge him of his adversaries: and the sword shall devour and be satiate, and shall drink its fill of their blood; for the Lord, Jehovah of hosts, hath a sacrifice in the north country by the river Euphrates.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 11] Go up into Gilead, and take balm, O virgin daughter of Egypt: in vain dost thou use many medicines; there is no healing for thee.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 12] The nations have heard of thy shame, and the earth is full of thy cry; for the mighty man hath stumbled against the mighty, they are fallen both of them together.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 13] The word that Jehovah spake to Jeremiah the prophet, how that Nebuchadnezzar king of Babylon should come and smite the land of Egypt.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 14] Declare ye in Egypt, and publish in Migdol, and publish in Memphis and in Tahpanhes: say ye, Stand forth, and prepare thee; for the sword hath devoured round about thee.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 15] Why are thy strong ones swept away? they stood not, because Jehovah did drive them.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 16] He made many to stumble, yea, they fell one upon another: and they said, Arise, and let us go again to our own people, and to the land of our nativity, from the oppressing sword.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 17] They cried there, Pharaoh king of Egypt is but a noise; he hath let the appointed time pass by.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 18] As I live, saith the King, whose name is Jehovah of hosts, surely like Tabor among the mountains, and like Carmel by the sea, so shall he come.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 19] O thou daughter that dwellest in Egypt, furnish thyself to go into captivity; for Memphis shall become a desolation, and shall be burnt up, without inhabitant.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 20] Egypt is a very fair heifer; but destruction out of the north is come, it is come.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 21] Also her hired men in the midst of her are like calves of the stall; for they also are turned back, they are fled away together, they did not stand: for the day of their calamity is come upon them, the time of their visitation.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 22] The sound thereof shall go like the serpent; for they shall march with an army, and come against her with axes, as hewers of wood.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 23] They shall cut down her forest, saith Jehovah, though it cannot be searched; because they are more than the locusts, and are innumerable.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 24] The daughter of Egypt shall be put to shame; she shall be delivered into the hand of the people of the north.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 25] Jehovah of hosts, the God of Israel, saith: Behold, I will punish Amon of No, and Pharaoh, and Egypt, with her gods, and her kings; even Pharaoh, and them that trust in him:
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 26] and I will deliver them into the hand of those that seek their lives, and into the hand of Nebuchadnezzar king of Babylon, and into the hand of his servants; and afterward it shall be inhabited, as in the days of old, saith Jehovah.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 27] But fear not thou, O Jacob my servant, neither be dismayed, O Israel: for, lo, I will save thee from afar, and thy seed from the land of their captivity; and Jacob shall return, and shall be quiet and at ease, and none shall make him afraid.
[ASV | EN | OT | Jeremiah | Chapter 46 | Verse 28] Fear not thou, O Jacob my servant, saith Jehovah; for I am with thee: for I will make a full end of all the nations whither I have driven thee; but I will not make a full end of thee, but I will correct thee in measure, and will in no wise leave thee unpunished.
