[ASV | EN | OT | Numbers | Chapter 7 | Verse 1] And it came to pass on the day that Moses had made an end of setting up the tabernacle, and had anointed it and sanctified it, and all the furniture thereof, and the altar and all the vessels thereof, and had anointed them and sanctified them;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 2] that the princes of Israel, the heads of their fathers’ houses, offered. These were the princes of the tribes, these are they that were over them that were numbered:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 3] and they brought their oblation before Jehovah, six covered wagons, and twelve oxen; a wagon for every two of the princes, and for each one an ox: and they presented them before the tabernacle.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 4] And Jehovah spake unto Moses, saying,
[ASV | EN | OT | Numbers | Chapter 7 | Verse 5] Take it of them, that they may be used in doing the service of the tent of meeting; and thou shalt give them unto the Levites, to every man according to his service.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 6] And Moses took the wagons and the oxen, and gave them unto the Levites.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 7] Two wagons and four oxen he gave unto the sons of Gershon, according to their service:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 8] and four wagons and eight oxen he gave unto the sons of Merari, according unto their service, under the hand of Ithamar the son of Aaron the priest.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 9] But unto the sons of Kohath he gave none, because the service of the sanctuary belonged unto them; they bare it upon their shoulders.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 10] And the princes offered for the dedication of the altar in the day that it was anointed, even the princes offered their oblation before the altar.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 11] And Jehovah said unto Moses, They shall offer their oblation, each prince on his day, for the dedication of the altar.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 12] And he that offered his oblation the first day was Nahshon the son of Amminadab, of the tribe of Judah:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 13] and his oblation was one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 14] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 15] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 16] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 17] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Nahshon the son of Amminadab.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 18] On the second day Nethanel the son of Zuar, prince of Issachar, did offer:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 19] he offered for his oblation one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 20] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 21] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 22] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 23] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Nethanel the son of Zuar.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 24] On the third day Eliab the son of Helon, prince of the children of Zebulun:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 25] his oblation was one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 26] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 27] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 28] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 29] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Eliab the son of Helon.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 30] On the fourth day Elizur the son of Shedeur, prince of the children of Reuben:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 31] his oblation was one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 32] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 33] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 34] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 35] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Elizur the son of Shedeur.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 36] On the fifth day Shelumiel the son of Zurishaddai, prince of the children of Simeon:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 37] his oblation was one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 38] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 39] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 40] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 41] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Shelumiel the son of Zurishaddai.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 42] On the sixth day Eliasaph the son of Deuel, prince of the children of Gad:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 43] his oblation was one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 44] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 45] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 46] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 47] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Eliasaph the son of Deuel.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 48] On the seventh day Elishama the son of Ammihud, prince of the children of Ephraim:
