[ASV | EN | OT | Numbers | Chapter 1 | Verse 1] And Jehovah spake unto Moses in the wilderness of Sinai, in the tent of meeting, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,
[ASV | EN | OT | Numbers | Chapter 1 | Verse 2] Take ye the sum of all the congregation of the children of Israel, by their families, by their fathers’ houses, according to the number of the names, every male, by their polls;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 3] from twenty years old and upward, all that are able to go forth to war in Israel, thou and Aaron shall number them by their hosts.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 4] And with you there shall be a man of every tribe; every one head of his fathers’ house.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 5] And these are the names of the men that shall stand with you. Of Reuben: Elizur the son of Shedeur.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 6] Of Simeon: Shelumiel the son of Zurishaddai.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 7] Of Judah: Nahshon the son of Amminadab.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 8] Of Issachar: Nethanel the son of Zuar.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 9] Of Zebulun: Eliab the son of Helon.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 10] Of the children of Joseph: Of Ephraim: Elishama the son of Ammihud. Of Manasseh: Gamaliel the son of Pedahzur.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 11] Of Benjamin: Abidan the son of Gideoni.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 12] Of Dan: Ahiezer the son of Ammishaddai.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 13] Of Asher: Pagiel the son of Ochran.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 14] Of Gad: Eliasaph the son of Deuel.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 15] Of Naphtali: Ahira the son of Enan.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 16] These are they that were called of the congregation, the princes of the tribes of their fathers; they were the heads of the thousands of Israel.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 17] And Moses and Aaron took these men that are mentioned by name:
[ASV | EN | OT | Numbers | Chapter 1 | Verse 18] and they assembled all the congregation together on the first day of the second month; and they declared their pedigrees after their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, by their polls.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 19] As Jehovah commanded Moses, so he numbered them in the wilderness of Sinai.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 20] And the children of Reuben, Israel’s firstborn, their generations, by their families, by their fathers’ houses, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 21] those that were numbered of them, of the tribe of Reuben, were forty and six thousand and five hundred.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 22] Of the children of Simeon, their generations, by their families, by their fathers’ houses, those that were numbered thereof, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 23] those that were numbered of them, of the tribe of Simeon, were fifty and nine thousand and three hundred.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 24] Of the children of Gad, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 25] those that were numbered of them, of the tribe of Gad, were forty and five thousand six hundred and fifty.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 26] Of the children of Judah, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 27] those that were numbered of them, of the tribe of Judah, were threescore and fourteen thousand and six hundred.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 28] Of the children of Issachar, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 29] those that were numbered of them, of the tribe of Issachar, were fifty and four thousand and four hundred.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 30] Of the children of Zebulun, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 31] those that were numbered of them, of the tribe of Zebulun, were fifty and seven thousand and four hundred.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 32] Of the children of Joseph, namely, of the children of Ephraim, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 33] those that were numbered of them, of the tribe of Ephraim, were forty thousand and five hundred.
