[ASV | EN | OT | Numbers | Chapter 33 | Verse 1] These are the journeys of the children of Israel, when they went forth out of the land of Egypt by their hosts under the hand of Moses and Aaron.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 2] And Moses wrote their goings out according to their journeys by the commandment of Jehovah: and these are their journeys according to their goings out.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 3] And they journeyed from Rameses in the first month, on the fifteenth day of the first month; on the morrow after the passover the children of Israel went out with a high hand in the sight of all the Egyptians,
[ASV | EN | OT | Numbers | Chapter 33 | Verse 4] while the Egyptians were burying all their firstborn, whom Jehovah had smitten among them: upon their gods also Jehovah executed judgments.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 5] And the children of Israel journeyed from Rameses, and encamped in Succoth.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 6] And they journeyed from Succoth, and encamped in Etham, which is in the edge of the wilderness.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 7] And they journeyed from Etham, and turned back unto Pi-hahiroth, which is before Baal-zephon: and they encamped before Migdol.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 8] And they journeyed from before Hahiroth, and passed through the midst of the sea into the wilderness: and they went three days’ journey in the wilderness of Etham, and encamped in Marah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 9] And they journeyed from Marah, and came unto Elim: and in Elim were twelve springs of water, and threescore and ten palm trees; and they encamped there.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 10] And they journeyed from Elim, and encamped by the Red Sea.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 11] And they journeyed from the Red Sea, and encamped in the wilderness of Sin.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 12] And they journeyed from the wilderness of Sin, and encamped in Dophkah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 13] And they journeyed from Dophkah, and encamped in Alush.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 14] And they journeyed from Alush, and encamped in Rephidim, where was no water for the people to drink.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 15] And they journeyed from Rephidim, and encamped in the wilderness of Sinai.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 16] And they journeyed from the wilderness of Sinai, and encamped in Kibroth-hattaavah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 17] And they journeyed from Kibroth-hattaavah, and encamped in Hazeroth.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 18] And they journeyed from Hazeroth, and encamped in Rithmah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 19] And they journeyed from Rithmah, and encamped in Rimmon-perez.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 20] And they journeyed from Rimmon-perez, and encamped in Libnah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 21] And they journeyed from Libnah, and encamped in Rissah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 22] And they journeyed from Rissah, and encamped in Kehelathah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 23] And they journeyed from Kehelathah, and encamped in mount Shepher.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 24] And they journeyed from mount Shepher, and encamped in Haradah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 25] And they journeyed from Haradah, and encamped in Makheloth.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 26] And they journeyed from Makheloth, and encamped in Tahath.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 27] And they journeyed from Tahath, and encamped in Terah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 28] And they journeyed from Terah, and encamped in Mithkah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 29] And they journeyed from Mithkah, and encamped in Hashmonah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 30] And they journeyed from Hashmonah, and encamped in Moseroth.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 31] And they journeyed from Moseroth, and encamped in Bene-jaakan.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 32] And they journeyed from Bene-jaakan, and encamped in Hor-haggidgad.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 33] And they journeyed from Hor-haggidgad, and encamped in Jotbathah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 34] And they journeyed from Jotbathah, and encamped in Abronah.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 35] And they journeyed from Abronah, and encamped in Ezion-geber.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 36] And they journeyed from Ezion-geber, and encamped in the wilderness of Zin (the same is Kadesh).
[ASV | EN | OT | Numbers | Chapter 33 | Verse 37] And they journeyed from Kadesh, and encamped in mount Hor, in the edge of the land of Edom.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 38] And Aaron the priest went up into mount Hor at the commandment of Jehovah, and died there, in the fortieth year after the children of Israel were come out of the land of Egypt, in the fifth month, on the first day of the month.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 39] And Aaron was a hundred and twenty and three years old when he died in mount Hor.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 40] And the Canaanite, the king of Arad, who dwelt in the South in the land of Canaan, heard of the coming of the children of Israel.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 41] And they journeyed from mount Hor, and encamped in Zalmonah.
