[ASV | EN | OT | Numbers | Chapter 29 | Verse 1] And in the seventh month, on the first day of the month, ye shall have a holy convocation; ye shall do no servile work: it is a day of blowing of trumpets unto you.
[ASV | EN | OT | Numbers | Chapter 29 | Verse 2] And ye shall offer a burnt offering for a sweet savor unto Jehovah: one young bullock, one ram, seven he-lambs a year old without blemish;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 3] and their meal offering, fine flour mingled with oil, three tenth parts for the bullock, two tenth parts for the ram,
[ASV | EN | OT | Numbers | Chapter 29 | Verse 4] and one tenth part for every lamb of the seven lambs;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 5] and one he-goat for a sin offering, to make atonement for you;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 6] besides the burnt offering of the new moon, and the meal offering thereof, and the continual burnt offering and the meal offering thereof, and their drink offerings, according unto their ordinance, for a sweet savor, an offering made by fire unto Jehovah.
[ASV | EN | OT | Numbers | Chapter 29 | Verse 7] And on the tenth day of this seventh month ye shall have a holy convocation; and ye shall afflict your souls: ye shall do no manner of work;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 8] but ye shall offer a burnt offering unto Jehovah for a sweet savor: one young bullock, one ram, seven he-lambs a year old; they shall be unto you without blemish;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 9] and their meal offering, fine flour mingled with oil, three tenth parts for the bullock, two tenth parts for the one ram,
[ASV | EN | OT | Numbers | Chapter 29 | Verse 10] a tenth part for every lamb of the seven lambs:
[ASV | EN | OT | Numbers | Chapter 29 | Verse 11] one he-goat for a sin offering; besides the sin offering of atonement, and the continual burnt offering, and the meal offering thereof, and their drink offerings.
[ASV | EN | OT | Numbers | Chapter 29 | Verse 12] And on the fifteenth day of the seventh month ye shall have a holy convocation; ye shall do no servile work, and ye shall keep a feast unto Jehovah seven days:
[ASV | EN | OT | Numbers | Chapter 29 | Verse 13] and ye shall offer a burnt offering, an offering made by fire, of a sweet savor unto Jehovah; thirteen young bullocks, two rams, fourteen he-lambs a year old; they shall be without blemish;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 14] and their meal offering, fine flour mingled with oil, three tenth parts for every bullock of the thirteen bullocks, two tenth parts for each ram of the two rams,
[ASV | EN | OT | Numbers | Chapter 29 | Verse 15] and a tenth part for every lamb of the fourteen lambs;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 16] and one he-goat for a sin offering; besides the continual burnt offering, the meal offering thereof, and the drink offering thereof.
[ASV | EN | OT | Numbers | Chapter 29 | Verse 17] And on the second day ye shall offer twelve young bullocks, two rams, fourteen he-lambs a year old without blemish;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 18] and their meal offering and their drink offerings for the bullocks, for the rams, and for the lambs, according to their number, after the ordinance;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 19] and one he-goat for a sin offering; besides the continual burnt offering, and the meal offering thereof, and their drink offerings.
[ASV | EN | OT | Numbers | Chapter 29 | Verse 20] And on the third day eleven bullocks, two rams, fourteen he-lambs a year old without blemish;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 21] and their meal offering and their drink offerings for the bullocks, for the rams, and for the lambs, according to their number, after the ordinance;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 22] and one he-goat for a sin offering; besides the continual burnt offering, and the meal offering thereof, and the drink offering thereof.
[ASV | EN | OT | Numbers | Chapter 29 | Verse 23] And on the fourth day ten bullocks, two rams, fourteen he-lambs a year old without blemish;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 24] their meal offering and their drink offerings for the bullocks, for the rams, and for the lambs, according to their number, after the ordinance;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 25] and one he-goat for a sin offering; besides the continual burnt offering, the meal offering thereof, and the drink offering thereof.
