[ASV | EN | OT | Numbers | Chapter 14 | Verse 1] And all the congregation lifted up their voice, and cried; and the people wept that night.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 2] And all the children of Israel murmured against Moses and against Aaron: and the whole congregation said unto them, Would that we had died in the land of Egypt! or would that we had died in this wilderness!
[ASV | EN | OT | Numbers | Chapter 14 | Verse 3] And wherefore doth Jehovah bring us unto this land, to fall by the sword? Our wives and our little ones will be a prey: were it not better for us to return into Egypt?
[ASV | EN | OT | Numbers | Chapter 14 | Verse 4] And they said one to another, Let us make a captain, and let us return into Egypt.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 5] Then Moses and Aaron fell on their faces before all the assembly of the congregation of the children of Israel.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 6] And Joshua the son of Nun and Caleb the son of Jephunneh, who were of them that spied out the land, rent their clothes:
[ASV | EN | OT | Numbers | Chapter 14 | Verse 7] and they spake unto all the congregation of the children of Israel, saying, The land, which we passed through to spy it out, is an exceeding good land.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 8] If Jehovah delight in us, then he will bring us into this land, and give it unto us; a land which floweth with milk and honey.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 9] Only rebel not against Jehovah, neither fear ye the people of the land; for they are bread for us: their defense is removed from over them, and Jehovah is with us: fear them not.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 10] But all the congregation bade stone them with stones. And the glory of Jehovah appeared in the tent of meeting unto all the children of Israel.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 11] And Jehovah said unto Moses, How long will this people despise me? and how long will they not believe in me, for all the signs which I have wrought among them?
[ASV | EN | OT | Numbers | Chapter 14 | Verse 12] I will smite them with the pestilence, and disinherit them, and will make of thee a nation greater and mightier than they.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 13] And Moses said unto Jehovah, Then the Egyptians will hear it; for thou broughtest up this people in thy might from among them;
[ASV | EN | OT | Numbers | Chapter 14 | Verse 14] and they will tell it to the inhabitants of this land. They have heard that thou Jehovah art in the midst of this people; for thou Jehovah art seen face to face, and thy cloud standeth over them, and thou goest before them, in a pillar of cloud by day, and in a pillar of fire by night.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 15] Now if thou shalt kill this people as one man, then the nations which have heard the fame of thee will speak, saying,
[ASV | EN | OT | Numbers | Chapter 14 | Verse 16] Because Jehovah was not able to bring this people into the land which he sware unto them, therefore he hath slain them in the wilderness.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 17] And now, I pray thee, let the power of the Lord be great, according as thou hast spoken, saying,
[ASV | EN | OT | Numbers | Chapter 14 | Verse 18] Jehovah is slow to anger, and abundant in lovingkindness, forgiving iniquity and transgression; and that will by no means clear the guilty, visiting the iniquity of the fathers upon the children, upon the third and upon the fourth generation.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 19] Pardon, I pray thee, the iniquity of this people according unto the greatness of thy lovingkindness, and according as thou hast forgiven this people, from Egypt even until now.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 20] And Jehovah said, I have pardoned according to thy word:
[ASV | EN | OT | Numbers | Chapter 14 | Verse 21] but in very deed, as I live, and as all the earth shall be filled with the glory of Jehovah;
[ASV | EN | OT | Numbers | Chapter 14 | Verse 22] because all those men that have seen my glory, and my signs, which I wrought in Egypt and in the wilderness, yet have tempted me these ten times, and have not hearkened to my voice;
[ASV | EN | OT | Numbers | Chapter 14 | Verse 23] surely they shall not see the land which I sware unto their fathers, neither shall any of them that despised me see it:
[ASV | EN | OT | Numbers | Chapter 14 | Verse 24] but my servant Caleb, because he had another spirit with him, and hath followed me fully, him will I bring into the land whereinto he went; and his seed shall possess it.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 25] Now the Amalekite and the Canaanite dwell in the valley: tomorrow turn ye, and get you into the wilderness by the way to the Red Sea.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 26] And Jehovah spake unto Moses and unto Aaron, saying,
[ASV | EN | OT | Numbers | Chapter 14 | Verse 27] How long shall I bear with this evil congregation, that murmur against me? I have heard the murmurings of the children of Israel, which they murmur against me.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 28] Say unto them, As I live, saith Jehovah, surely as ye have spoken in mine ears, so will I do to you:
[ASV | EN | OT | Numbers | Chapter 14 | Verse 29] your dead bodies shall fall in this wilderness; and all that were numbered of you, according to your whole number, from twenty years old and upward, that have murmured against me,
[ASV | EN | OT | Numbers | Chapter 14 | Verse 30] surely ye shall not come into the land, concerning which I sware that I would make you dwell therein, save Caleb the son of Jephunneh, and Joshua the son of Nun.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 31] But your little ones, that ye said should be a prey, them will I bring in, and they shall know the land which ye have rejected.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 32] But as for you, your dead bodies shall fall in this wilderness.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 33] And your children shall be wanderers in the wilderness forty years, and shall bear your whoredoms, until your dead bodies be consumed in the wilderness.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 34] After the number of the days in which ye spied out the land, even forty days, for every day a year, shall ye bear your iniquities, even forty years, and ye shall know my alienation.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 35] I, Jehovah, have spoken, surely this will I do unto all this evil congregation, that are gathered together against me: in this wilderness they shall be consumed, and there they shall die.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 36] And the men, whom Moses sent to spy out the land, who returned, and made all the congregation to murmur against him, by bringing up an evil report against the land,
[ASV | EN | OT | Numbers | Chapter 14 | Verse 37] even those men that did bring up an evil report of the land, died by the plague before Jehovah.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 38] But Joshua the son of Nun, and Caleb the son of Jephunneh, remained alive of those men that went to spy out the land.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 39] And Moses told these words unto all the children of Israel: and the people mourned greatly.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 40] And they rose up early in the morning, and gat them up to the top of the mountain, saying, Lo, we are here, and will go up unto the place which Jehovah hath promised: for we have sinned.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 41] And Moses said, Wherefore now do ye transgress the commandment of Jehovah, seeing it shall not prosper?
[ASV | EN | OT | Numbers | Chapter 14 | Verse 42] Go not up, for Jehovah is not among you; that ye be not smitten down before your enemies.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 43] For there the Amalekite and the Canaanite are before you, and ye shall fall by the sword: because ye are turned back from following Jehovah, therefore Jehovah will not be with you.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 44] But they presumed to go up to the top of the mountain: nevertheless the ark of the covenant of Jehovah, and Moses, departed not out of the camp.
[ASV | EN | OT | Numbers | Chapter 14 | Verse 45] Then the Amalekite came down, and the Canaanite who dwelt in that mountain, and smote them and beat them down, even unto Hormah.
