[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 1] Peter, an apostle of Jesus Christ, to the elect who are sojourners of the Dispersion in Pontus, Galatia, Cappadocia, Asia, and Bithynia,
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 2] according to the foreknowledge of God the Father, in sanctification of the Spirit, unto obedience and sprinkling of the blood of Jesus Christ: Grace to you and peace be multiplied.
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 3] Blessed be the God and Father of our Lord Jesus Christ, who according to his great mercy begat us again unto a living hope by the resurrection of Jesus Christ from the dead,
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 4] unto an inheritance incorruptible, and undefiled, and that fadeth not away, reserved in heaven for you,
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 5] who by the power of God are guarded through faith unto a salvation ready to be revealed in the last time.
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 6] Wherein ye greatly rejoice, though now for a little while, if need be, ye have been put to grief in manifold temptations,
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 7] that the proof of your faith, being more precious than gold that perisheth though it is proved by fire, might be found unto praise and glory and honour at the revelation of Jesus Christ:
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 8] whom not having seen ye love; on whom, though now ye see him not, yet believing, ye rejoice greatly with joy unspeakable and full of glory:
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 9] receiving the end of your faith, even the salvation of your souls.
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 10] Concerning which salvation the prophets sought and searched diligently, who prophesied of the grace that should come unto you:
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 11] searching what time or what manner of time the Spirit of Christ which was in them did point unto, when it testified beforehand the sufferings of Christ, and the glories that should follow them.
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 12] To whom it was revealed, that not unto themselves, but unto you, did they minister these things, which now have been announced unto you through them that preached the gospel unto you by the Holy Ghost sent forth from heaven; which things angels desire to look into.
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 13] Wherefore girding up the loins of your mind, be sober and set your hope perfectly on the grace that is to be brought unto you at the revelation of Jesus Christ;
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 14] as children of obedience, not fashioning yourselves according to your former lusts in the time of your ignorance:
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 15] but like as he which called you is holy, be ye yourselves also holy in all manner of living;
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 16] because it is written, Ye shall be holy; for I am holy.
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 17] And if ye call on him as Father, who without respect of persons judgeth according to each man’s work, pass the time of your sojourning in fear:
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 18] knowing that ye were redeemed, not with corruptible things, with silver or gold, from your vain manner of life handed down from your fathers;
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 19] but with precious blood, as of a lamb without blemish and without spot, even the blood of Christ:
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 20] who was foreknown indeed before the foundation of the world, but was manifested at the end of the times for your sake,
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 21] who through him are believers in God, which raised him from the dead, and gave him glory; so that your faith and hope might be in God.
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 22] Seeing ye have purified your souls in your obedience to the truth unto unfeigned love of the brethren, love one another from the heart fervently:
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 23] having been begotten again, not of corruptible seed, but of incorruptible, through the word of God, which liveth and abideth.
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 24] For, All flesh is as grass, And all the glory thereof as the flower of grass. The grass withereth, and the flower falleth:
[ERV | EN | NT | 1 Peter | Chapter 1 | Verse 25] But the word of the Lord abideth for ever. And this is the word of good tidings which was preached unto you.
