[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 1] কিন্তু ভাইয়েরা বিশেষ বিশেষ কালের ও দিনের র বিষয়ে তোমাদেরকে কিছু লেখা অপ্রয়োজনীয়।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 2] কারণ তোমরা নিজেরা বিলক্ষণ জানো, রাতে যেমন চোর আসে তেমনি প্রভুর দিন ও আসছে।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 3] লোকে যখন বলে, শান্তি ও অভয়, তক্ষুনি তাদের কাছে যেমন গর্ভবতীর প্রসব বেদনা উপস্থিত হয়ে থাকে, তেমনই আকষ্মিক বিনাশ উপস্থিত হয়; আর তারা কোনোও ভাবে এড়াতে পারবে না।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 4] কিন্তু ভাইয়েরা, তোমরা অন্ধকারে নও যে, সেই দিন চোরের মত তোমাদের উপরে এসে পড়বে।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 5] তোমরা তো সকলে দীপ্তির সন্তান ও দিবসের সন্তান; আমরা রাতের নয়, অন্ধকারেরও নয়।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 6] অতএব এস, আমরা অন্য সবার মত ঘুমিয়ে না পড়ি, বরং জেগে থাকি ও আত্ম নিয়ন্ত্রিত হই।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 7] কারণ যারা ঘুমিয়ে পড়ে, তারা রাতেই ঘুমিয়ে পড়ে এবং যারা মদ্যপায়ী, তারা রাতেই মত্ত হয়।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 8] কিন্তু আমরা দিবসের বলে এস, আত্ম নিয়ন্ত্রিত হই, বিশ্বাস ও প্রেমরূপ বুকপাটা পরি এবং পরিত্রানের আশারূপ শিরস্ত্র মাথায় দিই;
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 9] কারণ ঈশ্বর আমাদেরকে ক্রোধের জন্য নিযুক্ত করেননি, কিন্তু আমাদের প্রভু যীশু খ্রীষ্ট দ্বারা পরিত্রান লাভের জন্য;
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 10] তিনি আমাদের জন্য মরলেন, যেন আমরা জেগে থাকি বা ঘুমিয়ে পড়ি, তাঁর সাথেই বেঁচে থাকি।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 11] অতএব যেমন তোমরা করে থাক, তেমন তোমরা একে অন্যকে ভরসা দাও এবং একজন অন্যকে গেঁথে তোলো।
