[GNV | EN | NT | Ephesians | Chapter 6 | Verse 1] Children, obey your parents in the Lord: for this is right.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 2] Honour thy father and mother (which is the first commandement with promise)
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 3] That it may be well with thee, and that thou mayst liue long on earth.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 4] And ye, fathers, prouoke not your children to wrath: but bring them vp in instruction and information of the Lord.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 5] Seruants, be obedient vnto them that are your masters, according to the flesh, with feare and trembling in singlenesse of your hearts as vnto Christ,
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 6] Not with seruice to the eye, as men pleasers, but as the seruants of Christ, doing the will of God from the heart,
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 7] With good will, seruing the Lord, and not men.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 8] And knowe ye that whatsoeuer good thing any man doeth, that same shall he receiue of the Lord, whether he be bond or free.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 9] And ye masters, doe the same things vnto them, putting away threatning: and know that euen your master also is in heauen, neither is there respect of person with him.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 10] Finally, my brethren, be strong in the Lord, and in the power of his might.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 11] Put on the whole armour of God, that ye may be able to stand against the assaultes of the deuil.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 12] For we wrestle not against flesh and blood, but against principalities, against powers, and against the worldly gouernours, the princes of the darkenesse of this worlde, against spirituall wickednesses, which are in ye hie places.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 13] For this cause take vnto you the whole armour of God, that ye may be able to resist in the euill day, and hauing finished all things, stand fast.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 14] Stand therefore, and your loynes girded about with veritie, and hauing on the brest plate of righteousnesse,
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 15] And your feete shod with the preparation of the Gospel of peace.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 16] Aboue all, take the shielde of faith, wherewith ye may quench all the fierie dartes of the wicked,
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 17] And take the helmet of saluation, and the sword of the Spirit, which is the worde of God.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 18] And pray alwayes with all maner prayer and supplication in the Spirit: and watch thereunto with all perseuerance and supplication for al Saints,
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 19] And for me, that vtterance may be giuen vnto me, that I may open my mouth boldly to publish the secret of the Gospel,
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 20] Whereof I am the ambassadour in bonds, that therein I may speake boldely, as I ought to speake.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 21] But that ye may also know mine affaires, and what I doe, Tychicus my deare brother and faithfull minister in the Lord, shall shewe you of all things,
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 22] Whom I haue sent vnto you for the same purpose, that ye might knowe mine affaires, and that he might comfort your hearts.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 23] Peace be with the brethren, and loue with faith from God the Father, and from the Lord Iesus Christ.
[GNV | EN | NT | Ephesians | Chapter 6 | Verse 24] Grace be with all them which loue our Lord Iesus Christ, to their immortalitie, Amen. ‘Written from Rome vnto the Ephesians, and sent by Tychicus.’
