[GNV | EN | NT | Ephesians | Chapter 1 | Verse 1] Pavl an Apostle of Jesvs Christ by the will of God, to the Saints, which are at Ephesus, and to ye faithfull in Christ Iesus:
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 2] Grace be with you, and peace from God our Father, and from the Lord Iesus Christ.
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 3] Blessed be God, and the Father of our Lord Iesus Christ, which hath blessed vs with all spirituall blessing in heauenly thinges in Christ,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 4] As hee hath chosen vs in him, before the foundation of the worlde, that we should be holy, and without blame before him in loue:
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 5] Who hath predestinate vs, to be adopted through Iesus Christ in him selfe, according to the good pleasure of his will,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 6] To the prayse of the glory of his grace, wherewith he hath made vs freely accepted in his beloued,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 7] By whom we haue redemption through his blood, euen the forgiuenes of sinnes, according to his rich grace:
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 8] Whereby he hath bene aboundant toward vs in all wisedome and vnderstanding,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 9] And hath opened vnto vs the mysterie of his will according to his good pleasure, which he had purposed in him,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 10] That in the dispensation of the fulnesse of the times, he might gather together in one all things, both which are in heauen, and which are in earth, euen in Christ:
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 11] In whom also we are chosen when we were predestinate according to ye purpose of him, which worketh all things after the counsell of his owne will,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 12] That we, which first trusted in Christ, should be vnto the praise of his glorie:
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 13] In whom also ye haue trusted, after that ye heard the worde of trueth, euen the Gospel of your saluation, wherein also after that ye beleeued, ye were sealed with the holy Spirite of promise,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 14] Which is the earnest of our inheritance, for the redemption of that libertie purchased vnto the prayse of his glory.
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 15] Therefore also after that I heard of the faith, which ye haue in the Lord Iesus, and loue toward all the Saints,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 16] I cease not to giue thankes for you, making mention of you in my prayers,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 17] That the God of our Lord Iesus Christ, that Father of glory, might giue vnto you the Spirit of wisedome, and reuelation through the acknowledging of him,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 18] That the eyes of your vnderstanding may be lightened, that ye may knowe what the hope is of his calling, and what the riches of his glorious inheritance is in the Saints,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 19] And what is the exceeding greatnesse of his power toward vs, which beleeue, according to the working of his mightie power,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 20] Which he wrought in Christ, when he raised him from the dead, and set him at his right hand in the heauenly places,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 21] Farre aboue al principalitie, and power, and might, and domination, and euery Name, that is named, not in this world only, but also in that that is to come,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 22] And hath made all things subiect vnder his feete, and hath giuen him ouer all things to be the head to the Church,
[GNV | EN | NT | Ephesians | Chapter 1 | Verse 23] Which is his body, euen the fulnesse of him that filleth all in all things.
