[GNV | EN | NT | Ephesians | Chapter 2 | Verse 1] And you hath he quickened, that were dead in trespasses and sinnes,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 2] Wherein, in times past ye walked, according to the course of this world, and after the prince that ruleth in the aire, euen the spirite, that nowe worketh in the children of disobedience,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 3] Among whom we also had our conuersation in time past, in the lustes of our flesh, in fulfilling the will of the flesh, and of the minde, and were by nature the children of wrath, as well as others.
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 4] But God which is rich in mercie, through his great loue wherewith he loued vs,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 5] Euen when we were dead by sinnes, hath quickened vs together in Christ, by whose grace ye are saued,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 6] And hath raysed vs vp together, and made vs sit together in the heauenly places in Christ Iesus,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 7] That he might shewe in the ages to come the exceeding riches of his grace, through his kindnesse toward vs in Christ Iesus.
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 8] For by grace are ye saued through faith, and that not of your selues: it is the gift of God,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 9] Not of workes, least any man should boast himselfe.
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 10] For we are his workemanship created in Christ Iesus vnto good workes, which God hath ordeined, that we should walke in them.
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 11] Wherefore remember that ye being in time past Gentiles in the flesh, and called vncircumcision of them, which are called circumcision in the flesh, made with hands,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 12] That ye were, I say, at that time without Christ, and were alients from the common wealth of Israel, and were strangers from the couenants of promise, and had no hope, and were without God in the world.
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 13] But nowe in Christ Iesus, ye which once were farre off, are made neere by the blood of Christ.
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 14] For he is our peace, which hath made of both one, and hath broken the stoppe of the partition wall,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 15] In abrogating through his flesh the hatred, that is, the Lawe of commandements which standeth in ordinances, for to make of twaine one newe man in himselfe, so making peace,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 16] And that he might reconcile both vnto God in one body by his crosse, and slay hatred thereby,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 17] And came, and preached peace to you which were afarre off, and to them that were neere.
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 18] For through him we both haue an entrance vnto the Father by one Spirit.
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 19] Nowe therefore ye are no more strangers and forreiners: but citizens with the Saintes, and of the houshold of God,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 20] And are built vpon the foundation of the Apostles and Prophets, Iesus Christ himselfe being the chiefe corner stone,
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 21] In whom all the building coupled together, groweth vnto an holy Temple in the Lord.
[GNV | EN | NT | Ephesians | Chapter 2 | Verse 22] In whom ye also are built together to be the habitation of God by the Spirit.
