[GNV | EN | NT | Ephesians | Chapter 4 | Verse 1] I therefore, being prisoner in the Lord, praie you that yee walke worthie of the vocation whereunto yee are called,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 2] With all humblenesse of minde, and meekenesse, with long suffering, supporting one an other through loue,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 3] Endeuouring to keepe the vnitie of the Spirit in the bond of peace.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 4] There is one body, and one Spirit, euen as yee are called in one hope of your vocation.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 5] There is one Lord, one Faith, one Baptisme,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 6] One God and Father of all, which is aboue all, and through all, and in you all.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 7] But vnto euery one of vs is giuen grace, according to the measure of the gift of Christ.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 8] Wherfore he saith, Whe he asceded vp on hie, he led captiuity captiue, and gaue gifts vnto men.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 9] (Nowe, in that hee ascended, what is it but that he had also descended first into the lowest partes of the earth?
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 10] Hee that descended, is euen the same that ascended, farre aboue all heauens, that hee might fill all things)
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 11] Hee therefore gaue some to be Apostles, and some Prophets, and some Euangelists, and some Pastours, and Teachers,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 12] For the repairing of the Saintes, for the woorke of the ministerie, and for the edification of the bodie of Christ,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 13] Till we all meete together (in the vnitie of faith and that acknowledging of the Sonne of God) vnto a perfite man, and vnto the measure of the age of the fulnesse of Christ,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 14] That we henceforth be no more children, wauering and caried about with euery winde of doctrine, by the deceit of men, and with craftines, whereby they lay in wait to deceiue.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 15] But let vs folowe the truth in loue, and in all things, grow vp into him, which is the head, that is, Christ.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 16] By whome al the body being coupled and knit together by euery ioynt, for ye furniture therof (according to the effectual power, which is in the measure of euery part) receiueth increase of the body, vnto the edifying of itselfe in loue.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 17] This I say therefore and testifie in the Lord, that yee hencefoorth walke not as other Gentiles walke, in vanitie of their minde,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 18] Hauing their vnderstanding darkened, and being strangers from the life of God through the ignorance that is in them, because of the hardnesse of their heart:
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 19] Which being past feeling, haue giuen themselues vnto wantonnesse, to woorke all vncleannesse, euen with griedinesse.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 20] But yee haue not so learned Christ,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 21] If so be yee haue heard him, and haue bene taught by him, as the trueth is in Iesus,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 22] That is, that yee cast off, concerning the conuersation in time past, that olde man, which is corrupt through the deceiueable lustes,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 23] And be renued in the spirit of your minde,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 24] And put on ye new man, which after God is created vnto righteousnes, and true holines.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 25] Wherefore cast off lying, and speake euery man truth vnto his neighbour: for we are members one of another.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 26] Bee angrie, but sinne not: let not the sunne goe downe vpon your wrath,
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 27] Neither giue place to the deuill.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 28] Let him that stole, steale no more: but let him rather labour, and worke with his handes the thing which is good, that hee may haue to giue vnto him that needeth.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 29] Let no corrupt comunication proceed out of your mouths: but that which is good, to ye vse of edifying, that it may minister grace vnto the hearers.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 30] And grieue not the holy Spirit of God, by whom ye are sealed vnto ye day of redemption.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 31] Let all bitternesse, and anger, and wrath, crying, and euill speaking be put away from you, with all maliciousnesse.
[GNV | EN | NT | Ephesians | Chapter 4 | Verse 32] Be ye courteous one to another, and tender hearted, freely forgiuing one another, euen as God for Christes sake, freely forgaue you.
