[IRV | GU | OT | Ezra | Chapter 2 | Verse 1] બાબિલનો રાજા નબૂખાદનેસ્સાર યહૂદિયાના જે લોકોને બંદીવાન કરીને બાબિલ લઈ ગયો હતો, તેઓમાંના રાજાની ગુલામીમાંથી જે મુક્ત થઈને યરુશાલેમમાં તથા યહૂદિયામાં પોતપોતાનાં નગરમાં પાછા આવ્યા તે માણસોનાં નામ આ પ્રમાણે છે:
[IRV | GU | OT | Ezra | Chapter 2 | Verse 2] ઝરુબ્બાબેલ, યેશૂઆ, નહેમ્યા, સરાયા, રએલાયા, મોર્દખાય, બિલ્શાન, મિસ્પાર, બિગ્વાય, રહૂમ, તથા બાનાહ. ઇઝરાયલી લોકોની સંખ્યા આ પ્રમાણે છે.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 3] પારોશના વંશજો: બે હજાર એકસો બોતેર.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 4] શફાટયાના વંશજો: ત્રણસો બોતેર.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 5] આરાહના વંશજો: સાતસો પંચોતેર.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 6] યેશૂઆ તથા યોઆબથી પાહાથ-મોઆબના વંશજો: બે હજાર આઠસો બાર.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 7] એલામના વંશજો: એક હજાર બસો ચોપન.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 8] ઝાત્તૂના વંશજો: નવસો પિસ્તાળીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 9] ઝાકકાયના વંશજો: સાતસો સાઠ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 10] બાનીના વંશજો: છસો બેતાળીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 11] બેબાયના વંશજો: છસો ત્રેવીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 12] આઝગાદના વંશજો: એક હજાર બસો બાવીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 13] અદોનિકામના વંશજો: છસો છાસઠ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 14] બિગ્વાયના વંશજો: બે હજાર છપ્પન.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 15] આદીનના વંશજો: ચારસો ચોપન.
