[IRV | KN | NT | Ephesians | Chapter 4 | Verse 1] ನೀವು ದೇವರಿಂದ ಕರೆಯಲ್ಪಟ್ಟವರಾದ ಕಾರಣ ಆ ಕರೆಗೆ ಯೋಗ್ಯರಾಗಿ ಜೀವಿಸಬೇಕೆಂದು, ಕರ್ತನ ಸೇವೆಯಲ್ಲಿ ಸೆರೆಯವನಾದ ನಾನು ನಿಮ್ಮನ್ನು ಬೇಡಿಕೊಳ್ಳುತ್ತೇನೆ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 2] ನೀವು ಪೂರ್ಣ ವಿನಯ, ಸಾತ್ವಿಕತ್ವಗಳಿಂದಲೂ ದೀರ್ಘಶಾಂತಿಯಿಂದಲೂ ಕೂಡಿದವರಾಗಿ, ಪ್ರೀತಿಯಿಂದ ಒಬ್ಬರನ್ನೊಬ್ಬರು ಸಹಿಸಿಕೊಳ್ಳಿರಿ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 3] ಸಮಾಧಾನವೆಂಬ ಬಂಧನದಿಂದ ಕಟ್ಟಲ್ಪಟ್ಟವರಾಗಿದ್ದು ಪವಿತ್ರಾತ್ಮನಿಂದುಂಟಾಗುವ ಐಕ್ಯವನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳುವುದಕ್ಕೆ ಆಸಕ್ತರಾಗಿರಿ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 4] ನೀವು ಕರೆಯಲ್ಪಟ್ಟಾಗ ಒಂದೇ ನಿರೀಕ್ಷೆಗಾಗಿ ಕರೆಯಲ್ಪಟ್ಟವರಂತೆಯೇ, ನೀವೆಲ್ಲರೂ ಒಂದೇ ದೇಹಕ್ಕೆ ಸೇರಿದವರು, ಒಬ್ಬನೇ ಆತ್ಮನನ್ನು ಹೊಂದಿದವರು,
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 5] ನಿಮ್ಮೆಲ್ಲರಿಗೂ ಕರ್ತನು ಒಬ್ಬನೇ, ನಂಬಿಕೆಯು ಒಂದೇ, ದೀಕ್ಷಾಸ್ನಾನ ಒಂದೇ,
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 6] ಎಲ್ಲರಿಗೂ ತಂದೆಯಾಗಿರುವ ದೇವರು ಒಬ್ಬನೇ. ಆತನು ಎಲ್ಲರ ಮೇಲಿರುವವನೂ, ಎಲ್ಲರ ಮುಖಾಂತರ ಕಾರ್ಯ ನಡಿಸುವವನೂ, ಎಲ್ಲರಲ್ಲಿ ವಾಸಿಸುವವನೂ ಆಗಿದ್ದಾನೆ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 7] ಆದರೆ ಕ್ರಿಸ್ತನ ವರದ ಅಳತೆಯ ಪ್ರಕಾರವೇ ಪ್ರತಿಯೊಬ್ಬರಿಗೆ ಕೃಪಾವರವು ಕೊಡಲ್ಪಟ್ಟಿದೆ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 8] ಆದ್ದರಿಂದ ದೇವರವಾಕ್ಯದಲ್ಲಿ ಹೀಗೆ ಹೇಳಿದೆ, “ಆತನು ಉನ್ನತ ಸ್ಥಾನಕ್ಕೆ ಏರಿಹೋದಾಗ ತಾನು ಸೆರೆಯಾಳುಗಳನ್ನು ಸೆರೆಹಿಡಿದುಕೊಂಡು ಹೋಗಿ ಮನುಷ್ಯರಿಗೆ ವರಗಳನ್ನು ಕೊಟ್ಟನು.”
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 9] “ಏರಿಹೋದನೆಂದು” ಹೇಳಿದ್ದರ ಅರ್ಥವೇನು? ಭೂಮಿಯ ಅಧೋಭಾಗಕ್ಕೆ ಇಳಿದಿದ್ದನೆಂತಲೂ ಹೇಳಿದ ಹಾಗಾಯಿತಲ್ಲಾ?
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 10] ಇಳಿದು ಬಂದಾತನು, ಸಮಸ್ತವನ್ನು ತುಂಬುವುದಕ್ಕಾಗಿ ಮೇಲಣ ಎಲ್ಲಾ ಲೋಕಗಳಿಗಿಂತಲೂ ಉನ್ನತಕ್ಕೆ ಏರಿಹೋದವನು ಆಗಿದ್ದಾನೆ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 11] ಆತನು ಕೆಲವರನ್ನು ಅಪೊಸ್ತಲರನ್ನಾಗಿಯೂ, ಕೆಲವರನ್ನು ಪ್ರವಾದಿಗಳನ್ನಾಗಿಯೂ, ಕೆಲವರನ್ನು ಸುವಾರ್ತಿಕರನ್ನಾಗಿಯೂ, ಕೆಲವರನ್ನು ಸಭಾಪಾಲಕರನ್ನಾಗಿಯೂ, ಬೋಧಕರನ್ನಾಗಿಯೂ ನೇಮಿಸಿದನು.
