[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 1] ⸀Μετὰ ταῦτα ⸀χωρισθεὶς ἐκ τῶν Ἀθηνῶν ἦλθεν εἰς Κόρινθον.
[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 2] καὶ εὑρών τινα Ἰουδαῖον ὀνόματι Ἀκύλαν, Ποντικὸν τῷ γένει, προσφάτως ἐληλυθότα ἀπὸ τῆς Ἰταλίας καὶ Πρίσκιλλαν γυναῖκα αὐτοῦ διὰ τὸ ⸀διατεταχέναι Κλαύδιον χωρίζεσθαι πάντας τοὺς Ἰουδαίους ⸀ἀπὸ τῆς Ῥώμης, προσῆλθεν αὐτοῖς,
[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 3] καὶ διὰ τὸ ὁμότεχνον εἶναι ἔμενεν παρʼ αὐτοῖς καὶ ⸀ἠργάζετο, ἦσαν γὰρ σκηνοποιοὶ ⸂τῇ τέχνῃ⸃.
[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 4] διελέγετο δὲ ἐν τῇ συναγωγῇ κατὰ πᾶν σάββατον, ἔπειθέν τε Ἰουδαίους καὶ Ἕλληνας.
[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 5] Ὡς δὲ κατῆλθον ἀπὸ τῆς Μακεδονίας ὅ τε Σιλᾶς καὶ ὁ Τιμόθεος, συνείχετο τῷ ⸀λόγῳ ὁ Παῦλος, διαμαρτυρόμενος τοῖς Ἰουδαίοις ⸀εἶναι τὸν χριστὸν Ἰησοῦν.
[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 6] ἀντιτασσομένων δὲ αὐτῶν καὶ βλασφημούντων ἐκτιναξάμενος τὰ ἱμάτια εἶπεν πρὸς αὐτούς· Τὸ αἷμα ὑμῶν ἐπὶ τὴν κεφαλὴν ὑμῶν· καθαρὸς ἐγώ· ἀπὸ τοῦ νῦν εἰς τὰ ἔθνη πορεύσομαι.
[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 7] καὶ μεταβὰς ἐκεῖθεν ⸀εἰσῆλθεν εἰς οἰκίαν τινὸς ὀνόματι ⸀Τιτίου Ἰούστου σεβομένου τὸν θεόν, οὗ ἡ οἰκία ἦν συνομοροῦσα τῇ συναγωγῇ.
[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 8] Κρίσπος δὲ ὁ ἀρχισυνάγωγος ἐπίστευσεν τῷ κυρίῳ σὺν ὅλῳ τῷ οἴκῳ αὐτοῦ, καὶ πολλοὶ τῶν Κορινθίων ἀκούοντες ἐπίστευον καὶ ἐβαπτίζοντο.
[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 9] εἶπεν δὲ ὁ κύριος ⸂ἐν νυκτὶ διʼ ὁράματος⸃ τῷ Παύλῳ· Μὴ φοβοῦ, ἀλλὰ λάλει καὶ μὴ σιωπήσῃς,
[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 10] διότι ἐγώ εἰμι μετὰ σοῦ καὶ οὐδεὶς ἐπιθήσεταί σοι τοῦ κακῶσαί σε, διότι λαός ἐστί μοι πολὺς ἐν τῇ πόλει ταύτῃ.
[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 11] ἐκάθισεν ⸀δὲ ἐνιαυτὸν καὶ μῆνας ἓξ διδάσκων ἐν αὐτοῖς τὸν λόγον τοῦ θεοῦ.
[SBLGNT | EL | NT | Acts | Chapter 18 | Verse 12] Γαλλίωνος δὲ ⸂ἀνθυπάτου ὄντος⸃ τῆς Ἀχαΐας κατεπέστησαν ⸂ὁμοθυμαδὸν οἱ Ἰουδαῖοι⸃ τῷ Παύλῳ καὶ ἤγαγον αὐτὸν ἐπὶ τὸ βῆμα,
