[SBLGNT | EL | NT | Acts | Chapter 20 | Verse 1] Μετὰ δὲ τὸ παύσασθαι τὸν θόρυβον ⸀μεταπεμψάμενος ὁ Παῦλος τοὺς μαθητὰς καὶ ⸀παρακαλέσας, ἀσπασάμενος ἐξῆλθεν ⸀πορεύεσθαι ⸀εἰς Μακεδονίαν.
[SBLGNT | EL | NT | Acts | Chapter 20 | Verse 2] διελθὼν δὲ τὰ μέρη ἐκεῖνα καὶ παρακαλέσας αὐτοὺς λόγῳ πολλῷ ἦλθεν εἰς τὴν Ἑλλάδα
[SBLGNT | EL | NT | Acts | Chapter 20 | Verse 3] ποιήσας τε μῆνας τρεῖς· γενομένης ⸂ἐπιβουλῆς αὐτῷ⸃ ὑπὸ τῶν Ἰουδαίων μέλλοντι ἀνάγεσθαι εἰς τὴν Συρίαν ἐγένετο ⸀γνώμης τοῦ ὑποστρέφειν διὰ Μακεδονίας.
[SBLGNT | EL | NT | Acts | Chapter 20 | Verse 4] συνείπετο δὲ ⸀αὐτῷ Σώπατρος ⸀Πύρρου Βεροιαῖος, Θεσσαλονικέων δὲ Ἀρίσταρχος καὶ Σεκοῦνδος, καὶ Γάϊος Δερβαῖος καὶ Τιμόθεος, Ἀσιανοὶ δὲ Τυχικὸς καὶ Τρόφιμος·
[SBLGNT | EL | NT | Acts | Chapter 20 | Verse 5] οὗτοι ⸀δὲ ⸀προσελθόντες ἔμενον ἡμᾶς ἐν Τρῳάδι·
[SBLGNT | EL | NT | Acts | Chapter 20 | Verse 6] ἡμεῖς δὲ ἐξεπλεύσαμεν μετὰ τὰς ἡμέρας τῶν ἀζύμων ἀπὸ Φιλίππων, καὶ ἤλθομεν πρὸς αὐτοὺς εἰς τὴν Τρῳάδα ἄχρι ἡμερῶν πέντε, ⸀οὗ διετρίψαμεν ἡμέρας ἑπτά.
[SBLGNT | EL | NT | Acts | Chapter 20 | Verse 7] Ἐν δὲ τῇ μιᾷ τῶν σαββάτων συνηγμένων ⸀ἡμῶν κλάσαι ἄρτον ὁ Παῦλος διελέγετο αὐτοῖς, μέλλων ἐξιέναι τῇ ἐπαύριον, παρέτεινέν τε τὸν λόγον μέχρι μεσονυκτίου.
[SBLGNT | EL | NT | Acts | Chapter 20 | Verse 8] ἦσαν δὲ λαμπάδες ἱκαναὶ ἐν τῷ ὑπερῴῳ οὗ ἦμεν συνηγμένοι·
[SBLGNT | EL | NT | Acts | Chapter 20 | Verse 9] ⸀καθεζόμενος δέ τις νεανίας ὀνόματι Εὔτυχος ἐπὶ τῆς θυρίδος, καταφερόμενος ὕπνῳ βαθεῖ διαλεγομένου τοῦ Παύλου ἐπὶ πλεῖον, κατενεχθεὶς ἀπὸ τοῦ ὕπνου ἔπεσεν ἀπὸ τοῦ τριστέγου κάτω καὶ ἤρθη νεκρός.
[SBLGNT | EL | NT | Acts | Chapter 20 | Verse 10] καταβὰς δὲ ὁ Παῦλος ἐπέπεσεν αὐτῷ καὶ συμπεριλαβὼν εἶπεν· Μὴ θορυβεῖσθε, ἡ γὰρ ψυχὴ αὐτοῦ ἐν αὐτῷ ἐστιν.
[SBLGNT | EL | NT | Acts | Chapter 20 | Verse 11] ἀναβὰς δὲ καὶ κλάσας ⸀τὸν ἄρτον καὶ γευσάμενος ἐφʼ ἱκανόν τε ὁμιλήσας ἄχρι αὐγῆς, οὕτως ἐξῆλθεν.
