[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 1] Φῆστος οὖν ἐπιβὰς τῇ ἐπαρχείᾳ μετὰ τρεῖς ἡμέρας ἀνέβη εἰς Ἱεροσόλυμα ἀπὸ Καισαρείας,
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 2] ἐνεφάνισάν ⸀τε αὐτῷ ⸂οἱ ἀρχιερεῖς⸃ καὶ οἱ πρῶτοι τῶν Ἰουδαίων κατὰ τοῦ Παύλου, καὶ παρεκάλουν αὐτὸν
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 3] αἰτούμενοι χάριν κατʼ αὐτοῦ ὅπως μεταπέμψηται αὐτὸν εἰς Ἰερουσαλήμ, ἐνέδραν ποιοῦντες ἀνελεῖν αὐτὸν κατὰ τὴν ὁδόν.
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 4] ὁ μὲν οὖν Φῆστος ἀπεκρίθη τηρεῖσθαι τὸν Παῦλον ⸂εἰς Καισάρειαν⸃, ἑαυτὸν δὲ μέλλειν ἐν τάχει ἐκπορεύεσθαι·
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 5] Οἱ οὖν ⸂ἐν ὑμῖν, φησίν, δυνατοὶ⸃ συγκαταβάντες εἴ τί ἐστιν ἐν τῷ ἀνδρὶ ⸀ἄτοπον κατηγορείτωσαν αὐτοῦ.
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 6] Διατρίψας δὲ ἐν αὐτοῖς ἡμέρας ⸂οὐ πλείους ὀκτὼ⸃ ἢ δέκα, καταβὰς εἰς Καισάρειαν, τῇ ἐπαύριον καθίσας ἐπὶ τοῦ βήματος ἐκέλευσεν τὸν Παῦλον ἀχθῆναι.
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 7] παραγενομένου δὲ αὐτοῦ περιέστησαν ⸀αὐτὸν οἱ ἀπὸ Ἱεροσολύμων καταβεβηκότες Ἰουδαῖοι, πολλὰ καὶ βαρέα αἰτιώματα ⸀καταφέροντες ἃ οὐκ ἴσχυον ἀποδεῖξαι,
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 8] ⸂τοῦ Παύλου ἀπολογουμένου⸃ ὅτι Οὔτε εἰς τὸν νόμον τῶν Ἰουδαίων οὔτε εἰς τὸ ἱερὸν οὔτε εἰς Καίσαρά τι ἥμαρτον.
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 9] ὁ Φῆστος δὲ ⸂θέλων τοῖς Ἰουδαίοις⸃ χάριν καταθέσθαι ἀποκριθεὶς τῷ Παύλῳ εἶπεν· Θέλεις εἰς Ἱεροσόλυμα ἀναβὰς ἐκεῖ περὶ τούτων ⸀κριθῆναι ἐπʼ ἐμοῦ;
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 10] εἶπεν δὲ ὁ Παῦλος· ⸂Ἐπὶ τοῦ βήματος Καίσαρος ἑστώς⸃ εἰμι, οὗ με δεῖ κρίνεσθαι. Ἰουδαίους οὐδὲν ⸀ἠδίκησα, ὡς καὶ σὺ κάλλιον ἐπιγινώσκεις.
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 11] εἰ μὲν ⸀οὖν ἀδικῶ καὶ ἄξιον θανάτου πέπραχά τι, οὐ παραιτοῦμαι τὸ ἀποθανεῖν· εἰ δὲ οὐδέν ἐστιν ὧν οὗτοι κατηγοροῦσίν μου, οὐδείς με δύναται αὐτοῖς χαρίσασθαι· Καίσαρα ἐπικαλοῦμαι.
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 12] τότε ὁ Φῆστος συλλαλήσας μετὰ τοῦ συμβουλίου ἀπεκρίθη· Καίσαρα ἐπικέκλησαι, ἐπὶ Καίσαρα πορεύσῃ.
[SBLGNT | EL | NT | Acts | Chapter 25 | Verse 13] Ἡμερῶν δὲ διαγενομένων τινῶν Ἀγρίππας ὁ βασιλεὺς καὶ Βερνίκη κατήντησαν εἰς Καισάρειαν ἀσπασάμενοι τὸν Φῆστον.
