[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 1] Μετὰ δὲ πέντε ἡμέρας κατέβη ὁ ἀρχιερεὺς Ἁνανίας μετὰ ⸂πρεσβυτέρων τινῶν⸃ καὶ ῥήτορος Τερτύλλου τινός, οἵτινες ἐνεφάνισαν τῷ ἡγεμόνι κατὰ τοῦ Παύλου.
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 2] κληθέντος δὲ αὐτοῦ ἤρξατο κατηγορεῖν ὁ Τέρτυλλος λέγων· Πολλῆς εἰρήνης τυγχάνοντες διὰ σοῦ καὶ ⸀διορθωμάτων γινομένων τῷ ἔθνει τούτῳ διὰ τῆς σῆς προνοίας
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 3] πάντῃ τε καὶ πανταχοῦ ἀποδεχόμεθα, κράτιστε Φῆλιξ, μετὰ πάσης εὐχαριστίας.
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 4] ἵνα δὲ μὴ ἐπὶ πλεῖόν σε ἐγκόπτω, παρακαλῶ ἀκοῦσαί σε ἡμῶν συντόμως τῇ σῇ ἐπιεικείᾳ.
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 5] εὑρόντες γὰρ τὸν ἄνδρα τοῦτον λοιμὸν καὶ κινοῦντα ⸀στάσεις πᾶσι τοῖς Ἰουδαίοις τοῖς κατὰ τὴν οἰκουμένην πρωτοστάτην τε τῆς τῶν Ναζωραίων αἱρέσεως,
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 6] ὃς καὶ τὸ ἱερὸν ἐπείρασεν βεβηλῶσαι, ὃν καὶ ⸀ἐκρατήσαμεν,
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 8] παρʼ οὗ δυνήσῃ αὐτὸς ἀνακρίνας περὶ πάντων τούτων ἐπιγνῶναι ὧν ἡμεῖς κατηγοροῦμεν αὐτοῦ.
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 9] συνεπέθεντο δὲ καὶ οἱ Ἰουδαῖοι φάσκοντες ταῦτα οὕτως ἔχειν.
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 10] Ἀπεκρίθη ⸀τε ὁ Παῦλος νεύσαντος αὐτῷ τοῦ ἡγεμόνος λέγειν· Ἐκ πολλῶν ἐτῶν ὄντα σε κριτὴν τῷ ἔθνει τούτῳ ἐπιστάμενος ⸀εὐθύμως τὰ περὶ ἐμαυτοῦ ἀπολογοῦμαι,
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 11] δυναμένου σου ⸀ἐπιγνῶναι, ὅτι οὐ πλείους εἰσίν μοι ἡμέραι ⸀δώδεκα ἀφʼ ἧς ἀνέβην προσκυνήσων ⸀εἰς Ἰερουσαλήμ,
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 12] καὶ οὔτε ἐν τῷ ἱερῷ εὗρόν με πρός τινα διαλεγόμενον ἢ ⸀ἐπίστασιν ποιοῦντα ὄχλου οὔτε ἐν ταῖς συναγωγαῖς οὔτε κατὰ τὴν πόλιν,
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 13] ⸀οὐδὲ ⸀παραστῆσαι δύνανταί ⸀σοι περὶ ὧν ⸀νυνὶ κατηγοροῦσίν μου.
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 14] ὁμολογῶ δὲ τοῦτό σοι ὅτι κατὰ τὴν ὁδὸν ἣν λέγουσιν αἵρεσιν οὕτως λατρεύω τῷ πατρῴῳ θεῷ, πιστεύων πᾶσι τοῖς κατὰ τὸν νόμον καὶ ⸂τοῖς ἐν⸃ τοῖς προφήταις γεγραμμένοις,
[SBLGNT | EL | NT | Acts | Chapter 24 | Verse 15] ἐλπίδα ἔχων εἰς τὸν θεόν, ἣν καὶ αὐτοὶ οὗτοι προσδέχονται, ἀνάστασιν μέλλειν ⸀ἔσεσθαι δικαίων τε καὶ ἀδίκων·
