[SBLGNT | EL | NT | Acts | Chapter 13 | Verse 1] Ἦσαν ⸀δὲ ἐν Ἀντιοχείᾳ κατὰ τὴν οὖσαν ἐκκλησίαν προφῆται καὶ διδάσκαλοι ὅ τε Βαρναβᾶς καὶ Συμεὼν ὁ καλούμενος Νίγερ, καὶ Λούκιος ὁ Κυρηναῖος, Μαναήν τε Ἡρῴδου τοῦ τετραάρχου σύντροφος καὶ Σαῦλος.
[SBLGNT | EL | NT | Acts | Chapter 13 | Verse 2] λειτουργούντων δὲ αὐτῶν τῷ κυρίῳ καὶ νηστευόντων εἶπεν τὸ πνεῦμα τὸ ἅγιον· Ἀφορίσατε δή μοι τὸν Βαρναβᾶν ⸀καὶ Σαῦλον εἰς τὸ ἔργον ὃ προσκέκλημαι αὐτούς.
[SBLGNT | EL | NT | Acts | Chapter 13 | Verse 3] τότε νηστεύσαντες καὶ προσευξάμενοι καὶ ἐπιθέντες τὰς χεῖρας αὐτοῖς ἀπέλυσαν.
[SBLGNT | EL | NT | Acts | Chapter 13 | Verse 4] ⸀Αὐτοὶ μὲν οὖν ἐκπεμφθέντες ὑπὸ τοῦ ⸂ἁγίου πνεύματος⸃ κατῆλθον ⸀εἰς Σελεύκειαν, ἐκεῖθέν ⸀τε ἀπέπλευσαν ⸁εἰς Κύπρον,
[SBLGNT | EL | NT | Acts | Chapter 13 | Verse 5] καὶ γενόμενοι ἐν Σαλαμῖνι κατήγγελλον τὸν λόγον τοῦ θεοῦ ἐν ταῖς συναγωγαῖς τῶν Ἰουδαίων· εἶχον δὲ καὶ Ἰωάννην ὑπηρέτην.
[SBLGNT | EL | NT | Acts | Chapter 13 | Verse 6] διελθόντες δὲ ⸀ὅλην τὴν νῆσον ἄχρι Πάφου εὗρον ⸀ἄνδρα τινὰ μάγον ψευδοπροφήτην Ἰουδαῖον ᾧ ὄνομα ⸀Βαριησοῦ,
[SBLGNT | EL | NT | Acts | Chapter 13 | Verse 7] ὃς ἦν σὺν τῷ ἀνθυπάτῳ Σεργίῳ Παύλῳ, ἀνδρὶ συνετῷ. οὗτος προσκαλεσάμενος Βαρναβᾶν καὶ Σαῦλον ἐπεζήτησεν ἀκοῦσαι τὸν λόγον τοῦ θεοῦ·
[SBLGNT | EL | NT | Acts | Chapter 13 | Verse 8] ἀνθίστατο δὲ αὐτοῖς Ἐλύμας ὁ μάγος, οὕτως γὰρ μεθερμηνεύεται τὸ ὄνομα αὐτοῦ, ζητῶν διαστρέψαι τὸν ἀνθύπατον ἀπὸ τῆς πίστεως.
[SBLGNT | EL | NT | Acts | Chapter 13 | Verse 9] Σαῦλος δέ, ὁ καὶ Παῦλος, πλησθεὶς πνεύματος ⸀ἁγίου ἀτενίσας εἰς αὐτὸν
[SBLGNT | EL | NT | Acts | Chapter 13 | Verse 10] εἶπεν· Ὦ πλήρης παντὸς δόλου καὶ πάσης ῥᾳδιουργίας, υἱὲ διαβόλου, ἐχθρὲ πάσης δικαιοσύνης, οὐ παύσῃ διαστρέφων τὰς ⸀ὁδοὺς κυρίου τὰς εὐθείας;
[SBLGNT | EL | NT | Acts | Chapter 13 | Verse 11] καὶ νῦν ἰδοὺ χεὶρ κυρίου ἐπὶ σέ, καὶ ἔσῃ τυφλὸς μὴ βλέπων τὸν ἥλιον ἄχρι καιροῦ. παραχρῆμα ⸀δὲ ⸀ἔπεσεν ἐπʼ αὐτὸν ἀχλὺς καὶ σκότος, καὶ περιάγων ἐζήτει χειραγωγούς.
