[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 1] Ἀγρίππας δὲ πρὸς τὸν Παῦλον ἔφη· Ἐπιτρέπεταί σοι ⸀ὑπὲρ σεαυτοῦ λέγειν. τότε ὁ Παῦλος ⸂ἐκτείνας τὴν χεῖρα ἀπελογεῖτο⸃·
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 2] Περὶ πάντων ὧν ἐγκαλοῦμαι ὑπὸ Ἰουδαίων, βασιλεῦ Ἀγρίππα, ἥγημαι ἐμαυτὸν μακάριον ἐπὶ σοῦ μέλλων ⸂σήμερον ἀπολογεῖσθαι⸃,
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 3] μάλιστα γνώστην ὄντα σε πάντων τῶν κατὰ Ἰουδαίους ⸀ἐθῶν τε καὶ ζητημάτων· διὸ ⸀δέομαι μακροθύμως ἀκοῦσαί μου.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 4] Τὴν μὲν οὖν βίωσίν μου ⸀τὴν ἐκ νεότητος τὴν ἀπʼ ἀρχῆς γενομένην ἐν τῷ ἔθνει μου ἔν ⸀τε Ἱεροσολύμοις ἴσασι ⸀πάντες Ἰουδαῖοι,
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 5] προγινώσκοντές με ἄνωθεν, ἐὰν θέλωσι μαρτυρεῖν, ὅτι κατὰ τὴν ἀκριβεστάτην αἵρεσιν τῆς ἡμετέρας θρησκείας ἔζησα Φαρισαῖος.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 6] καὶ νῦν ἐπʼ ἐλπίδι τῆς ⸀εἰς τοὺς πατέρας ⸀ἡμῶν ἐπαγγελίας γενομένης ὑπὸ τοῦ θεοῦ ἕστηκα κρινόμενος,
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 7] εἰς ἣν τὸ δωδεκάφυλον ἡμῶν ἐν ἐκτενείᾳ νύκτα καὶ ἡμέραν λατρεῦον ἐλπίζει καταντῆσαι· περὶ ἧς ἐλπίδος ἐγκαλοῦμαι ⸂ὑπὸ Ἰουδαίων, βασιλεῦ⸃·
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 8] τί ἄπιστον κρίνεται παρʼ ὑμῖν εἰ ὁ θεὸς νεκροὺς ἐγείρει;
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 9] Ἐγὼ μὲν οὖν ἔδοξα ἐμαυτῷ πρὸς τὸ ὄνομα Ἰησοῦ τοῦ Ναζωραίου δεῖν πολλὰ ἐναντία πρᾶξαι·
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 10] ὃ καὶ ἐποίησα ἐν Ἱεροσολύμοις, καὶ πολλούς ⸀τε τῶν ἁγίων ἐγὼ ⸀ἐν φυλακαῖς κατέκλεισα τὴν παρὰ τῶν ἀρχιερέων ἐξουσίαν λαβών, ἀναιρουμένων τε αὐτῶν κατήνεγκα ψῆφον,
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 11] καὶ κατὰ πάσας τὰς συναγωγὰς πολλάκις τιμωρῶν αὐτοὺς ἠνάγκαζον βλασφημεῖν, περισσῶς τε ἐμμαινόμενος αὐτοῖς ἐδίωκον ἕως καὶ εἰς τὰς ἔξω πόλεις.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 12] Ἐν ⸀οἷς πορευόμενος εἰς τὴν Δαμασκὸν μετʼ ἐξουσίας καὶ ἐπιτροπῆς ⸀τῆς τῶν ἀρχιερέων
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 13] ἡμέρας μέσης κατὰ τὴν ὁδὸν εἶδον, βασιλεῦ, οὐρανόθεν ὑπὲρ τὴν λαμπρότητα τοῦ ἡλίου περιλάμψαν με φῶς καὶ τοὺς σὺν ἐμοὶ πορευομένους·
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 14] πάντων ⸀τε καταπεσόντων ἡμῶν εἰς τὴν γῆν ἤκουσα φωνὴν ⸀λέγουσαν πρός ⸀με τῇ Ἑβραΐδι διαλέκτῳ· Σαοὺλ Σαούλ, τί με διώκεις; σκληρόν σοι πρὸς κέντρα λακτίζειν.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 15] ἐγὼ δὲ εἶπα· Τίς εἶ, κύριε; ὁ δὲ ⸀κύριος εἶπεν· Ἐγώ εἰμι Ἰησοῦς ὃν σὺ διώκεις·
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 16] ἀλλὰ ἀνάστηθι καὶ στῆθι ἐπὶ τοὺς πόδας σου· εἰς τοῦτο γὰρ ὤφθην σοι, προχειρίσασθαί σε ὑπηρέτην καὶ μάρτυρα ὧν τε εἶδές ⸀με ὧν τε ὀφθήσομαί σοι,
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 17] ἐξαιρούμενός σε ἐκ τοῦ λαοῦ καὶ ⸀ἐκ τῶν ἐθνῶν, εἰς οὓς ἐγὼ ⸂ἀποστέλλω σε⸃
