[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 1] Ἐγένετο δὲ ἐν Ἰκονίῳ κατὰ τὸ αὐτὸ εἰσελθεῖν αὐτοὺς εἰς τὴν συναγωγὴν τῶν Ἰουδαίων καὶ λαλῆσαι οὕτως ὥστε πιστεῦσαι Ἰουδαίων τε καὶ Ἑλλήνων πολὺ πλῆθος.
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 2] οἱ δὲ ⸀ἀπειθήσαντες Ἰουδαῖοι ἐπήγειραν καὶ ἐκάκωσαν τὰς ψυχὰς τῶν ἐθνῶν κατὰ τῶν ἀδελφῶν.
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 3] ἱκανὸν μὲν οὖν χρόνον διέτριψαν παρρησιαζόμενοι ἐπὶ τῷ κυρίῳ τῷ μαρτυροῦντι ⸀τῷ λόγῳ τῆς χάριτος αὐτοῦ, διδόντι σημεῖα καὶ τέρατα γίνεσθαι διὰ τῶν χειρῶν αὐτῶν.
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 4] ἐσχίσθη δὲ τὸ πλῆθος τῆς πόλεως, καὶ οἱ μὲν ἦσαν σὺν τοῖς Ἰουδαίοις οἱ δὲ σὺν τοῖς ἀποστόλοις.
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 5] ὡς δὲ ἐγένετο ὁρμὴ τῶν ἐθνῶν τε καὶ Ἰουδαίων σὺν τοῖς ἄρχουσιν αὐτῶν ὑβρίσαι καὶ λιθοβολῆσαι αὐτούς,
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 6] συνιδόντες κατέφυγον εἰς τὰς πόλεις τῆς Λυκαονίας Λύστραν καὶ Δέρβην καὶ τὴν περίχωρον,
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 7] κἀκεῖ ⸂εὐαγγελιζόμενοι ἦσαν⸃.
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 8] Καί τις ἀνὴρ ⸂ἀδύνατος ἐν Λύστροις⸃ τοῖς ποσὶν ἐκάθητο, χωλὸς ἐκ κοιλίας μητρὸς ⸀αὐτοῦ, ὃς οὐδέποτε ⸀περιεπάτησεν.
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 9] οὗτος ⸀ἤκουσεν τοῦ Παύλου λαλοῦντος· ὃς ἀτενίσας αὐτῷ καὶ ἰδὼν ὅτι ⸂ἔχει πίστιν⸃ τοῦ σωθῆναι
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 10] εἶπεν ⸀μεγάλῃ φωνῇ· Ἀνάστηθι ἐπὶ τοὺς πόδας σου ⸀ὀρθός· καὶ ⸀ἥλατο καὶ περιεπάτει.
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 11] οἵ ⸀τε ὄχλοι ἰδόντες ὃ ⸀ἐποίησεν Παῦλος ἐπῆραν τὴν φωνὴν αὐτῶν Λυκαονιστὶ λέγοντες· Οἱ θεοὶ ὁμοιωθέντες ἀνθρώποις κατέβησαν πρὸς ἡμᾶς
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 12] ἐκάλουν τε ⸀τὸν Βαρναβᾶν Δία, τὸν δὲ Παῦλον Ἑρμῆν, ἐπειδὴ αὐτὸς ἦν ὁ ἡγούμενος τοῦ λόγου.
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 13] ὅ ⸀τε ἱερεὺς τοῦ Διὸς τοῦ ὄντος πρὸ τῆς ⸀πόλεως ταύρους καὶ στέμματα ἐπὶ τοὺς πυλῶνας ἐνέγκας σὺν τοῖς ὄχλοις ἤθελεν θύειν.
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 14] ἀκούσαντες δὲ οἱ ἀπόστολοι Βαρναβᾶς καὶ Παῦλος, διαρρήξαντες τὰ ἱμάτια ⸀αὐτῶν ⸀ἐξεπήδησαν εἰς τὸν ὄχλον κράζοντες
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 15] καὶ λέγοντες· Ἄνδρες, τί ταῦτα ποιεῖτε; καὶ ἡμεῖς ὁμοιοπαθεῖς ἐσμεν ὑμῖν ἄνθρωποι, εὐαγγελιζόμενοι ὑμᾶς ἀπὸ τούτων τῶν ματαίων ἐπιστρέφειν ἐπὶ ⸀θεὸν ζῶντα ὃς ἐποίησεν τὸν οὐρανὸν καὶ τὴν γῆν καὶ τὴν θάλασσαν καὶ πάντα τὰ ἐν αὐτοῖς·
[SBLGNT | EL | NT | Acts | Chapter 14 | Verse 16] ὃς ἐν ταῖς παρῳχημέναις γενεαῖς εἴασεν πάντα τὰ ἔθνη πορεύεσθαι ταῖς ὁδοῖς αὐτῶν·
