[SBLGNT | EL | NT | Acts | Chapter 19 | Verse 1] Ἐγένετο δὲ ἐν τῷ τὸν Ἀπολλῶ εἶναι ἐν Κορίνθῳ Παῦλον διελθόντα τὰ ἀνωτερικὰ μέρη ⸀ἐλθεῖν εἰς Ἔφεσον καὶ ⸀εὑρεῖν τινας μαθητάς,
[SBLGNT | EL | NT | Acts | Chapter 19 | Verse 2] εἶπέν ⸀τε πρὸς αὐτούς· Εἰ πνεῦμα ἅγιον ἐλάβετε πιστεύσαντες; οἱ ⸀δὲ πρὸς αὐτόν· Ἀλλʼ οὐδʼ εἰ πνεῦμα ἅγιον ἔστιν ἠκούσαμεν.
[SBLGNT | EL | NT | Acts | Chapter 19 | Verse 3] εἶπέν ⸀τε· Εἰς τί οὖν ἐβαπτίσθητε; οἱ δὲ εἶπαν· Εἰς τὸ Ἰωάννου βάπτισμα.
[SBLGNT | EL | NT | Acts | Chapter 19 | Verse 4] εἶπεν δὲ Παῦλος· ⸀Ἰωάννης ἐβάπτισεν βάπτισμα μετανοίας, τῷ λαῷ λέγων εἰς τὸν ἐρχόμενον μετʼ αὐτὸν ἵνα πιστεύσωσιν, τοῦτʼ ἔστιν εἰς ⸀τὸν Ἰησοῦν.
[SBLGNT | EL | NT | Acts | Chapter 19 | Verse 5] ἀκούσαντες δὲ ἐβαπτίσθησαν εἰς τὸ ὄνομα τοῦ κυρίου Ἰησοῦ·
[SBLGNT | EL | NT | Acts | Chapter 19 | Verse 6] καὶ ἐπιθέντος αὐτοῖς τοῦ ⸀Παύλου χεῖρας ἦλθε τὸ πνεῦμα τὸ ἅγιον ἐπʼ αὐτούς, ἐλάλουν τε γλώσσαις καὶ ἐπροφήτευον.
[SBLGNT | EL | NT | Acts | Chapter 19 | Verse 7] ἦσαν δὲ οἱ πάντες ἄνδρες ὡσεὶ ⸀δώδεκα.
[SBLGNT | EL | NT | Acts | Chapter 19 | Verse 8] Εἰσελθὼν δὲ εἰς τὴν συναγωγὴν ἐπαρρησιάζετο ἐπὶ μῆνας τρεῖς διαλεγόμενος καὶ ⸀πείθων περὶ τῆς βασιλείας τοῦ θεοῦ.
[SBLGNT | EL | NT | Acts | Chapter 19 | Verse 9] ὡς δέ τινες ἐσκληρύνοντο καὶ ἠπείθουν κακολογοῦντες τὴν ὁδὸν ἐνώπιον τοῦ πλήθους, ἀποστὰς ἀπʼ αὐτῶν ἀφώρισεν τοὺς μαθητάς, καθʼ ἡμέραν διαλεγόμενος ἐν τῇ σχολῇ ⸀Τυράννου.
[SBLGNT | EL | NT | Acts | Chapter 19 | Verse 10] τοῦτο δὲ ἐγένετο ἐπὶ ἔτη δύο, ὥστε πάντας τοὺς κατοικοῦντας τὴν Ἀσίαν ἀκοῦσαι τὸν λόγον τοῦ ⸀κυρίου, Ἰουδαίους τε καὶ Ἕλληνας.
[SBLGNT | EL | NT | Acts | Chapter 19 | Verse 11] Δυνάμεις τε οὐ τὰς τυχούσας ⸂ὁ θεὸς ἐποίει⸃ διὰ τῶν χειρῶν Παύλου,
