[KJV | EN | NT | Philemon | Chapter 1 | Verse 1] Paul, a prisoner of Jesus Christ, and Timothy our brother, unto Philemon our dearly beloved, and fellowlabourer,
[KJV | EN | NT | Philemon | Chapter 1 | Verse 2] and to our beloved Apphia, and Archippus our fellowsoldier, and to the church in thy house:
[KJV | EN | NT | Philemon | Chapter 1 | Verse 3] Grace to you, and peace, from God our Father and the Lord Jesus Christ.
[KJV | EN | NT | Philemon | Chapter 1 | Verse 4] I thank my God, making mention of thee always in my prayers,
[KJV | EN | NT | Philemon | Chapter 1 | Verse 5] hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints;
[KJV | EN | NT | Philemon | Chapter 1 | Verse 6] that the communication of thy faith may become effectual by the acknowledging of every good thing which is in you in Christ Jesus.
[KJV | EN | NT | Philemon | Chapter 1 | Verse 7] For we have great joy and consolation in thy love, because the bowels of the saints are refreshed by thee, brother.
[KJV | EN | NT | Philemon | Chapter 1 | Verse 8] Wherefore, though I might be much bold in Christ to enjoin thee that which is convenient,
[KJV | EN | NT | Philemon | Chapter 1 | Verse 9] yet for love’s sake I rather beseech thee, being such a one as Paul the aged, and now also a prisoner of Jesus Christ.
[KJV | EN | NT | Philemon | Chapter 1 | Verse 10] I beseech thee for my son Onesimus, whom I have begotten in my bonds:
[KJV | EN | NT | Philemon | Chapter 1 | Verse 11] which in time past was to thee unprofitable, but now profitable to thee and to me:
[KJV | EN | NT | Philemon | Chapter 1 | Verse 12] whom I have sent again: thou therefore receive him, that is, mine own bowels:
[KJV | EN | NT | Philemon | Chapter 1 | Verse 13] whom I would have retained with me, that in thy stead he might have ministered unto me in the bonds of the gospel:
[KJV | EN | NT | Philemon | Chapter 1 | Verse 14] but without thy mind would I do nothing; that thy benefit should not be as it were of necessity, but willingly.
[KJV | EN | NT | Philemon | Chapter 1 | Verse 15] For perhaps he therefore departed for a season, that thou shouldest receive him for ever;
[KJV | EN | NT | Philemon | Chapter 1 | Verse 16] not now as a servant, but above a servant, a brother beloved, specially to me, but how much more unto thee, both in the flesh, and in the Lord?
[KJV | EN | NT | Philemon | Chapter 1 | Verse 17] If thou count me therefore a partner, receive him as myself.
[KJV | EN | NT | Philemon | Chapter 1 | Verse 18] If he hath wronged thee, or oweth thee ought, put that on mine account;
[KJV | EN | NT | Philemon | Chapter 1 | Verse 19] I Paul have written it with mine own hand, I will repay it: albeit I do not say to thee how thou owest unto me even thine own self besides.
[KJV | EN | NT | Philemon | Chapter 1 | Verse 20] Yea, brother, let me have joy of thee in the Lord: refresh my bowels in the Lord.
[KJV | EN | NT | Philemon | Chapter 1 | Verse 21] Having confidence in thy obedience I wrote unto thee, knowing that thou wilt also do more than I say.
[KJV | EN | NT | Philemon | Chapter 1 | Verse 22] But withal prepare me also a lodging: for I trust that through your prayers I shall be given unto you.
[KJV | EN | NT | Philemon | Chapter 1 | Verse 23] There salute thee Epaphras, my fellowprisoner in Christ Jesus;
[KJV | EN | NT | Philemon | Chapter 1 | Verse 24] Marcus, Aristarchus, Demas, Lucas, my fellowlabourers.
[KJV | EN | NT | Philemon | Chapter 1 | Verse 25] The grace of our Lord Jesus Christ be with your spirit. Amen. ¶ Written from Rome to Philemon, by Onesimus a servant.
