[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 1] An aged person thou mayest not rebuke, but be entreating as a father; younger persons as brethren;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 2] aged women as mothers, younger ones as sisters — in all purity;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 3] honour widows who are really widows;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 4] and if any widow have children or grandchildren, let them learn first to their own house to show piety, and to give back a recompense to the parents, for this is right and acceptable before God.
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 5] And she who is really a widow and desolate, hath hoped upon God, and doth remain in the supplications and in the prayers night and day,
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 6] and she who is given to luxury, living — hath died;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 7] and these things charge, that they may be blameless;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 8] and if any one for his own — and especially for those of the household — doth not provide, the faith he hath denied, and than an unbeliever he is worse.
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 9] A widow — let her not be enrolled under sixty years of age, having been a wife of one husband,
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 10] in good works being testified to: if she brought up children, if she entertained strangers, if saints' feet she washed, if those in tribulation she relieved, if every good work she followed after;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 11] and younger widows be refusing, for when they may revel against the Christ, they wish to marry,
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 12] having judgment, because the first faith they did cast away,
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 13] and at the same time also, they learn [to be] idle, going about the houses; and not only idle, but also tattlers and busybodies, speaking the things they ought not;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 14] I wish, therefore, younger ones to marry, to bear children, to be mistress of the house, to give no occasion to the opposer to reviling;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 15] for already certain did turn aside after the Adversary.
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 16] If any believing man or believing woman have widows, let them relieve them, and let not the assembly be burdened, that those really widows it may relieve.
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 17] The well-leading elders of double honour let them be counted worthy, especially those labouring in word and teaching,
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 18] for the Writing saith, 'An ox treading out thou shalt not muzzle,' and 'Worthy [is] the workman of his reward.'
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 19] Against an elder an accusation receive not, except upon two or three witnesses.
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 20] Those sinning, reprove before all, that the others also may have fear;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 21] I testify fully, before God and the Lord Jesus Christ, and the choice messengers, that these things thou mayest keep, without forejudging, doing nothing by partiality.
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 22] Be laying hands quickly on no one, nor be having fellowship with sins of others; be keeping thyself pure;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 23] no longer be drinking water, but a little wine be using, because of thy stomach and of thine often infirmities;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 24] of certain men the sins are manifest beforehand, leading before to judgment, and certain also they follow after;
[YLT | EN | NT | 1 Timothy | Chapter 5 | Verse 25] in like manner also the right works are manifest beforehand, and those that are otherwise are not able to be hid.
