[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 1] THE BURDEN which Habakkuk the prophet did see.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 2] How long, O LORD, shall I cry, and Thou wilt not hear? I cry out unto Thee of violence, and Thou wilt not save.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 3] Why dost Thou show me iniquity, and beholdest mischief? And why are spoiling and violence before me? so that there is strife, and contention ariseth.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 4] Therefore the law is slacked, and right doth never go forth; for the wicked doth beset the righteous; therefore right goeth forth perverted.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 5] Look ye among the nations, and behold, and wonder marvellously; for, behold, a work shall be wrought in your days, which ye will not believe though it be told you.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 6] For, lo, I raise up the Chaldeans, that bitter and impetuous nation, that march through the breadth of the earth, to possess dwelling-places that are not theirs.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 7] They are terrible and dreadful; their law and their majesty proceed from themselves.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 8] Their horses also are swifter than leopards, and are more fierce than the wolves of the desert; and their horsemen spread themselves; yea, their horsemen come from far, they fly as a vulture that hasteth to devour.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 9] They come all of them for violence; their faces are set eagerly as the east wind; and they gather captives as the sand.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 10] And they scoff at kings, and princes are a derision unto them; they deride every stronghold, for they heap up earth, and take it.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 11] Then their spirit doth pass over and transgress, and they become guilty: even they who impute their might unto their god.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 12] Art not Thou from everlasting, O LORD my God, my Holy One? We shall not die. O LORD, Thou hast ordained them for judgment, and Thou, O Rock, hast established them for correction.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 13] Thou that art of eyes too pure to behold evil, and that canst not look on mischief, wherefore lookest Thou, when they deal treacherously, and holdest Thy peace, when the wicked swalloweth up the man that is more righteous than he;
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 14] And makest men as the fishes of the sea, as the creeping things, that have no ruler over them?
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 15] They take up all of them with the angle, they catch them in their net, and gather them in their drag; therefore they rejoice and exult.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 16] Therefore they sacrifice unto their net, and offer unto their drag; because by them their portion is fat, and their food plenteous.
[JPS | EN | OT | Habakkuk | Chapter 1 | Verse 17] Shall they therefore empty their net, and not spare to slay the nations continually?
