[ERV | EN | OT | Lamentations | Chapter 5 | Verse 1] Remember, O what is LORD, come upon us: behold, and see our reproach.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 2] Our inheritance is turned unto strangers, our houses unto aliens.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 3] We are orphans and fatherless, our mothers are as widows.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 4] We have drunken our water for money; our wood is sold unto us.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 5] Our pursuers are upon our necks: we are weary, and have no rest.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 6] We have given the hand to the Egyptians, and to the Assyrians, to be satisfied with bread.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 7] Our fathers have sinned, and are not; and we have borne their iniquities.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 8] Servants rule over us: there is none to deliver us out of their hand.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 9] We get our bread with the peril of our lives because of the sword of the wilderness.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 10] Our skin is black like an oven because of the burning heat of famine.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 11] They ravished the women in Zion, the maidens in the cities of Judah.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 12] Princes were hanged up by their hand: the faces of elders were not honoured.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 13] The young men bare the mill, and the children stumbled under the wood.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 14] The elders have ceased from the gate, the young men from their music.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 15] The joy of our heart is ceased; our dance is turned into mourning.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 16] The crown is fallen from our head: woe unto us! for we have sinned.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 17] For this our heart is faint; for these things our eyes are dim;
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 18] For the mountain of Zion, which is desolate; the foxes walk upon it.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 19] Thou, O LORD, abidest for ever; thy throne is from generation to generation.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 20] Wherefore dost thou forget us for ever, and forsake us so long time?
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 21] Turn thou us unto thee, O LORD, and we shall be turned; renew our days as of old.
[ERV | EN | OT | Lamentations | Chapter 5 | Verse 22] But thou hast utterly rejected us, thou art very wroth against us.
