[ERV | EN | OT | Lamentations | Chapter 2 | Verse 1] How hath the Lord covered the daughter of Zion with a cloud in his anger! he hath cast down from heaven unto the earth the beauty of Israel, and hath not remembered his footstool in the day of his anger.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 2] The Lord hath swallowed up all the habitations of Jacob, and hath not pitied; he hath thrown down in his wrath the strong holds of the daughter of Judah; he hath brought them down to the ground: he hath profaned the kingdom and the princes thereof.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 3] He hath cut off in fierce anger all the horn of Israel; he hath drawn back his right hand from before the enemy: and he hath burned up Jacob like a flaming fire, which devoureth round about.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 4] He hath bent his bow like an enemy, he hath stood with his right hand as an adversary, and hath slain all that were pleasant to the eye: in the tent of the daughter of Zion he hath poured out his fury like fire.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 5] The Lord is become as an enemy, he hath swallowed up Israel; he hath swallowed up all her palaces, he hath destroyed his strong holds: and he hath multiplied in the daughter of Judah mourning and lamentation.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 6] And he hath violently taken away his tabernacle, as if it were of a garden; he hath destroyed his place of assembly: the LORD hath caused solemn assembly and sabbath to be forgotten in Zion, and hath despised in the indignation of his anger the king and the priest.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 7] The Lord hath cast off his altar, he hath abhorred his sanctuary, he hath given up into the hand of the enemy the walls of her palaces: they have made a noise in the house of the LORD, as in the day of a solemn assembly.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 8] The LORD hath purposed to destroy the wall of the daughter of Zion; he hath stretched out the line, he hath not withdrawn his hand from destroying: but he hath made the rampart and wall to lament; they languish together.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 9] Her gates are sunk into the ground; he hath destroyed and broken her bars: her king and her princes are among the nations where the law is not; yea, her prophets find no vision from the LORD.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 10] The elders of the daughter of Zion sit upon the ground, they keep silence; they have cast up dust upon their heads; they have girded themselves with sackcloth: the virgins of Jerusalem hang down their heads to the ground.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 11] Mine eyes do fail with tears, my bowels are troubled, my liver is poured upon the earth, for the destruction of the daughter of my people; because the young children and the sucklings swoon in the streets of the city.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 12] They say to their mothers, Where is corn and wine? when they swoon as the wounded in the streets of the city, when their soul is poured out into their mothers’ bosom.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 13] What shall I testify unto thee? what shall I liken to thee, O daughter of Jerusalem? what shall I equal to thee, that I may comfort thee, O virgin daughter of Zion? for thy breach is great like the sea: who can heal thee?
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 14] Thy prophets have seen visions for thee of vanity and foolishness; and they have not discovered thine iniquity, to bring again thy captivity: but have seen for thee burdens of vanity and causes of banishment.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 15] All that pass by clap their hands at thee; they hiss and wag their head at the daughter of Jerusalem, saying: Is this the city that men called The perfection of beauty, The joy of the whole earth?
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 16] All thine enemies have opened their mouth wide against thee; they hiss and gnash the teeth; they say, We have swallowed her up; certainly this is the day that we looked for; we have found, we have seen it.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 17] The LORD hath done that which he devised; he hath fulfilled his word that he commanded in the days of old; he hath thrown down, and hath not pitied: and he hath caused the enemy to rejoice over thee, he hath exalted the horn of thine adversaries.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 18] Their heart cried unto the Lord: O wall of the daughter of Zion, let tears run down like a river day and night; give thyself no respite; let not the apple of thine eye cease.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 19] Arise, cry out in the night, at the beginning of the watches; pour out thine heart like water before the face of the Lord: lift up thy hands toward him for the life of thy young children, that faint for hunger at the top of every street.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 20] See, O LORD, and behold, to whom thou hast done thus! shall the women eat their fruit, the children that are dandled in the hands? shall the priest and the prophet be slain in the sanctuary of the Lord?
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 21] The youth and the old man lie on the ground in the streets; my virgins and my young men are fallen by the sword: thou hast slain them in the day of thine anger; thou hast slaughtered, and not pitied.
[ERV | EN | OT | Lamentations | Chapter 2 | Verse 22] Thou hast called, as in the day of a solemn assembly, my terrors on every side, and there was none that escaped or remained in the day of the LORD’S anger: those that I have dandled and brought up hath mine enemy consumed.
