[OEB | EN | NT | Ephesians | Chapter 6 | Verse 1] Children, obey your parents, as children of the Lord; for that is but right.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 2] “Honour your father and mother” – this is the first Commandment with a promise –
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 3] “so that you may prosper and have a long life on earth.”
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 4] And fathers, do not irritate your children, but bring them up with Christian discipline and instruction.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 5] Slaves, obey your earthly masters, with anxious care, giving them ungrudging service, as if obeying the Christ;
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 6] not only when their eyes are on you, as if you had merely to please people, but as slaves of Christ, who are trying to carry out the will of God.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 7] Give your service heartily and cheerfully, as working for the Master and not for people;
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 8] for you know that everyone will be rewarded by the Master for any honest work that he has done, whether he is a slave or free.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 9] And masters, treat your slaves in the same spirit. Give up threatening them; for you know that he who is both their Master and yours is in heaven, and that before him there is no distinction of rank.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 10] For the future, find strength in your union with the Lord, and in the power which comes from his might.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 11] Put on the full armour of God, so that you may be able to stand your ground against the stratagems of the devil.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 12] For ours is no struggle against enemies of flesh and blood, but against all the various powers of evil that hold sway in the darkness around us, against the spirits of wickedness on high.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 13] Therefore take up the full armour of God, so that when the evil day comes, you may be able to withstand the attack, and, having fought to the end, still to stand your ground.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 14] Stand your ground, then, with truth for your belt, and with righteousness for your breastplate,
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 15] and with the readiness to serve the good news of peace as shoes for your feet.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 16] At every onslaught take up faith for your shield; for with it you will be able to extinguish all the flaming darts of the evil one.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 17] And receive the helmet of salvation, and the sword of the Spirit – which is the message of God – always with prayer and supplication.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 18] Pray in spirit at all times. Be intent on this, with unwearying perseverance and supplication for all Christ’s people –
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 19] and on my behalf also, so that when I begin to speak, words may be given me, so that I may fearlessly make known the inmost truth of the good news,
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 20] on behalf of which I am an ambassador – in chains! Pray that, in telling it, I may speak fearlessly as I ought.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 21] To enable you, as well as others, to know all that concerns me and what I am doing, Tychicus, our dear friend and faithful helper in the Master’s cause, will tell you everything.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 22] I am sending him to you on purpose that you may learn all about us, and that he may cheer your hearts.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 23] May God, the Father, and the Lord Jesus Christ give every follower peace, and love linked with faith.
[OEB | EN | NT | Ephesians | Chapter 6 | Verse 24] May God’s blessing be with all who love our Lord Jesus Christ with an undying love.
