[WEB | EN | NT | Acts | Chapter 20 | Verse 1] After the uproar had ceased, Paul sent for the disciples, took leave of them, and departed to go into Macedonia.
[WEB | EN | NT | Acts | Chapter 20 | Verse 2] When he had gone through those parts and had encouraged them with many words, he came into Greece.
[WEB | EN | NT | Acts | Chapter 20 | Verse 3] When he had spent three months there, and a plot was made against him by Jews as he was about to set sail for Syria, he determined to return through Macedonia.
[WEB | EN | NT | Acts | Chapter 20 | Verse 4] These accompanied him as far as Asia: Sopater of Beroea, Aristarchus and Secundus of the Thessalonians, Gaius of Derbe, Timothy, and Tychicus and Trophimus of Asia.
[WEB | EN | NT | Acts | Chapter 20 | Verse 5] But these had gone ahead, and were waiting for us at Troas.
[WEB | EN | NT | Acts | Chapter 20 | Verse 6] We sailed away from Philippi after the days of Unleavened Bread, and came to them at Troas in five days, where we stayed seven days.
[WEB | EN | NT | Acts | Chapter 20 | Verse 7] On the first day of the week, when the disciples were gathered together to break bread, Paul talked with them, intending to depart on the next day; and continued his speech until midnight.
[WEB | EN | NT | Acts | Chapter 20 | Verse 8] There were many lights in the upper room where we were gathered together.
[WEB | EN | NT | Acts | Chapter 20 | Verse 9] A certain young man named Eutychus sat in the window, weighed down with deep sleep. As Paul spoke still longer, being weighed down by his sleep, he fell down from the third floor and was taken up dead.
[WEB | EN | NT | Acts | Chapter 20 | Verse 10] Paul went down and fell upon him, and embracing him said, “Don’t be troubled, for his life is in him.”
[WEB | EN | NT | Acts | Chapter 20 | Verse 11] When he had gone up, had broken bread and eaten, and had talked with them a long while, even until break of day, he departed.
[WEB | EN | NT | Acts | Chapter 20 | Verse 12] They brought the boy in alive, and were greatly comforted.
[WEB | EN | NT | Acts | Chapter 20 | Verse 13] But we, going ahead to the ship, set sail for Assos, intending to take Paul aboard there; for he had so arranged, intending himself to go by land.
[WEB | EN | NT | Acts | Chapter 20 | Verse 14] When he met us at Assos, we took him aboard and came to Mitylene.
[WEB | EN | NT | Acts | Chapter 20 | Verse 15] Sailing from there, we came the following day opposite Chios. The next day we touched at Samos and stayed at Trogyllium, and the day after we came to Miletus.
[WEB | EN | NT | Acts | Chapter 20 | Verse 16] For Paul had determined to sail past Ephesus, that he might not have to spend time in Asia; for he was hastening, if it were possible for him, to be in Jerusalem on the day of Pentecost.
[WEB | EN | NT | Acts | Chapter 20 | Verse 17] From Miletus he sent to Ephesus and called to himself the elders of the assembly.
[WEB | EN | NT | Acts | Chapter 20 | Verse 18] When they had come to him, he said to them, “You yourselves know, from the first day that I set foot in Asia, how I was with you all the time,
[WEB | EN | NT | Acts | Chapter 20 | Verse 19] serving the Lord with all humility, with many tears, and with trials which happened to me by the plots of the Jews;
[WEB | EN | NT | Acts | Chapter 20 | Verse 20] how I didn’t shrink from declaring to you anything that was profitable, teaching you publicly and from house to house,
[WEB | EN | NT | Acts | Chapter 20 | Verse 21] testifying both to Jews and to Greeks repentance toward God and faith toward our Lord Jesus.
[WEB | EN | NT | Acts | Chapter 20 | Verse 22] Now, behold, I go bound by the Spirit to Jerusalem, not knowing what will happen to me there;
[WEB | EN | NT | Acts | Chapter 20 | Verse 23] except that the Holy Spirit testifies in every city, saying that bonds and afflictions wait for me.
[WEB | EN | NT | Acts | Chapter 20 | Verse 24] But these things don’t count; nor do I hold my life dear to myself, so that I may finish my race with joy, and the ministry which I received from the Lord Jesus, to fully testify to the Good News of the grace of God.
[WEB | EN | NT | Acts | Chapter 20 | Verse 25] “Now, behold, I know that you all, among whom I went about preaching God’s Kingdom, will see my face no more.
[WEB | EN | NT | Acts | Chapter 20 | Verse 26] Therefore I testify to you today that I am clean from the blood of all men,
[WEB | EN | NT | Acts | Chapter 20 | Verse 27] for I didn’t shrink from declaring to you the whole counsel of God.
[WEB | EN | NT | Acts | Chapter 20 | Verse 28] Take heed, therefore, to yourselves and to all the flock, in which the Holy Spirit has made you overseers, to shepherd the assembly of the Lord and God which he purchased with his own blood.
[WEB | EN | NT | Acts | Chapter 20 | Verse 29] For I know that after my departure, vicious wolves will enter in among you, not sparing the flock.
[WEB | EN | NT | Acts | Chapter 20 | Verse 30] Men will arise from among your own selves, speaking perverse things, to draw away the disciples after them.
[WEB | EN | NT | Acts | Chapter 20 | Verse 31] Therefore watch, remembering that for a period of three years I didn’t cease to admonish everyone night and day with tears.
[WEB | EN | NT | Acts | Chapter 20 | Verse 32] Now, brothers, I entrust you to God and to the word of his grace, which is able to build up and to give you the inheritance among all those who are sanctified.
[WEB | EN | NT | Acts | Chapter 20 | Verse 33] I coveted no one’s silver, gold, or clothing.
[WEB | EN | NT | Acts | Chapter 20 | Verse 34] You yourselves know that these hands served my necessities, and those who were with me.
[WEB | EN | NT | Acts | Chapter 20 | Verse 35] In all things I gave you an example, that so laboring you ought to help the weak, and to remember the words of the Lord Jesus, that he himself said, ‘It is more blessed to give than to receive.’ ”
[WEB | EN | NT | Acts | Chapter 20 | Verse 36] When he had spoken these things, he knelt down and prayed with them all.
[WEB | EN | NT | Acts | Chapter 20 | Verse 37] They all wept freely, and fell on Paul’s neck and kissed him,
[WEB | EN | NT | Acts | Chapter 20 | Verse 38] sorrowing most of all because of the word which he had spoken, that they should see his face no more. Then they accompanied him to the ship.
