[WEB | EN | NT | Acts | Chapter 9 | Verse 1] But Saul, still breathing threats and slaughter against the disciples of the Lord, went to the high priest
[WEB | EN | NT | Acts | Chapter 9 | Verse 2] and asked for letters from him to the synagogues of Damascus, that if he found any who were of the Way, whether men or women, he might bring them bound to Jerusalem.
[WEB | EN | NT | Acts | Chapter 9 | Verse 3] As he traveled, he got close to Damascus, and suddenly a light from the sky shone around him.
[WEB | EN | NT | Acts | Chapter 9 | Verse 4] He fell on the earth, and heard a voice saying to him, “Saul, Saul, why do you persecute me?”
[WEB | EN | NT | Acts | Chapter 9 | Verse 5] He said, “Who are you, Lord?” The Lord said, “I am Jesus, whom you are persecuting.
[WEB | EN | NT | Acts | Chapter 9 | Verse 6] But rise up and enter into the city, then you will be told what you must do.”
[WEB | EN | NT | Acts | Chapter 9 | Verse 7] The men who traveled with him stood speechless, hearing the sound, but seeing no one.
[WEB | EN | NT | Acts | Chapter 9 | Verse 8] Saul arose from the ground, and when his eyes were opened, he saw no one. They led him by the hand and brought him into Damascus.
[WEB | EN | NT | Acts | Chapter 9 | Verse 9] He was without sight for three days, and neither ate nor drank.
[WEB | EN | NT | Acts | Chapter 9 | Verse 10] Now there was a certain disciple at Damascus named Ananias. The Lord said to him in a vision, “Ananias!” He said, “Behold, it’s me, Lord.”
[WEB | EN | NT | Acts | Chapter 9 | Verse 11] The Lord said to him, “Arise and go to the street which is called Straight, and inquire in the house of Judah for one named Saul, a man of Tarsus. For behold, he is praying,
[WEB | EN | NT | Acts | Chapter 9 | Verse 12] and in a vision he has seen a man named Ananias coming in and laying his hands on him, that he might receive his sight.”
[WEB | EN | NT | Acts | Chapter 9 | Verse 13] But Ananias answered, “Lord, I have heard from many about this man, how much evil he did to your saints at Jerusalem.
[WEB | EN | NT | Acts | Chapter 9 | Verse 14] Here he has authority from the chief priests to bind all who call on your name.”
[WEB | EN | NT | Acts | Chapter 9 | Verse 15] But the Lord said to him, “Go your way, for he is my chosen vessel to bear my name before the nations and kings, and the children of Israel.
[WEB | EN | NT | Acts | Chapter 9 | Verse 16] For I will show him how many things he must suffer for my name’s sake.”
[WEB | EN | NT | Acts | Chapter 9 | Verse 17] Ananias departed and entered into the house. Laying his hands on him, he said, “Brother Saul, the Lord, who appeared to you on the road by which you came, has sent me that you may receive your sight and be filled with the Holy Spirit.”
[WEB | EN | NT | Acts | Chapter 9 | Verse 18] Immediately something like scales fell from his eyes, and he received his sight. He arose and was baptized.
[WEB | EN | NT | Acts | Chapter 9 | Verse 19] He took food and was strengthened. Saul stayed several days with the disciples who were at Damascus.
[WEB | EN | NT | Acts | Chapter 9 | Verse 20] Immediately in the synagogues he proclaimed the Christ, that he is the Son of God.
[WEB | EN | NT | Acts | Chapter 9 | Verse 21] All who heard him were amazed, and said, “Isn’t this he who in Jerusalem made havoc of those who called on this name? And he had come here intending to bring them bound before the chief priests!”
[WEB | EN | NT | Acts | Chapter 9 | Verse 22] But Saul increased more in strength, and confounded the Jews who lived at Damascus, proving that this is the Christ.
[WEB | EN | NT | Acts | Chapter 9 | Verse 23] When many days were fulfilled, the Jews conspired together to kill him,
[WEB | EN | NT | Acts | Chapter 9 | Verse 24] but their plot became known to Saul. They watched the gates both day and night that they might kill him,
[WEB | EN | NT | Acts | Chapter 9 | Verse 25] but his disciples took him by night and let him down through the wall, lowering him in a basket.
[WEB | EN | NT | Acts | Chapter 9 | Verse 26] When Saul had come to Jerusalem, he tried to join himself to the disciples; but they were all afraid of him, not believing that he was a disciple.
[WEB | EN | NT | Acts | Chapter 9 | Verse 27] But Barnabas took him and brought him to the apostles, and declared to them how he had seen the Lord on the way, and that he had spoken to him, and how at Damascus he had preached boldly in the name of Jesus.
[WEB | EN | NT | Acts | Chapter 9 | Verse 28] He was with them entering into Jerusalem,
[WEB | EN | NT | Acts | Chapter 9 | Verse 29] preaching boldly in the name of the Lord Jesus. He spoke and disputed against the Hellenists, but they were seeking to kill him.
[WEB | EN | NT | Acts | Chapter 9 | Verse 30] When the brothers knew it, they brought him down to Caesarea and sent him off to Tarsus.
[WEB | EN | NT | Acts | Chapter 9 | Verse 31] So the assemblies throughout all Judea, Galilee, and Samaria had peace and were built up. They were multiplied, walking in the fear of the Lord and in the comfort of the Holy Spirit.
[WEB | EN | NT | Acts | Chapter 9 | Verse 32] As Peter went throughout all those parts, he came down also to the saints who lived at Lydda.
[WEB | EN | NT | Acts | Chapter 9 | Verse 33] There he found a certain man named Aeneas, who had been bedridden for eight years because he was paralyzed.
[WEB | EN | NT | Acts | Chapter 9 | Verse 34] Peter said to him, “Aeneas, Jesus Christ heals you. Get up and make your bed!” Immediately he arose.
[WEB | EN | NT | Acts | Chapter 9 | Verse 35] All who lived at Lydda and in Sharon saw him, and they turned to the Lord.
