[YLT | EN | NT | 1 John | Chapter 5 | Verse 1] Every one who is believing that Jesus is the Christ, of God he hath been begotten, and every one who is loving Him who did beget, doth love also him who is begotten of Him:
[YLT | EN | NT | 1 John | Chapter 5 | Verse 2] in this we know that we love the children of God, when we may love God, and His commands may keep;
[YLT | EN | NT | 1 John | Chapter 5 | Verse 3] for this is the love of God, that His commands we may keep, and His commands are not burdensome;
[YLT | EN | NT | 1 John | Chapter 5 | Verse 4] because every one who is begotten of God doth overcome the world, and this is the victory that did overcome the world — our faith;
[YLT | EN | NT | 1 John | Chapter 5 | Verse 5] who is he who is overcoming the world, if not he who is believing that Jesus is the Son of God?
[YLT | EN | NT | 1 John | Chapter 5 | Verse 6] This one is he who did come through water and blood — Jesus the Christ, not in the water only, but in the water and the blood; and the Spirit it is that is testifying, because the Spirit is the truth,
[YLT | EN | NT | 1 John | Chapter 5 | Verse 7] because three are who are testifying [in the heaven, the Father, the Word, and the Holy Spirit, and these — the three — are one;
[YLT | EN | NT | 1 John | Chapter 5 | Verse 8] and three are who are testifying in the earth], the Spirit, and the water, and the blood, and the three are into the one.
[YLT | EN | NT | 1 John | Chapter 5 | Verse 9] If the testimony of men we receive, the testimony of God is greater, because this is the testimony of God that He hath testified concerning His Son.
[YLT | EN | NT | 1 John | Chapter 5 | Verse 10] He who is believing in the Son of God, hath the testimony in himself; he who is not believing God, a liar hath made Him, because he hath not believed in the testimony that God hath testified concerning His Son;
[YLT | EN | NT | 1 John | Chapter 5 | Verse 11] and this is the testimony, that life age-during did God give to us, and this — the life — is in His Son;
[YLT | EN | NT | 1 John | Chapter 5 | Verse 12] he who is having the Son, hath the life; he who is not having the Son of God — the life he hath not.
[YLT | EN | NT | 1 John | Chapter 5 | Verse 13] These things I did write to you who are believing in the name of the Son of God, that ye may know that life ye have age-during, and that ye may believe in the name of the Son of God.
[YLT | EN | NT | 1 John | Chapter 5 | Verse 14] And this is the boldness that we have toward Him, that if anything we may ask according to his will, He doth hear us,
[YLT | EN | NT | 1 John | Chapter 5 | Verse 15] and if we have known that He doth hear us, whatever we may ask, we have known that we have the requests that we have requested from Him.
[YLT | EN | NT | 1 John | Chapter 5 | Verse 16] If any one may see his brother sinning a sin not unto death, he shall ask, and He shall give to him life to those sinning not unto death; there is sin to death, not concerning it do I speak that he may beseech;
[YLT | EN | NT | 1 John | Chapter 5 | Verse 17] all unrighteousness is sin, and there is sin not unto death.
[YLT | EN | NT | 1 John | Chapter 5 | Verse 18] We have known that every one who hath been begotten of God doth not sin, but he who was begotten of God doth keep himself, and the evil one doth not touch him;
[YLT | EN | NT | 1 John | Chapter 5 | Verse 19] we have known that of God we are, and the whole world in the evil doth lie;
[YLT | EN | NT | 1 John | Chapter 5 | Verse 20] and we have known that the Son of God is come, and hath given us a mind, that we may know Him who is true, and we are in Him who is true, in His Son Jesus Christ; this one is the true God and the life age-during!
[YLT | EN | NT | 1 John | Chapter 5 | Verse 21] Little children, guard yourselves from the idols! Amen.
