[YLT | EN | NT | 1 John | Chapter 3 | Verse 1] See ye what love the Father hath given to us, that children of God we may be called; because of this the world doth not know us, because it did not know Him;
[YLT | EN | NT | 1 John | Chapter 3 | Verse 2] beloved, now, children of God are we, and it was not yet manifested what we shall be, and we have known that if he may be manifested, like him we shall be, because we shall see him as he is;
[YLT | EN | NT | 1 John | Chapter 3 | Verse 3] and every one who is having this hope on him, doth purify himself, even as he is pure.
[YLT | EN | NT | 1 John | Chapter 3 | Verse 4] Every one who is doing the sin, the lawlessness also he doth do, and the sin is the lawlessness,
[YLT | EN | NT | 1 John | Chapter 3 | Verse 5] and ye have known that he was manifested that our sins he may take away, and sin is not in him;
[YLT | EN | NT | 1 John | Chapter 3 | Verse 6] every one who is remaining in him doth not sin; every one who is sinning, hath not seen him, nor known him.
[YLT | EN | NT | 1 John | Chapter 3 | Verse 7] Little children, let no one lead you astray; he who is doing the righteousness is righteous, even as he is righteous,
[YLT | EN | NT | 1 John | Chapter 3 | Verse 8] he who is doing the sin, of the devil he is, because from the beginning the devil doth sin; for this was the Son of God manifested, that he may break up the works of the devil;
[YLT | EN | NT | 1 John | Chapter 3 | Verse 9] every one who hath been begotten of God, sin he doth not, because his seed in him doth remain, and he is not able to sin, because of God he hath been begotten.
[YLT | EN | NT | 1 John | Chapter 3 | Verse 10] In this manifest are the children of God, and the children of the devil; every one who is not doing righteousness, is not of God, and he who is not loving his brother,
[YLT | EN | NT | 1 John | Chapter 3 | Verse 11] because this is the message that ye did hear from the beginning, that we may love one another,
[YLT | EN | NT | 1 John | Chapter 3 | Verse 12] not as Cain — of the evil one he was, and he did slay his brother, and wherefore did he slay him? because his works were evil, and those of his brother righteous.
[YLT | EN | NT | 1 John | Chapter 3 | Verse 13] Do not wonder, my brethren, if the world doth hate you;
[YLT | EN | NT | 1 John | Chapter 3 | Verse 14] we — we have known that we have passed out of the death to the life, because we love the brethren; he who is not loving the brother doth remain in the death.
[YLT | EN | NT | 1 John | Chapter 3 | Verse 15] Every one who is hating his brother — a man-killer he is, and ye have known that no man-killer hath life age-during in him remaining,
[YLT | EN | NT | 1 John | Chapter 3 | Verse 16] in this we have known the love, because he for us his life did lay down, and we ought for the brethren the lives to lay down;
[YLT | EN | NT | 1 John | Chapter 3 | Verse 17] and whoever may have the goods of the world, and may view his brother having need, and may shut up his bowels from him — how doth the love of God remain in him?
[YLT | EN | NT | 1 John | Chapter 3 | Verse 18] My little children, may we not love in word nor in tongue, but in word and in truth!
[YLT | EN | NT | 1 John | Chapter 3 | Verse 19] and in this we know that of the truth we are, and before Him we shall assure our hearts,
[YLT | EN | NT | 1 John | Chapter 3 | Verse 20] because if our heart may condemn — because greater is God than our heart, and He doth know all things.
[YLT | EN | NT | 1 John | Chapter 3 | Verse 21] Beloved, if our heart may not condemn us, we have boldness toward God,
[YLT | EN | NT | 1 John | Chapter 3 | Verse 22] and whatever we may ask, we receive from Him, because His commands we keep, and the things pleasing before Him we do,
[YLT | EN | NT | 1 John | Chapter 3 | Verse 23] and this is His command, that we may believe in the name of His Son Jesus Christ, and may love one another, even as He did give command to us,
[YLT | EN | NT | 1 John | Chapter 3 | Verse 24] and he who is keeping His commands, in Him he doth remain, and He in him; and in this we know that He doth remain in us, from the Spirit that He gave us.
