[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 1] And all the people of Judah took Uzziah, who was sixteen years old, and made him king in the room of his father Amaziah.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 2] He built Eloth, and restored it to Judah, after that the king slept with his fathers.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 3] Sixteen years old was Uzziah when he began to reign; and he reigned fifty and two years in Jerusalem: and his mother’s name was Jecoliah, of Jerusalem.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 4] And he did that which was right in the eyes of Jehovah, according to all that his father Amaziah had done.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 5] And he set himself to seek God in the days of Zechariah, who had understanding in the vision of God: and as long as he sought Jehovah, God made him to prosper.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 6] And he went forth and warred against the Philistines, and brake down the wall of Gath, and the wall of Jabneh, and the wall of Ashdod; and he built cities in the country of Ashdod, and among the Philistines.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 7] And God helped him against the Philistines, and against the Arabians that dwelt in Gur-baal, and the Meunim.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 8] And the Ammonites gave tribute to Uzziah: and his name spread abroad even to the entrance of Egypt; for he waxed exceeding strong.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 9] Moreover Uzziah built towers in Jerusalem at the corner gate, and at the valley gate, and at the turning of the wall, and fortified them.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 10] And he built towers in the wilderness, and hewed out many cisterns, for he had much cattle; in the lowland also, and in the plain: and he had husbandmen and vinedressers in the mountains and in the fruitful fields; for he loved husbandry.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 11] Moreover Uzziah had an army of fighting men, that went out to war by bands, according to the number of their reckoning made by Jeiel the scribe and Maaseiah the officer, under the hand of Hananiah, one of the king’s captains.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 12] The whole number of the heads of fathers’ houses, even the mighty men of valor, was two thousand and six hundred.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 13] And under their hand was an army, three hundred thousand and seven thousand and five hundred, that made war with mighty power, to help the king against the enemy.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 14] And Uzziah prepared for them, even for all the host, shields, and spears, and helmets, and coats of mail, and bows, and stones for slinging.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 15] And he made in Jerusalem engines, invented by skillful men, to be on the towers and upon the battlements, wherewith to shoot arrows and great stones. And his name spread far abroad; for he was marvelously helped, till he was strong.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 16] But when he was strong, his heart was lifted up, so that he did corruptly, and he trespassed against Jehovah his God; for he went into the temple of Jehovah to burn incense upon the altar of incense.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 17] And Azariah the priest went in after him, and with him fourscore priests of Jehovah, that were valiant men:
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 18] and they withstood Uzziah the king, and said unto him, It pertaineth not unto thee, Uzziah, to burn incense unto Jehovah, but to the priests the sons of Aaron, that are consecrated to burn incense: go out of the sanctuary; for thou hast trespassed; neither shall it be for thine honor from Jehovah God.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 19] Then Uzziah was wroth; and he had a censer in his hand to burn incense; and while he was wroth with the priests, the leprosy brake forth in his forehead before the priests in the house of Jehovah, beside the altar of incense.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 20] And Azariah the chief priest, and all the priests, looked upon him, and, behold, he was leprous in his forehead, and they thrust him out quickly from thence; yea, himself hasted also to go out, because Jehovah had smitten him.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 21] And Uzziah the king was a leper unto the day of his death, and dwelt in a separate house, being a leper; for he was cut off from the house of Jehovah: and Jotham his son was over the king’s house, judging the people of the land.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 22] Now the rest of the acts of Uzziah, first and last, did Isaiah the prophet, the son of Amoz, write.
[ASV | EN | OT | 2 Chronicles | Chapter 26 | Verse 23] So Uzziah slept with his fathers; and they buried him with his fathers in the field of burial which belonged to the kings; for they said, He is a leper: and Jotham his son reigned in his stead.
