[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 1] And it came to pass after this, that the children of Moab, and the children of Ammon, and with them some of the Ammonites, came against Jehoshaphat to battle.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 2] Then there came some that told Jehoshaphat, saying, There cometh a great multitude against thee from beyond the sea from Syria; and, behold, they are in Hazazon-tamar (the same is En-gedi).
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 3] And Jehoshaphat feared, and set himself to seek unto Jehovah; and he proclaimed a fast throughout all Judah.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 4] And Judah gathered themselves together, to seek help of Jehovah: even out of all the cities of Judah they came to seek Jehovah.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 5] And Jehoshaphat stood in the assembly of Judah and Jerusalem, in the house of Jehovah, before the new court;
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 6] and he said, O Jehovah, the God of our fathers, art not thou God in heaven? and art not thou ruler over all the kingdoms of the nations? and in thy hand is power and might, so that none is able to withstand thee.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 7] Didst not thou, O our God, drive out the inhabitants of this land before thy people Israel, and give it to the seed of Abraham thy friend forever?
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 8] And they dwelt therein, and have built thee a sanctuary therein for thy name, saying,
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 9] If evil come upon us, the sword, judgment, or pestilence, or famine, we will stand before this house, and before thee (for thy name is in this house), and cry unto thee in our affliction, and thou wilt hear and save.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 10] And now, behold, the children of Ammon and Moab and mount Seir, whom thou wouldest not let Israel invade, when they came out of the land of Egypt, but they turned aside from them, and destroyed them not;
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 11] behold, how they reward us, to come to cast us out of thy possession, which thou hast given us to inherit.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 12] O our God, wilt thou not judge them? for we have no might against this great company that cometh against us; neither know we what to do: but our eyes are upon thee.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 13] And all Judah stood before Jehovah, with their little ones, their wives, and their children.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 14] Then upon Jahaziel the son of Zechariah, the son of Benaiah, the son of Jeiel, the son of Mattaniah, the Levite, of the sons of Asaph, came the Spirit of Jehovah in the midst of the assembly;
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 15] and he said, Hearken ye, all Judah, and ye inhabitants of Jerusalem, and thou king Jehoshaphat: Thus saith Jehovah unto you, Fear not ye, neither be dismayed by reason of this great multitude; for the battle is not yours, but God’s.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 16] Tomorrow go ye down against them: behold, they come up by the ascent of Ziz; and ye shall find them at the end of the valley, before the wilderness of Jeruel.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 17] Ye shall not need to fight in this battle: set yourselves, stand ye still, and see the salvation of Jehovah with you, O Judah and Jerusalem; fear not, nor be dismayed: tomorrow go out against them; for Jehovah is with you.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 18] And Jehoshaphat bowed his head with his face to the ground; and all Judah and the inhabitants of Jerusalem fell down before Jehovah, worshiping Jehovah.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 19] And the Levites, of the children of the Kohathites and of the children of the Korahites, stood up to praise Jehovah, the God of Israel, with an exceeding loud voice.
