[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 1] And when Rehoboam was come to Jerusalem, he assembled the house of Judah and Benjamin, a hundred and fourscore thousand chosen men, that were warriors, to fight against Israel, to bring the kingdom again to Rehoboam.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 2] But the word of Jehovah came to Shemaiah the man of God, saying,
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 3] Speak unto Rehoboam the son of Solomon, king of Judah, and to all Israel in Judah and Benjamin, saying,
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 4] Thus saith Jehovah, Ye shall not go up, nor fight against your brethren: return every man to his house; for this thing is of me. So they hearkened unto the words of Jehovah, and returned from going against Jeroboam.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 5] And Rehoboam dwelt in Jerusalem, and built cities for defense in Judah.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 6] He built Beth-lehem, and Etam, and Tekoa,
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 7] And Beth-zur, and Soco, and Adullam,
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 8] and Gath, and Mareshah, and Ziph,
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 9] and Adoraim, and Lachish, and Azekah,
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 10] and Zorah, and Aijalon, and Hebron, which are in Judah and in Benjamin, fortified cities.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 11] And he fortified the strongholds, and put captains in them, and stores of victuals, and oil and wine.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 12] And in every city he put shields and spears, and made them exceeding strong. And Judah and Benjamin belonged to him.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 13] And the priests and the Levites that were in all Israel resorted to him out of all their border.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 14] For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest’s office unto Jehovah;
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 15] and he appointed him priests for the high places, and for the he-goats, and for the calves which he had made.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 16] And after them, out of all the tribes of Israel, such as set their hearts to seek Jehovah, the God of Israel, came to Jerusalem to sacrifice unto Jehovah, the God of their fathers.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 17] So they strengthened the kingdom of Judah, and made Rehoboam the son of Solomon strong, three years; for they walked three years in the way of David and Solomon.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 18] And Rehoboam took him a wife, Mahalath the daughter of Jerimoth the son of David, and of Abihail the daughter of Eliab the son of Jesse;
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 19] and she bare him sons: Jeush, and Shemariah, and Zaham.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 20] And after her he took Maacah the daughter of Absalom; and she bare him Abijah, and Attai, and Ziza, and Shelomith.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 21] And Rehoboam loved Maacah the daughter of Absalom above all his wives and his concubines (for he took eighteen wives, and threescore concubines, and begat twenty and eight sons and threescore daughters).
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 22] And Rehoboam appointed Abijah the son of Maacah to be chief, even the prince among his brethren; for he was minded to make him king.
[ASV | EN | OT | 2 Chronicles | Chapter 11 | Verse 23] And he dealt wisely, and dispersed of all his sons throughout all the lands of Judah and Benjamin, unto every fortified city: and he gave them victuals in abundance. And he sought for them many wives.
