[BSB | EN | OT | Isaiah | Chapter 1 | Verse 1] This is the vision concerning Judah and Jerusalem that Isaiah son of Amoz saw during the reigns of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 2] Listen, O heavens, and give ear, O earth, for the LORD has spoken: “I have raised children and brought them up, but they have rebelled against Me.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 3] The ox knows its owner, and the donkey its master’s manger, but Israel does not know; My people do not understand.”
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 4] Alas, O sinful nation, a people laden with iniquity, a brood of evildoers, children of depravity! They have forsaken the LORD; they have despised the Holy One of Israel and turned their backs on Him.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 5] Why do you want more beatings? Why do you keep rebelling? Your head has a massive wound, and your whole heart is afflicted.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 6] From the sole of your foot to the top of your head, there is no soundness— only wounds and welts and festering sores neither cleansed nor bandaged nor soothed with oil.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 7] Your land is desolate; your cities are burned with fire. Foreigners devour your fields before you— a desolation demolished by strangers.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 8] And the Daughter of Zion is abandoned like a shelter in a vineyard, like a shack in a cucumber field, like a city besieged.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 9] Unless the LORD of Hosts had left us a few survivors, we would have become like Sodom, we would have resembled Gomorrah.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 10] Hear the word of the LORD, you rulers of Sodom; listen to the instruction of our God, you people of Gomorrah!
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 11] “What good to Me is your multitude of sacrifices?” says the LORD. “I am full from the burnt offerings of rams and the fat of well-fed cattle; I take no delight in the blood of bulls and lambs and goats.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 12] When you come to appear before Me, who has required this of you— this trampling of My courts?
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 13] Bring your worthless offerings no more; your incense is detestable to Me— your New Moons, Sabbaths, and convocations. I cannot endure iniquity in a solemn assembly.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 14] I hate your New Moons and your appointed feasts. They have become a burden to Me; I am weary of bearing them.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 15] When you spread out your hands in prayer, I will hide My eyes from you; even though you multiply your prayers, I will not listen. Your hands are covered with blood.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 16] Wash and cleanse yourselves. Remove your evil deeds from My sight. Stop doing evil!
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 17] Learn to do right; seek justice and correct the oppressor. Defend the fatherless and plead the case of the widow.”
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 18] “Come now, let us reason together,” says the LORD. “Though your sins are like scarlet, they will be as white as snow; though they are as red as crimson, they will become like wool.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 19] If you are willing and obedient, you will eat the best of the land.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 20] But if you resist and rebel, you will be devoured by the sword.” For the mouth of the LORD has spoken.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 21] See how the faithful city has become a harlot! She once was full of justice; righteousness resided within her, but now only murderers!
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 22] Your silver has become dross; your fine wine is diluted with water.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 23] Your rulers are rebels, friends of thieves. They all love bribes and chasing after rewards. They do not defend the fatherless, and the plea of the widow never comes before them.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 24] Therefore the Lord GOD of Hosts, the Mighty One of Israel, declares: “Ah, I will be relieved of My foes and avenge Myself on My enemies.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 25] I will turn My hand against you; I will thoroughly purge your dross; I will remove all your impurities.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 26] I will restore your judges as at first, and your counselors as at the beginning. After that you will be called the City of Righteousness, the Faithful City.”
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 27] Zion will be redeemed with justice, her repentant ones with righteousness.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 28] But rebels and sinners will together be shattered, and those who forsake the LORD will perish.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 29] Surely you will be ashamed of the sacred oaks in which you have delighted; you will be embarrassed by the gardens that you have chosen.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 30] For you will become like an oak whose leaves are withered, like a garden without water.
[BSB | EN | OT | Isaiah | Chapter 1 | Verse 31] The strong man will become tinder and his work will be a spark; both will burn together, with no one to quench the flames.
