[BSB | EN | OT | Isaiah | Chapter 27 | Verse 1] In that day the LORD will take His sharp, great, and mighty sword, and bring judgment on Leviathan the fleeing serpent —Leviathan the coiling serpent—and He will slay the dragon of the sea.
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 2] In that day: “Sing about a fruitful vineyard.
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 3] I, the LORD, am its keeper; I water it continually. I guard it night and day so no one can disturb it;
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 4] I am not angry. If only thorns and briers confronted Me, I would march and trample them, I would burn them to the ground.
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 5] Or let them lay claim to My protection; let them make peace with Me— yes, let them make peace with Me.”
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 6] In the days to come, Jacob will take root. Israel will bud and blossom and fill the whole world with fruit.
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 7] Has the LORD struck Israel as He struck her oppressors? Was she killed like those who slayed her?
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 8] By warfare and exile You contended with her and removed her with a fierce wind, as on the day the east wind blows.
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 9] Therefore Jacob’s guilt will be atoned for, and the full fruit of the removal of his sin will be this: When he makes all the altar stones like crushed bits of chalk, no Asherah poles or incense altars will remain standing.
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 10] For the fortified city lies deserted— a homestead abandoned, a wilderness forsaken. There the calves graze, and there they lie down; they strip its branches bare.
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 11] When its limbs are dry, they are broken off. Women come and use them for kindling; for this is a people without understanding. Therefore their Maker has no compassion on them, and their Creator shows them no favor.
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 12] In that day the LORD will thresh from the flowing Euphrates to the Wadi of Egypt, and you, O Israelites, will be gathered one by one.
[BSB | EN | OT | Isaiah | Chapter 27 | Verse 13] And in that day a great ram’s horn will sound, and those who were perishing in Assyria will come forth with those who were exiles in Egypt. And they will worship the LORD on the holy mountain in Jerusalem.
