[GNV | EN | NT | Hebrews | Chapter 9 | Verse 1] Then the first Testament had also ordinances of religion, and a worldly Sanctuarie.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 2] For the first Tabernacle was made, wherein was the candlesticke, and the table, and the shewebread, which Tabernacle is called the Holy places.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 3] And after the seconde vaile was the Tabernacle, which is called the Holiest of all,
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 4] Which had the golden censer, and the Arke of the Testament ouerlayde rounde about with golde, wherein the golden pot, which had Manna, was, and Aarons rod that had budded, and the tables of the Testament.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 5] And ouer the Arke were the glorious Cherubims, shadowing the mercie seat: of which things we will not nowe speake particularly.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 6] Nowe when these things were thus ordeined, the Priestes went alwayes into the first Tabernacle, and accomplished the seruice.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 7] But into the second went the hie Priest alone, once euery yere, not without blood which hee offered for himselfe, and for the ignorances of the people.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 8] Whereby the holy Ghost this signified, that the way into ye Holiest of all was not yet opened, while as yet the first tabernacle was standing,
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 9] Which was a figure for that present time, wherein were offred gifts and sacrifices that could not make holy, concerning the conscience, him that did the seruice,
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 10] Which only stood in meates and drinkes, and diuers washings, and carnal rites, which were inioyned, vntill the time of reformation.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 11] But Christ being come an high Priest of good things to come, by a greater and a more perfect Tabernacle, not made with handes, that is, not of this building,
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 12] Neither by the blood of goates and calues: but by his owne blood entred he in once vnto the holy place, and obteined eternall redemption for vs.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 13] For if the blood of bulles and of goates, and the ashes of an heifer, sprinkling them that are vncleane, sanctifieth as touching the purifying of the flesh,
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 14] How much more shall the blood of Christ which through the eternall Spirit offered himselfe without fault to God, purge your conscience from dead workes, to serue the liuing God?
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 15] And for this cause is he the Mediatour of the newe Testament, that through death which was for the redemption of the transgressions that were in the former Testament, they which were called, might receiue the promise of eternall inheritance.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 16] For where a Testament is, there must be the death of him that made the Testament.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 17] For the Testament is confirmed when men are dead: for it is yet of no force as long as he that made it, is aliue.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 18] Wherefore neither was the first ordeined without blood.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 19] For when Moses had spoken euery precept to the people, according to the Law, he tooke the blood of calues and of goates, with water and purple wooll and hyssope, and sprinckled both the booke, and all the people,
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 20] Saying, This is the blood of the Testament, which God hath appointed vnto you.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 21] Moreouer, he sprinkled likewise the Tabernacle with blood also, and all the ministring vessels.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 22] And almost all things are by the Law purged with blood, and without sheading of blood is no remission.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 23] It was then necessary, that the similitudes of heauenly things should be purified with such things: but the heauenly things them selues are purified with better sacrifices then are these.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 24] For Christ is not entred into ye holy places that are made with hands, which are similitudes of ye true Sanctuarie: but is entred into very heauen, to appeare now in ye sight of God for vs,
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 25] Not that he should offer himselfe often, as the hie Priest entred into the Holy place euery yeere with other blood,
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 26] (For then must he haue often suffred since the foundation of the world) but now in the end of the world hath he bene made manifest, once to put away sinne by the sacrifice of him selfe.
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 27] And as it is appointed vnto men that they shall once die, and after that commeth the iudgement:
[GNV | EN | NT | Hebrews | Chapter 9 | Verse 28] So Christ was once offered to take away the sinnes of many, and vnto them that looke for him, shall he appeare the second time without sinne vnto saluation.
