[GNV | EN | NT | Hebrews | Chapter 6 | Verse 1] Therefore, leauing the doctrine of the beginning of Christ, let vs be led forward vnto perfection, not laying againe ye foundation of repetance from dead workes, and of faith toward God,
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 2] Of the doctrine of baptismes, and laying on of hands, and of the resurrection from the dead, and of eternall iudgement.
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 3] And this will we doe if God permit.
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 4] For it is impossible that they which were once lightened, and haue tasted of the heauenly gift, and were made partakers of the holy Ghost,
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 5] And haue tasted of the good word of God, and of the powers of the world to come,
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 6] If they fal away, should be renued againe by repentance: seeing they crucifie againe to themselues the Sonne of God, and make a mocke of him.
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 7] For the earth which drinketh in the raine that commeth oft vpon it, and bringeth foorth herbes meete for them by whome it is dressed, receiueth blessing of God.
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 8] But that which beareth thornes and briars, is reproued, and is neere vnto cursing, whose end is to be burned.
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 9] But beloued, we haue perswaded our selues better things of you, and such as accompany saluation, though we thus speake.
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 10] For God is not vnrighteous, that hee should forget your worke, and labour of loue, which ye shewed toward his Name, in that ye haue ministred vnto the Saints, and yet minister.
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 11] And we desire that euery one of you shew the same diligence, to the full assurance of hope vnto the ende,
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 12] That ye be not slouthfull, but followers of them, which through faith and patience, inherite the promises.
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 13] For when God made the promise to Abraham, because he had no greater to sweare by, he sware by himselfe,
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 14] Saying, Surely I wil aboundantly blesse thee and multiplie thee marueilously.
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 15] And so after that he had taried patiently, he enioyed the promise.
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 16] For men verely sweare by him that is greater then themselues, and an othe for confirmation is among them an ende of all strife.
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 17] So God, willing more aboundantly to shew vnto the heires of promise the stablenes of his counsell, bound himselfe by an othe,
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 18] That by two immutable things, wherein it is vnpossible that God should lye, we might haue strong consolation, which haue our refuge to lay holde vpon that hope that is set before vs,
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 19] Which hope we haue, as an ancre of the soule, both sure and stedfast, and it entreth into that which is within the vaile,
[GNV | EN | NT | Hebrews | Chapter 6 | Verse 20] Whither the forerunner is for vs entred in, euen Iesus that is made an hie Priest for euer after the order of Melchi-sedec.
