[GNV | EN | NT | Hebrews | Chapter 12 | Verse 1] Wherefore, let vs also, seeing that we are compassed with so great a cloude of witnesses, cast away euery thing that presseth downe, and the sinne that hangeth so fast on: let vs runne with patience the race that is set before vs,
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 2] Looking vnto Iesus the authour and finisher of our faith, who for the ioy that was set before him, endured the crosse, and despised the shame, and is set at the right hand of the throne of God.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 3] Consider therefore him that endured such speaking against of sinners, lest ye should be wearied and faint in your mindes.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 4] Ye haue not yet resisted vnto blood, striuing against sinne.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 5] And ye haue forgotten the consolation, which speaketh vnto you as vnto children, My sonne, despise not the chastening of the Lord, neither faint when thou art rebuked of him.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 6] For whom the Lord loueth, he chasteneth: and he scourgeth euery sonne that he receiueth:
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 7] If ye endure chastening, God offereth him selfe vnto you as vnto sonnes: for what sonne is it whom the father chasteneth not?
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 8] If therefore ye be without correction, whereof al are partakers, then are ye bastards, and not sonnes.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 9] Moreouer we haue had the fathers of our bodies which corrected vs, and we gaue them reuerence: should we not much rather be in subiection vnto the father of spirites, that we might liue?
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 10] For they verely for a few dayes chastened vs after their owne pleasure: but he chasteneth vs for our profite, that we might be partakers of his holinesse.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 11] Now no chastising for the present seemeth to be ioyous, but, grieuous: but afterwarde, it bringeth the quiet fruite of righteousnesse, vnto them which are thereby exercised.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 12] Wherfore lift vp your hands which hang downe, and your weake knees,
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 13] And make straight steppes vnto your feete, lest that which is halting, be turned out of the way, but let it rather be healed.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 14] Followe peace with all men, and holinesse, without the which no man shall see ye Lord.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 15] Take heede, that no man fall away from the grace of God: let no roote of bitternes spring vp and trouble you, lest thereby many be defiled.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 16] Let there be no fornicator, or prophane person as Esau, which for one portion of meate solde his birthright.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 17] For ye knowe howe that afterwarde also when he woulde haue inherited the blessing, he was reiected: for he founde no place to repentance, though he sought that blessing with teares.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 18] For ye are not come vnto the mount that might be touched, nor vnto burning fire, nor to blacknes and darkenes, and tempest,
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 19] Neither vnto the sounde of a trumpet, and the voyce of wordes, which they that heard it, excused themselues, that the word should not be spoken to them any more,
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 20] (For they were not able to abide that which was commanded, yea, though a beast touche the mountaine, it shalbe stoned, or thrust through with a dart:
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 21] And so terrible was the sight which appeared, that Moses said, I feare and quake.)
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 22] But ye are come vnto the mount Sion, and to the citie of the liuing God, the celestiall Hierusalem, and to ye company of innumerable Angels,
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 23] And to the assemblie and congregation of the first borne, which are written in heauen, and to God the iudge of all, and to the spirits of iust and perfite men,
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 24] And to Iesus the Mediatour of the new Testament, and to the blood of sprinkling that speaketh better things then that of Abel.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 25] See that ye despise not him that speaketh: for if they escaped not which refused him, that spake on earth: much more shall we not escape, if we turne away from him, that speaketh from heauen.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 26] Whose voyce then shooke the earth and nowe hath declared, saying, Yet once more will I shake, not the earth onely, but also heauen.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 27] And this worde, Yet once more, signifieth the remouing of those things which are shaken, as of things which are made with hands, that the things which are not shaken, may remaine.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 28] Wherefore seeing we receiue a kingdome, which cannot be shaken, let vs haue grace whereby we may so serue God, that we may please him with reuerence and feare.
[GNV | EN | NT | Hebrews | Chapter 12 | Verse 29] For euen our God is a consuming fire.
