[ASV | EN | NT | John | Chapter 11 | Verse 1] Now a certain man was sick, Lazarus of Bethany, of the village of Mary and her sister Martha.
[ASV | EN | NT | John | Chapter 11 | Verse 2] And it was that Mary who anointed the Lord with ointment, and wiped his feet with her hair, whose brother Lazarus was sick.
[ASV | EN | NT | John | Chapter 11 | Verse 3] The sisters therefore sent unto him, saying, Lord, behold, he whom thou lovest is sick.
[ASV | EN | NT | John | Chapter 11 | Verse 4] But when Jesus heard it, he said, This sickness is not unto death, but for the glory of God, that the Son of God may be glorified thereby.
[ASV | EN | NT | John | Chapter 11 | Verse 5] Now Jesus loved Martha, and her sister, and Lazarus.
[ASV | EN | NT | John | Chapter 11 | Verse 6] When therefore he heard that he was sick, he abode at that time two days in the place where he was.
[ASV | EN | NT | John | Chapter 11 | Verse 7] Then after this he saith to the disciples, Let us go into Judea again.
[ASV | EN | NT | John | Chapter 11 | Verse 8] The disciples say unto him, Rabbi, the Jews were but now seeking to stone thee; and goest thou thither again?
[ASV | EN | NT | John | Chapter 11 | Verse 9] Jesus answered, Are there not twelve hours in the day? If a man walk in the day, he stumbleth not, because he seeth the light of this world.
[ASV | EN | NT | John | Chapter 11 | Verse 10] But if a man walk in the night, he stumbleth, because the light is not in him.
[ASV | EN | NT | John | Chapter 11 | Verse 11] These things spake he: and after this he saith unto them, Our friend Lazarus is fallen asleep; but I go, that I may awake him out of sleep.
[ASV | EN | NT | John | Chapter 11 | Verse 12] His disciples therefore said, Lord, if he is fallen asleep, he will recover.
[ASV | EN | NT | John | Chapter 11 | Verse 13] Now Jesus had spoken of his death: but they thought that he spake of taking rest in sleep.
[ASV | EN | NT | John | Chapter 11 | Verse 14] Then Jesus therefore said unto them plainly, Lazarus is dead.
[ASV | EN | NT | John | Chapter 11 | Verse 15] And I am glad for your sakes that I was not there, to the intent ye may believe; nevertheless let us go unto him.
[ASV | EN | NT | John | Chapter 11 | Verse 16] Thomas therefore, who is called Didymus, said unto his fellow disciples, Let us also go, that we may die with him.
[ASV | EN | NT | John | Chapter 11 | Verse 17] So when Jesus came, he found that he had been in the tomb four days already.
[ASV | EN | NT | John | Chapter 11 | Verse 18] Now Bethany was nigh unto Jerusalem, about fifteen furlongs off;
[ASV | EN | NT | John | Chapter 11 | Verse 19] and many of the Jews had come the women around Martha and Mary, to console them concerning their brother.
[ASV | EN | NT | John | Chapter 11 | Verse 20] Martha therefore, when she heard that Jesus was coming, went and met him: but Mary still sat in the house.
[ASV | EN | NT | John | Chapter 11 | Verse 21] Martha therefore said unto Jesus, Lord, if thou hadst been here, my brother had not died.
[ASV | EN | NT | John | Chapter 11 | Verse 22] But even now I know that, whatsoever thou shalt ask of God, God will give thee.
[ASV | EN | NT | John | Chapter 11 | Verse 23] Jesus saith unto her, Thy brother shall rise again.
[ASV | EN | NT | John | Chapter 11 | Verse 24] Martha saith unto him, I know that he shall rise again in the resurrection at the last day.
[ASV | EN | NT | John | Chapter 11 | Verse 25] Jesus said unto her, I am the resurrection, and the life: he that believeth on me, though he die, yet shall he live;
[ASV | EN | NT | John | Chapter 11 | Verse 26] and whosoever liveth and believeth on me shall never die. Believest thou this?
[ASV | EN | NT | John | Chapter 11 | Verse 27] She saith unto him, Yea, Lord: I have believed that thou art the Christ, the Son of God, even he that cometh into the world.
[ASV | EN | NT | John | Chapter 11 | Verse 28] And when she had said these things, she went away, and called Mary her sister secretly, saying, The Teacher is here, and calleth thee.
[ASV | EN | NT | John | Chapter 11 | Verse 29] She, when she heard it, arose quickly, and goeth unto him.
[ASV | EN | NT | John | Chapter 11 | Verse 30] (Now Jesus was not yet come into the village, but was in the place where Martha met him.)
[ASV | EN | NT | John | Chapter 11 | Verse 31] The Jews then who were with her in the house, and were consoling her, when they saw Mary, that she rose up quickly and went out, followed her, saying, She goeth unto the tomb to weep there.
[ASV | EN | NT | John | Chapter 11 | Verse 32] Mary therefore, when she came where Jesus was, and saw him, fell down at his feet, saying unto him, Lord, if thou hadst been here, my brother had not died.
[ASV | EN | NT | John | Chapter 11 | Verse 33] When Jesus therefore saw her weeping, and the Jews also weeping who came with her, he groaned in the spirit, and was troubled,
[ASV | EN | NT | John | Chapter 11 | Verse 34] and said, Where have ye laid him? They say unto him, Lord, come and see.
[ASV | EN | NT | John | Chapter 11 | Verse 35] Jesus wept.
[ASV | EN | NT | John | Chapter 11 | Verse 36] The Jews therefore said, Behold how he loved him!
[ASV | EN | NT | John | Chapter 11 | Verse 37] But some of them said, Could not this man, who opened the eyes of him that was blind, have caused that this man also should not die?
[ASV | EN | NT | John | Chapter 11 | Verse 38] Jesus therefore again groaning in himself cometh to the tomb. Now it was a cave, and a stone lay against it.
[ASV | EN | NT | John | Chapter 11 | Verse 39] Jesus saith, Take ye away the stone. Martha, the sister of him that was dead, saith unto him, Lord, by this time the body decayeth; for he hath been dead four days.
[ASV | EN | NT | John | Chapter 11 | Verse 40] Jesus saith unto her, Said I not unto thee, that, if thou believedst, thou shouldest see the glory of God?
[ASV | EN | NT | John | Chapter 11 | Verse 41] So they took away the stone from the place where the dead was laid. And Jesus lifted up his eyes, and said, Father, I thank thee that thou heardest me.
[ASV | EN | NT | John | Chapter 11 | Verse 42] And I knew that thou hearest me always: but because of the multitude that standeth around I said it, that they may believe that thou didst send me.
[ASV | EN | NT | John | Chapter 11 | Verse 43] And when he had thus spoken, he cried with a loud voice, Lazarus, come forth.
[ASV | EN | NT | John | Chapter 11 | Verse 44] And he that was dead came forth, bound hand and foot with grave clothes; and his face was bound about with a napkin. Jesus saith unto them, Loose him, and let him go.
