[ASV | EN | NT | John | Chapter 18 | Verse 1] When Jesus had spoken these words, he went forth with his disciples over the brook Kidron, where was a garden, into which he entered, himself and his disciples.
[ASV | EN | NT | John | Chapter 18 | Verse 2] Now Judas also, who betrayed him, knew the place: for Jesus ofttimes resorted thither with his disciples.
[ASV | EN | NT | John | Chapter 18 | Verse 3] Judas then, having received the band of soldiers, and officers from the chief priests and Pharisees, cometh thither with lanterns and torches and weapons.
[ASV | EN | NT | John | Chapter 18 | Verse 4] Jesus therefore, knowing all the things that were coming upon him, went forth, and said unto them, Whom seek ye?
[ASV | EN | NT | John | Chapter 18 | Verse 5] They answered him, Jesus of Nazareth. Jesus saith unto them, I am he. And Judas also, who betrayed him, was standing with them.
[ASV | EN | NT | John | Chapter 18 | Verse 6] When therefore he said unto them, I am he, they went backward, and fell to the ground.
[ASV | EN | NT | John | Chapter 18 | Verse 7] Again therefore he asked them, Whom seek ye? And they said, Jesus of Nazareth.
[ASV | EN | NT | John | Chapter 18 | Verse 8] Jesus answered, I told you that I am he; if therefore ye seek me, let these go their way:
[ASV | EN | NT | John | Chapter 18 | Verse 9] that the word might be fulfilled which he spake, Of those whom thou hast given me I lost not one.
[ASV | EN | NT | John | Chapter 18 | Verse 10] Simon Peter therefore having a sword drew it, and struck the high priest’s servant, and cut off his right ear. Now the servant’s name was Malchus.
[ASV | EN | NT | John | Chapter 18 | Verse 11] Jesus therefore said unto Peter, Put up the sword into the sheath: the cup which the Father hath given me, shall I not drink it?
[ASV | EN | NT | John | Chapter 18 | Verse 12] So the band and the chief captain, and the officers of the Jews, seized Jesus and bound him,
[ASV | EN | NT | John | Chapter 18 | Verse 13] and led him away to Annas first; for he was father-in-law to Caiaphas, who was high priest that year.
[ASV | EN | NT | John | Chapter 18 | Verse 14] Now Caiaphas was he that gave counsel to the Jews, that it was expedient that one man should perish for the people.
[ASV | EN | NT | John | Chapter 18 | Verse 15] And Simon Peter followed Jesus, and so did the other disciple. Now that disciple was known unto the high priest, and entered in with Jesus into the court of the high priest;
[ASV | EN | NT | John | Chapter 18 | Verse 16] but Peter was standing at the door without. So the other disciple, who was known unto the high priest, went out and spake unto her that kept the door, and brought in Peter.
[ASV | EN | NT | John | Chapter 18 | Verse 17] The maid therefore that kept the door saith unto Peter, Art thou also one of this man’s disciples? He saith, I am not.
[ASV | EN | NT | John | Chapter 18 | Verse 18] Now the servants and the officers were standing there, having made a fire of coals; for it was cold; and they were warming themselves: and Peter was with them, standing and warming himself.
[ASV | EN | NT | John | Chapter 18 | Verse 19] The high priest therefore asked Jesus of his disciples, and of his teaching.
[ASV | EN | NT | John | Chapter 18 | Verse 20] Jesus answered him, I spake openly to the world; I ever taught in a synagogue, and in the temple, where the Jews always come together; and in secret spake I nothing.
[ASV | EN | NT | John | Chapter 18 | Verse 21] Why askest thou me? ask them that have heard me, what I spake unto them: behold, these know the things which I said.
[ASV | EN | NT | John | Chapter 18 | Verse 22] And when he had said this, one of the officers standing by struck Jesus with his hand, saying, Answerest thou the high priest so?
[ASV | EN | NT | John | Chapter 18 | Verse 23] Jesus answered him, If I have spoken evil, bear witness of the evil: but if well, why smitest thou me?
[ASV | EN | NT | John | Chapter 18 | Verse 24] Annas sent him bound unto Caiaphas the high priest.
[ASV | EN | NT | John | Chapter 18 | Verse 25] Now Simon Peter was standing and warming himself. They said therefore unto him, Art thou also one of his disciples? He therefore denied, and said, I am not.
[ASV | EN | NT | John | Chapter 18 | Verse 26] One of the servants of the high priest, being a kinsman of him whose ear Peter cut off, saith, Did not I see thee in the garden with him?
[ASV | EN | NT | John | Chapter 18 | Verse 27] Peter therefore denied again: and straightaway the cock crowed.
[ASV | EN | NT | John | Chapter 18 | Verse 28] They lead Jesus therefore from Caiaphas into the Praetorium: and it was early; and they themselves entered not into the Praetorium, that they might not be defiled, but that they might eat the passover.
[ASV | EN | NT | John | Chapter 18 | Verse 29] Pilate therefore went out unto them, and said, What accusation bring ye against this man?
[ASV | EN | NT | John | Chapter 18 | Verse 30] They answered and said unto him, If this man were not an evildoer, we should not have delivered him up unto thee.
[ASV | EN | NT | John | Chapter 18 | Verse 31] Pilate therefore said unto them, Take him yourselves, and judge him according to your law. The Jews therefore said unto him, It is not lawful for us to put any man to death:
[ASV | EN | NT | John | Chapter 18 | Verse 32] that the word of Jesus might be fulfilled, which he spake, signifying by what manner of death he should die.
[ASV | EN | NT | John | Chapter 18 | Verse 33] Pilate therefore entered into the Praetorium again, and called Jesus, and said unto him, Art thou the King of the Jews?
[ASV | EN | NT | John | Chapter 18 | Verse 34] Jesus answered him, Sayest thou this of thyself, or did others tell it thee concerning me?
[ASV | EN | NT | John | Chapter 18 | Verse 35] Pilate answered, Am I a Jew? Thine own nation and the chief priests delivered thee unto me: what hast thou done?
[ASV | EN | NT | John | Chapter 18 | Verse 36] Jesus answered, My kingdom is not of this world: if my kingdom were of this world, then would my servants fight, that I should not be delivered to the Jews: but now is my kingdom not from hence.
[ASV | EN | NT | John | Chapter 18 | Verse 37] Pilate therefore said unto him, Art thou a king then? Jesus answered, Thou sayest that I am a king. To this end have I been born, and to this end am I come into the world, that I should bear witness unto the truth. Everyone that is of the truth heareth my voice.
[ASV | EN | NT | John | Chapter 18 | Verse 38] Pilate saith unto him, What is truth? And when he had said this, he went out again unto the Jews, and saith unto them, I find no crime in him.
[ASV | EN | NT | John | Chapter 18 | Verse 39] But ye have a custom, that I should release unto you one at the passover: will ye therefore that I release unto you the King of the Jews?
[ASV | EN | NT | John | Chapter 18 | Verse 40] They all cried out therefore again, saying, Not this man, but Barabbas. Now Barabbas was a robber.
