[ASV | EN | NT | John | Chapter 13 | Verse 1] Now before the feast of the passover, Jesus knowing that his hour was come that he should depart out of this world unto the Father, having loved his own that were in the world, he loved them unto the end.
[ASV | EN | NT | John | Chapter 13 | Verse 2] And supper being ended, the devil having already put into the heart of Judas, son of Simon Iscariot, to betray him,
[ASV | EN | NT | John | Chapter 13 | Verse 3] Jesus, knowing that the Father had given all things into his hands, and that he came forth from God, and goeth unto God,
[ASV | EN | NT | John | Chapter 13 | Verse 4] riseth from supper, and layeth aside his garments; and he took a towel, and girded himself.
[ASV | EN | NT | John | Chapter 13 | Verse 5] Then he poureth water into the basin, and began to wash the disciples’ feet, and to wipe them with the towel wherewith he was girded.
[ASV | EN | NT | John | Chapter 13 | Verse 6] So he cometh to Simon Peter: and he saith unto him, Lord, dost thou wash my feet?
[ASV | EN | NT | John | Chapter 13 | Verse 7] Jesus answered and said unto him, What I do thou knowest not now; but thou shalt understand hereafter.
[ASV | EN | NT | John | Chapter 13 | Verse 8] Peter saith unto him, Thou shalt never wash my feet. Jesus answered him, If I wash thee not, thou hast no part with me.
[ASV | EN | NT | John | Chapter 13 | Verse 9] Simon Peter saith unto him, Lord, not my feet only, but also my hands and my head.
[ASV | EN | NT | John | Chapter 13 | Verse 10] Jesus saith to him, He that is bathed needeth not save to wash his feet, but is clean every whit: and ye are clean, but not all.
[ASV | EN | NT | John | Chapter 13 | Verse 11] For he knew him that should betray him; therefore said he, Ye are not all clean.
[ASV | EN | NT | John | Chapter 13 | Verse 12] So when he had washed their feet, and taken his garments, having sat down again, he said unto them, Know ye what I have done to you?
[ASV | EN | NT | John | Chapter 13 | Verse 13] Ye call me, Teacher, and, Lord: and ye say well; for so I am.
[ASV | EN | NT | John | Chapter 13 | Verse 14] If I then, the Lord and the Teacher, have washed your feet, ye also ought to wash one another’s feet.
[ASV | EN | NT | John | Chapter 13 | Verse 15] For I have given you an example, that ye also should do as I have done to you.
[ASV | EN | NT | John | Chapter 13 | Verse 16] Verily, verily, I say unto you, A servant is not greater than his lord; neither one that is sent greater than he that sent him.
[ASV | EN | NT | John | Chapter 13 | Verse 17] If ye know these things, blessed are ye if ye do them.
[ASV | EN | NT | John | Chapter 13 | Verse 18] I speak not of you all: I know whom I have chosen: but that the scripture may be fulfilled, He that eateth bread with me lifted up his heel against me.
[ASV | EN | NT | John | Chapter 13 | Verse 19] From henceforth I tell you before it come to pass, that, when it is come to pass, ye may believe that I am he.
[ASV | EN | NT | John | Chapter 13 | Verse 20] Verily, verily, I say unto you, He that receiveth whomsoever I send receiveth me; and he that receiveth me receiveth him that sent me.
[ASV | EN | NT | John | Chapter 13 | Verse 21] When Jesus had thus said, he was troubled in the spirit, and testified, and said, Verily, verily, I say unto you, that one of you shall betray me.
[ASV | EN | NT | John | Chapter 13 | Verse 22] The disciples therefore looked one on another, doubting of whom he spake.
[ASV | EN | NT | John | Chapter 13 | Verse 23] Now there was at the table reclining in Jesus’ bosom one of his disciples, whom Jesus loved.
[ASV | EN | NT | John | Chapter 13 | Verse 24] Simon Peter therefore beckoneth to him, that he should ask who it might be of whom he speaketh.
[ASV | EN | NT | John | Chapter 13 | Verse 25] But he leaning back, as he was, on Jesus’ breast saith unto him, Lord, who is it?
[ASV | EN | NT | John | Chapter 13 | Verse 26] Jesus answereth, He it is, to whom I shall give the sop, when I have dipped it. And having dipped the sop, he giveth it to Judas Iscariot, the son of Simon.
[ASV | EN | NT | John | Chapter 13 | Verse 27] And after the sop, then entered Satan into him. Jesus therefore saith unto him, What thou doest, do quickly.
[ASV | EN | NT | John | Chapter 13 | Verse 28] Now no man at the table knew for what intent he spake this unto him.
[ASV | EN | NT | John | Chapter 13 | Verse 29] For some thought, because Judas had the bag, that Jesus said unto him, Buy what things we have need of for the feast; or, that he should give something to the poor.
[ASV | EN | NT | John | Chapter 13 | Verse 30] He then having received the sop straightaway went out: and it was night.
[ASV | EN | NT | John | Chapter 13 | Verse 31] When he was gone out, Jesus saith, Now is the Son of man glorified, and God is glorified in him.
[ASV | EN | NT | John | Chapter 13 | Verse 32] If God be glorified in him, God shall also glorify him in himself, and straightaway shall he glorify him.
[ASV | EN | NT | John | Chapter 13 | Verse 33] Little children, yet a little while I am with you. Ye shall seek me: and as I said unto the Jews, Whither I go, ye cannot come; so now I say unto you.
[ASV | EN | NT | John | Chapter 13 | Verse 34] A new commandment I give unto you, that ye love one another; even as I have loved you, that ye also love one another.
[ASV | EN | NT | John | Chapter 13 | Verse 35] By this shall all men know that ye are my disciples, if ye have love one to another.
[ASV | EN | NT | John | Chapter 13 | Verse 36] Simon Peter saith unto him, Lord, whither goest thou? Jesus answered him, Whither I go, thou canst not follow me now; but afterward thou shalt follow me.
[ASV | EN | NT | John | Chapter 13 | Verse 37] Peter saith unto him, Lord, why cannot I follow thee even now? I will lay down my life for thee.
[ASV | EN | NT | John | Chapter 13 | Verse 38] Jesus answered him, Wilt thou lay down thy life for me? Verily, verily, I say unto thee, The cock shall not crow, till thou hast denied me thrice.
