[ASV | EN | NT | John | Chapter 4 | Verse 1] When therefore the Lord knew that the Pharisees had heard that Jesus was making and baptizing more disciples than John
[ASV | EN | NT | John | Chapter 4 | Verse 2] (although Jesus himself baptized not, but his disciples),
[ASV | EN | NT | John | Chapter 4 | Verse 3] he left Judea, and departed into Galilee.
[ASV | EN | NT | John | Chapter 4 | Verse 4] And he must needs pass through Samaria.
[ASV | EN | NT | John | Chapter 4 | Verse 5] So he cometh to a city of Samaria, called Sychar, near to the parcel of ground that Jacob gave to his son Joseph:
[ASV | EN | NT | John | Chapter 4 | Verse 6] and Jacob’s well was there. Jesus therefore, being wearied with his journey, sat thus by the well. It was about the sixth hour.
[ASV | EN | NT | John | Chapter 4 | Verse 7] There cometh a woman of Samaria to draw water: Jesus saith unto her, Give me to drink.
[ASV | EN | NT | John | Chapter 4 | Verse 8] For his disciples were gone away into the city to buy food.
[ASV | EN | NT | John | Chapter 4 | Verse 9] The Samaritan woman therefore saith unto him, How is it that thou, being a Jew, askest drink of me, who am a Samaritan woman? (For Jews have no dealings with Samaritans.)
[ASV | EN | NT | John | Chapter 4 | Verse 10] Jesus answered and said unto her, If thou knewest the gift of God, and who it is that saith to thee, Give me to drink; thou wouldest have asked of him, and he would have given thee living water.
[ASV | EN | NT | John | Chapter 4 | Verse 11] The woman saith unto him, Sir, thou hast nothing to draw with, and the well is deep: whence then hast thou that living water?
[ASV | EN | NT | John | Chapter 4 | Verse 12] Art thou greater than our father Jacob, who gave us the well, and drank thereof himself, and his sons, and his cattle?
[ASV | EN | NT | John | Chapter 4 | Verse 13] Jesus answered and said unto her, Everyone that drinketh of this water shall thirst again:
[ASV | EN | NT | John | Chapter 4 | Verse 14] but whosoever drinketh of the water that I shall give him shall never thirst; but the water that I shall give him shall become in him a well of water springing up unto eternal life.
[ASV | EN | NT | John | Chapter 4 | Verse 15] The woman saith unto him, Sir, give me this water, that I thirst not, neither come hither to draw.
[ASV | EN | NT | John | Chapter 4 | Verse 16] Jesus saith unto her, Go, call thy husband, and come hither.
