[ASV | EN | NT | John | Chapter 9 | Verse 1] And as he passed by, he saw a man blind from his birth.
[ASV | EN | NT | John | Chapter 9 | Verse 2] And his disciples asked him, saying, Rabbi, who sinned, this man, or his parents, that he should be born blind?
[ASV | EN | NT | John | Chapter 9 | Verse 3] Jesus answered, Neither did this man sin, nor his parents: but that the works of God should be made manifest in him.
[ASV | EN | NT | John | Chapter 9 | Verse 4] I must work the works of him that sent me, while it is day: the night cometh, when no man can work.
[ASV | EN | NT | John | Chapter 9 | Verse 5] When I am in the world, I am the light of the world.
[ASV | EN | NT | John | Chapter 9 | Verse 6] When he had thus spoken, he spat on the ground, and made clay of the spittle, and anointed the eyes of the blind man with the clay,
[ASV | EN | NT | John | Chapter 9 | Verse 7] and said unto him, Go, wash in the pool of Siloam (which is by interpretation, Sent). He went away therefore, and washed, and came seeing.
[ASV | EN | NT | John | Chapter 9 | Verse 8] The neighbors therefore, and they that saw him aforetime, that he was blind, said, Is not this he that sat and begged?
[ASV | EN | NT | John | Chapter 9 | Verse 9] Others said, It is he: and others, He is like him. He said, I am he.
[ASV | EN | NT | John | Chapter 9 | Verse 10] They said therefore unto him, How were thine eyes opened?
[ASV | EN | NT | John | Chapter 9 | Verse 11] He answered and said, A man that is called Jesus made clay, and anointed mine eyes, and said unto me, Go to the pool of Siloam, and wash: and I went away and washed, and I received sight.
[ASV | EN | NT | John | Chapter 9 | Verse 12] They said therefore unto him, Where is he? He saith, I know not.
[ASV | EN | NT | John | Chapter 9 | Verse 13] They bring to the Pharisees him that aforetime was blind.
[ASV | EN | NT | John | Chapter 9 | Verse 14] Now it was the sabbath when Jesus made the clay, and opened his eyes.
[ASV | EN | NT | John | Chapter 9 | Verse 15] Again therefore the Pharisees also asked him how he received his sight. And he said unto them, He put clay upon mine eyes, and I washed, and I see.
[ASV | EN | NT | John | Chapter 9 | Verse 16] Some therefore of the Pharisees said, This man is not from God, because he keepeth not the sabbath. Others said, How can a man that is a sinner do such signs? And there was a division among them.
[ASV | EN | NT | John | Chapter 9 | Verse 17] They say unto the blind man again, What sayest thou of him, in that he opened thine eyes? And he said, He is a prophet.
[ASV | EN | NT | John | Chapter 9 | Verse 18] The Jews therefore did not believe concerning him, that he had been blind, and had received his sight, until they called the parents of him that had received his sight,
[ASV | EN | NT | John | Chapter 9 | Verse 19] and asked them, saying, Is this your son, who ye say was born blind? how then doth he now see?
[ASV | EN | NT | John | Chapter 9 | Verse 20] And his parents answered them and said, We know that this is our son, and that he was born blind:
[ASV | EN | NT | John | Chapter 9 | Verse 21] but how he now seeth, we know not; or who opened his eyes, we know not: he is of age; ask him; he shall speak for himself.
[ASV | EN | NT | John | Chapter 9 | Verse 22] These things said his parents, because they feared the Jews: for the Jews had agreed already, that if any man should confess him to be Christ, he should be put out of the synagogue.
[ASV | EN | NT | John | Chapter 9 | Verse 23] Therefore said his parents, He is of age; ask him.
[ASV | EN | NT | John | Chapter 9 | Verse 24] So they called a second time the man that was blind, and said unto him, Give glory to God: we know that this man is a sinner.
[ASV | EN | NT | John | Chapter 9 | Verse 25] He therefore answered and said, Whether he is a sinner, I know not: one thing I know, that, whereas I was blind, now I see.
[ASV | EN | NT | John | Chapter 9 | Verse 26] And they said unto him again, What did he to thee? how opened he thine eyes?
[ASV | EN | NT | John | Chapter 9 | Verse 27] He answered them, I told you even now, and ye did not hear; wherefore would ye hear it again? would ye also become his disciples?
[ASV | EN | NT | John | Chapter 9 | Verse 28] They reviled him, and said, Thou art his disciple; but we are disciples of Moses.
[ASV | EN | NT | John | Chapter 9 | Verse 29] We know that God hath spoken unto Moses: but as for this man, we know not whence he is.
[ASV | EN | NT | John | Chapter 9 | Verse 30] The man answered and said unto them, Why, herein is a marvel, that ye know not whence he is, and yet he opened mine eyes.
[ASV | EN | NT | John | Chapter 9 | Verse 31] Now we know that God heareth not sinners: but if any man be a worshiper of God, and do his will, him he heareth.
[ASV | EN | NT | John | Chapter 9 | Verse 32] Since the world began it was never heard that anyone opened the eyes of a man born blind.
[ASV | EN | NT | John | Chapter 9 | Verse 33] If this man were not from God, he could do nothing.
[ASV | EN | NT | John | Chapter 9 | Verse 34] They answered and said unto him, Thou wast altogether born in sins, and dost thou teach us? And they cast him out.
[ASV | EN | NT | John | Chapter 9 | Verse 35] Jesus heard that they had cast him out; and finding him, he said unto him, Dost thou believe on the Son of God?
[ASV | EN | NT | John | Chapter 9 | Verse 36] He answered and said, And who is he, Lord, that I may believe on him?
[ASV | EN | NT | John | Chapter 9 | Verse 37] And Jesus said unto him, Thou hast both seen him, and he it is that speaketh with thee.
[ASV | EN | NT | John | Chapter 9 | Verse 38] And he said, Lord, I believe. And he worshiped him.
[ASV | EN | NT | John | Chapter 9 | Verse 39] And Jesus said, For judgment came I into this world, that they that see not may see; and that they that see may become blind.
[ASV | EN | NT | John | Chapter 9 | Verse 40] And those of the Pharisees who were with him heard these things, and said unto him, Are we also blind?
[ASV | EN | NT | John | Chapter 9 | Verse 41] Jesus said unto them, If ye were blind, ye would have no sin: but now ye say, We see: therefore your sin remaineth.
