[ASV | EN | NT | John | Chapter 19 | Verse 1] Then Pilate therefore took Jesus, and scourged him.
[ASV | EN | NT | John | Chapter 19 | Verse 2] And the soldiers plaited a crown of thorns, and put it on his head, and arrayed him in a purple garment,
[ASV | EN | NT | John | Chapter 19 | Verse 3] and said, Hail, King of the Jews! and they struck him with their hands.
[ASV | EN | NT | John | Chapter 19 | Verse 4] Pilate therefore went out again, and saith unto them, Behold, I bring him out to you, that ye may know that I find no crime in him.
[ASV | EN | NT | John | Chapter 19 | Verse 5] Jesus therefore came out, wearing the crown of thorns and the purple garment. And Pilate saith unto them, Behold, the man!
[ASV | EN | NT | John | Chapter 19 | Verse 6] When therefore the chief priests and the officers saw him, they cried out, saying, Crucify, crucify him! Pilate saith unto them, Take him yourselves, and crucify him: for I find no crime in him.
[ASV | EN | NT | John | Chapter 19 | Verse 7] The Jews answered him, We have a law, and by our law he ought to die, because he made himself the Son of God.
[ASV | EN | NT | John | Chapter 19 | Verse 8] When Pilate therefore heard this saying, he was the more afraid;
[ASV | EN | NT | John | Chapter 19 | Verse 9] and he entered into the Praetorium again, and saith unto Jesus, Whence art thou? But Jesus gave him no answer.
[ASV | EN | NT | John | Chapter 19 | Verse 10] Pilate therefore saith unto him, Speakest thou not unto me? knowest thou not that I have power to crucify thee, and have power to release thee?
[ASV | EN | NT | John | Chapter 19 | Verse 11] Jesus answered, Thou wouldest have no power against me, except it were given thee from above: therefore he that delivereth me unto thee hath greater sin.
[ASV | EN | NT | John | Chapter 19 | Verse 12] Upon this Pilate sought to release him: but the Jews cried out, saying, If thou release this man, thou art not Caesar’s friend: everyone that maketh himself a king speaketh against Caesar.
[ASV | EN | NT | John | Chapter 19 | Verse 13] When Pilate therefore heard this word, he brought Jesus out, and sat down on the judgment seat at a place called The Pavement, but in Hebrew, Gabbatha.
[ASV | EN | NT | John | Chapter 19 | Verse 14] Now it was the Preparation of the passover, and about the sixth hour. And he saith unto the Jews, Behold, your King!
[ASV | EN | NT | John | Chapter 19 | Verse 15] But they cried out, Away with him, away with him, crucify him! Pilate saith unto them, Shall I crucify your King? The chief priests answered, We have no king but Caesar.
