[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 1] नेक नामी बेशबहा 'इत्र से बेहतर है, और मरने का दिन पैदा होने के दिन से।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 2] मातम के घर में जाना दावत के घर में दाख़िल होने से बेहतर है क्यूँकि सब लोगों का अन्जाम यही है, और जो ज़िन्दा है अपने दिल में इस पर सोचेगा।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 3] ग़मगीनी हँसी से बेहतर है, क्यूँकि चेहरे की उदासी से दिल सुधर जाता है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 4] दाना का दिल मातम के घर में है लेकिन बेवक़ूफ़ का जी 'इश्रतखाने से लगा है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 5] इंसान के लिए 'अक़्लमन्द की सरज़निश सुनना बेवकूफ़ों का राग सुनने से बेहतर है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 6] जैसा हाँडी के नीचे काँटों का चटकना वैसा ही बेवकूफ़ का हँसना है; ये भी बेकार है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 7] यक़ीनन ज़ुल्म 'अक़्लमन्द आदमी को दीवाना बना देता है और रिश्वत 'अक़्ल को तबाह करती है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 8] किसी बात का अन्जाम उसके आग़ाज़ से बेहतर है और बुर्दबार मुतकब्बिर मिज़ाज से अच्छा है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 9] तू अपने जी में ख़फ़ा होने में जल्दी न कर, क्यूँकि ख़फ़्गी बेवक़ूफ़ों के सीनों में रहती है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 10] तू ये न कह कि, अगले दिन इनसे क्यूँकर बेहतर थे? क्यूँकि तू 'अक़्लमन्दी से इस अम्र की तहक़ीक़ नहीं करता।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 11] हिकमत खू़बी में मीरास के बराबर है, और उनके लिए जो सूरज को देखते हैं ज़्यादा सूदमन्द है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 12] क्यूँकि हिकमत वैसी ही पनाहगाह है जैसे रुपया, लेकिन 'इल्म की ख़ास खू़बी ये है कि हिकमत साहिब — ए — हिकमत की जान की मुहाफ़िज़ है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 13] ख़ुदा के काम पर ग़ौर कर, क्यूँकि कौन उस चीज़ को सीधा कर सकता है जिसको उसने टेढ़ा किया है?
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 14] इक़बालमन्दी के दिन ख़ुशी में मशग़ूल हो, लेकिन मुसीबत के दिन में सोच; बल्कि ख़ुदा ने इसको उसके मुक़ाबिल बना रख्खा है, ताकि इंसान अपने बाद की किसी बात को दरियाफ़्त न कर सके।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 15] मैंने अपनी बेकारी के दिनों में ये सब कुछ देखा; कोई रास्तबाज़ अपनी रास्तबाज़ी में मरता है, और कोई बदकिरदार अपनी बदकिरदारी में उम्र दराज़ी पाता है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 16] हद से ज़्यादा नेकोकार न हो, और हिकमत में 'एतदाल से बाहर न जा; इसकी क्या ज़रूरत है कि तू अपने आप को बर्बाद करे?
