[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 1] मुर्दा मक्खियाँ 'अत्तार के 'इत्र को बदबूदार कर देती हैं, और थोड़ी सी हिमाक़त हिकमत — ओ — 'इज्ज़त को मात कर देती है।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 2] 'अक़्लमन्द का दिल उसके दहने हाथ है, लेकिन बेवक़ूफ़ का दिल उसकी बाईं तरफ़।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 3] हाँ, बेवक़ूफ़ जब राह चलता है तो उसकी अक़्ल उड़ जाती है और वह सब से कहता है कि मैं बेवकूफ़ हूँ।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 4] अगर हाकिम तुझ पर क़हर करे तो अपनी जगह न छोड़, क्यूँकि बर्दाश्त बड़े बड़े गुनाहों को दबा देती है।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 5] एक ज़ुबूनी है जो मैंने दुनिया में देखी, जैसे वह एक ख़ता है जो हाकिम से सरज़द होती है।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 6] हिमाक़त बालानशीन होती है, लेकिन दौलतमंद नीचे बैठते हैं।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 7] मैंने देखा कि नौकर घोड़ों पर सवार होकर फिरते हैं, और सरदार नौकरों की तरह ज़मीन पर पैदल चलते हैं।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 8] गढ़ा खोदने वाला उसी में गिरेगा और दीवार में रख़ना करने वाले को साँप डसेगा।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 9] जो कोई पत्थरों को काटता है उनसे चोट खाएगा और जो लकड़ी चीरता है उससे ख़तरे में है।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 10] अगर कुल्हाड़ा कुन्द हैं और आदमी धार तेज़ न करे तो बहुत ज़ोर लगाना पड़ता है, लेकिन हिकमत हिदायत के लिए मुफ़ीद है।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 11] अगर साँप ने अफ़सून से पहले डसा है तो अफ़सूँनगर को कुछ फ़ायदा न होगा।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 12] 'अक़्लमन्द के मुँह की बातें लतीफ़ हैं लेकिन बेवक़ूफ़ के होंट उसी को निगल जाते हैं।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 13] उसके मुँह की बातों की इब्तिदा हिमाक़त है और उसकी बातों की इन्तिहा फ़ितनाअंगेज़ अबलही।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 14] बेवक़ूफ़ भी बहुत सी बातें बनाता है लेकिन आदमी नहीं बता सकता है कि क्या होगा और जो कुछ उसके बाद होगा उसे कौन समझा सकता है?
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 15] बेवक़ूफ़ों की मेहनत उसे थकाती है, क्यूँकि वह शहर को जाना भी नहीं जानता।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 16] ऐ ममलुकत तुझ पर अफ़सोस, जब नाबालिग़ तेरा बा'दशाह हो और तेरे सरदार सुबह को खाएँ।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 17] नेकबख़्त है तू ऐ सरज़मीन जब तेरा बा'दशाह शरीफ़ज़ादा हो और तेरे सरदार मुनासिब वक़्त पर तवानाई के लिए खाएँ और न इसलिए कि बदमस्त हों।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 18] काहिली की वजह से कड़ियाँ झुक जाती हैं, और हाथों के ढीले होने से छत टपकती है।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 19] हँसने के लिए लोग दावत करते हैं, और मय जान को ख़ुश करती है, और रुपये से सब मक़सद पूरे होते हैं।
[IRV | UR | OT | Ecclesiastes | Chapter 10 | Verse 20] तू अपने दिल में भी बा'दशाह पर ला'नत न कर और अपनी ख़्वाबगाह में भी मालदार पर ला'नत न कर क्यूँकि हवाई चिड़िया बात को ले उड़ेगी और परदार उसको खोल देगा।
