[IRV | PA | NT | Hebrews | Chapter 3 | Verse 1] ਉਪਰੰਤ ਹੇ ਪਵਿੱਤਰ ਭਰਾਵੋ, ਸਵਰਗੀ ਸੱਦੇ ਦੇ ਸਾਂਝੀ ਹੋਵੋ, ਤੁਸੀਂ ਯਿਸੂ ਵੱਲ ਧਿਆਨ ਕਰੋ ਜਿਸ ਨੂੰ ਅਸੀਂ ਰਸੂਲ ਅਤੇ ਪ੍ਰਧਾਨ ਜਾਜਕ ਮੰਨਦੇ ਹਾਂ।
[IRV | PA | NT | Hebrews | Chapter 3 | Verse 2] ਜਿਹੜਾ ਆਪਣੇ ਨਿਯੁਕਤ ਕਰਨ ਵਾਲਿਆਂ ਦੇ ਹੱਕ ਵਿੱਚ ਵਫ਼ਾਦਾਰ ਸੀ, ਜਿਵੇਂ ਮੂਸਾ ਉਹ ਦੇ ਸਾਰੇ ਘਰ ਵਿੱਚ ਸੀ।
[IRV | PA | NT | Hebrews | Chapter 3 | Verse 3] ਕਿਉਂ ਜੋ ਘਰ ਨਾਲੋਂ ਘਰ ਦਾ ਬਣਾਉਣ ਵਾਲਾ ਜਿੰਨਾਂ ਆਦਰ ਦੇ ਯੋਗ ਹੁੰਦਾ ਹੈ, ਉਨ੍ਹਾਂ ਹੀ ਉਹ ਵੀ ਮੂਸਾ ਨਾਲੋਂ ਵਧੇਰੇ ਆਦਰ ਦੇ ਯੋਗ ਹੈ।
[IRV | PA | NT | Hebrews | Chapter 3 | Verse 4] ਹਰੇਕ ਘਰ ਤਾਂ ਕਿਸੇ ਨਾ ਕਿਸੇ ਦਾ ਬਣਾਇਆ ਹੋਇਆ ਹੁੰਦਾ ਹੈ, ਪਰ ਜਿਸ ਨੇ ਸਭ ਕੁਝ ਬਣਾਇਆ ਉਹ ਪਰਮੇਸ਼ੁਰ ਹੈ।
[IRV | PA | NT | Hebrews | Chapter 3 | Verse 5] ਅਤੇ ਮੂਸਾ ਤਾਂ ਉਹ ਦੇ ਸਾਰੇ ਘਰ ਵਿੱਚ ਨੌਕਰ ਦੀ ਤਰ੍ਹਾਂ ਵਫ਼ਾਦਾਰ ਸੀ ਤਾਂ ਕਿ ਹੋਣ ਵਾਲੀਆਂ ਗੱਲਾਂ ਦੀ ਗਵਾਹੀ ਦੇਵੇ।
[IRV | PA | NT | Hebrews | Chapter 3 | Verse 6] ਪਰ ਮਸੀਹ ਪੁੱਤਰ ਦੀ ਤਰ੍ਹਾਂ ਉਹ ਦੇ ਘਰ ਉੱਤੇ ਹੈ, ਅਤੇ ਉਹ ਦਾ ਘਰ ਅਸੀਂ ਹਾਂ ਜੇ ਅਸੀਂ ਆਸ ਦੀ ਦਲੇਰੀ ਅਤੇ ਅਭਮਾਨ ਅੰਤ ਤੱਕ ਫੜ੍ਹੀ ਰੱਖੀਏ।
[IRV | PA | NT | Hebrews | Chapter 3 | Verse 7] ਸੋ ਜਿਵੇਂ ਪਵਿੱਤਰ ਆਤਮਾ ਆਖਦਾ ਹੈ, ਅੱਜ ਜੇ ਤੁਸੀਂ ਉਹ ਦੀ ਅਵਾਜ਼ ਸੁਣੋ,
[IRV | PA | NT | Hebrews | Chapter 3 | Verse 8] ਤਾਂ ਆਪਣੇ ਦਿਲਾਂ ਨੂੰ ਕਠੋਰ ਨਾ ਕਰੋ, ਜਿਵੇਂ ਬਗ਼ਾਵਤ ਦੇ ਦਿਨ ਉਜਾੜ ਵਿੱਚ,
[IRV | PA | NT | Hebrews | Chapter 3 | Verse 9] ਜਦੋਂ ਤੁਹਾਡੇ ਪਿਉ-ਦਾਦਿਆਂ ਨੇ ਮੈਨੂੰ ਪਰਤਾਇਆ, ਅਤੇ ਚਾਲ੍ਹੀ ਸਾਲਾਂ ਤੱਕ ਮੇਰੇ ਕੰਮ ਵੇਖੇ।
[IRV | PA | NT | Hebrews | Chapter 3 | Verse 10] ਇਸ ਕਾਰਨ ਮੈਂ ਉਸ ਪੀੜ੍ਹੀ ਤੋਂ ਖਫ਼ਾ ਰਿਹਾ, ਅਤੇ ਆਖਿਆ ਕਿ ਉਹ ਦਿਲੋਂ ਕੁਰਾਹੇ ਪੈਂਦੇ ਹਨ, ਅਤੇ ਉਹਨਾਂ ਮੇਰੇ ਰਾਹਾਂ ਨੂੰ ਨਹੀਂ ਜਾਣਿਆ,
[IRV | PA | NT | Hebrews | Chapter 3 | Verse 11] ਜਿਵੇਂ ਮੈਂ ਆਪਣੇ ਗੁੱਸੇ ਵਿੱਚ ਸਹੁੰ ਖਾਧੀ ਕਿ ਇਹ ਮੇਰੇ ਅਰਾਮ ਵਿੱਚ ਕਦੇ ਨਾ ਵੜਨਗੇ!।
