[IRV | PA | NT | Hebrews | Chapter 12 | Verse 1] ਉਪਰੰਤ ਜਦੋਂ ਗਵਾਹਾਂ ਦੇ ਐਨੇ ਵੱਡੇ ਬੱਦਲ ਨੇ ਸਾਨੂੰ ਘੇਰਿਆ ਹੋਇਆ ਹੈ ਤਾਂ ਆਓ, ਅਸੀਂ ਵੀ ਹਰੇਕ ਭਾਰ ਅਤੇ ਉਸ ਪਾਪ ਨੂੰ ਜਿਹੜਾ ਅਸਾਨੀ ਨਾਲ ਸਾਨੂੰ ਫਸਾ ਲੈਂਦਾ ਹੈ ਪਰੇ ਸੁੱਟ ਕੇ, ਉਸ ਦੌੜ ਵਿੱਚ ਜੋ ਸਾਡੇ ਸਾਹਮਣੇ ਪਈ ਹੋਈ ਹੈ ਸਬਰ ਨਾਲ ਦੌੜੀਏ।
[IRV | PA | NT | Hebrews | Chapter 12 | Verse 2] ਅਤੇ ਯਿਸੂ ਦੀ ਵੱਲ ਵੇਖਦੇ ਰਹੀਏ ਜਿਹੜਾ ਵਿਸ਼ਵਾਸ ਦਾ ਕਰਤਾ ਅਤੇ ਸੰਪੂਰਨ ਕਰਨ ਵਾਲਾ ਹੈ, ਜਿਸ ਨੇ ਉਸ ਅਨੰਦ ਲਈ ਜੋ ਉਹ ਦੇ ਅੱਗੇ ਧਰਿਆ ਹੋਇਆ ਸੀ ਸ਼ਰਮ ਨੂੰ ਤੁਛ ਜਾਣ ਕੇ ਸਲੀਬ ਦਾ ਦੁੱਖ ਝੱਲਿਆ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਿੰਘਾਸਣ ਦੇ ਸੱਜੇ ਪਾਸੇ ਬਿਰਾਜਮਾਨ ਹੋਇਆ।
[IRV | PA | NT | Hebrews | Chapter 12 | Verse 3] ਤੁਸੀਂ ਉਸ ਵੱਲ ਧਿਆਨ ਕਰੋ ਜਿਸ ਨੇ ਆਪਣੇ ਉੱਤੇ ਪਾਪੀਆਂ ਦਾ ਐਨਾ ਵਿਦਰੋਹ ਸਹਿ ਲਿਆ ਕਿ ਇਹ ਨਾ ਹੋਵੇ ਜੋ ਤੁਸੀਂ ਅੱਕ ਕੇ ਆਪਣੇ ਮਨ ਵਿੱਚ ਢਿੱਲੇ ਪੈ ਜਾਓ।
[IRV | PA | NT | Hebrews | Chapter 12 | Verse 4] ਤੁਸੀਂ ਪਾਪ ਨਾਲ ਲੜਦੇ ਹੋਏ ਅਜੇ ਲਹੂ ਦੇ ਵਹਾਏ ਜਾਣ ਤੱਕ ਸਾਹਮਣਾ ਨਹੀਂ ਕੀਤਾ।
[IRV | PA | NT | Hebrews | Chapter 12 | Verse 5] ਅਤੇ ਤੁਸੀਂ ਉਸ ਉਪਦੇਸ਼ ਨੂੰ ਭੁੱਲ ਗਏ ਹੋ ਜਿਸ ਤੋਂ ਤੁਹਾਨੂੰ ਪੁੱਤਰਾਂ ਵਾਂਗੂੰ ਸਮਝਿਆ ਜਾਂਦਾ ਹੈ, - ਹੇ ਮੇਰੇ ਪੁੱਤਰ ਤੂੰ ਪ੍ਰਭੂ ਦੀ ਤਾੜ ਨੂੰ ਤੁੱਛ ਨਾ ਜਾਣ, ਅਤੇ ਜਦ ਉਹ ਤੈਨੂੰ ਝਿੜਕੇ ਤਾਂ ਤੂੰ ਸਾਹਸ ਨਾ ਛੱਡ,
[IRV | PA | NT | Hebrews | Chapter 12 | Verse 6] ਕਿਉਂ ਜੋ ਪ੍ਰਭੂ ਜਿਸ ਦੇ ਨਾਲ ਪਿਆਰ ਕਰਦਾ ਹੈ, ਉਸੇ ਨੂੰ ਤਾੜਦਾ ਹੈ, ਅਤੇ ਹਰੇਕ ਪੁੱਤਰ ਨੂੰ ਜਿਸ ਨੂੰ ਉਹ ਕਬੂਲ ਕਰਦਾ ਹੈ, ਉਹ ਕੋਰੜੇ ਮਾਰਦਾ ਹੈ।
[IRV | PA | NT | Hebrews | Chapter 12 | Verse 7] ਤੁਸੀਂ ਦੁੱਖ ਨੂੰ ਤਾੜਨਾ ਦੀ ਤਰ੍ਹਾਂ ਸਹਿ ਲਵੋ। ਪਰਮੇਸ਼ੁਰ ਤੁਹਾਡੇ ਨਾਲ ਪੁੱਤਰਾਂ ਦੀ ਤਰ੍ਹਾਂ ਵਿਵਹਾਰ ਕਰਦਾ ਹੈ, ਕਿਉਂ ਜੋ ਉਹ ਕਿਹੜਾ ਪੁੱਤ੍ਰ ਹੈ ਜਿਹ ਨੂੰ ਪਿਉ ਨਹੀਂ ਤਾੜਦਾ?
[IRV | PA | NT | Hebrews | Chapter 12 | Verse 8] ਪਰ ਜੇ ਤੁਹਾਡੀ ਤਾੜਨਾ ਨਹੀਂ ਹੋਈ ਜੋ ਸਭਨਾਂ ਦੀ ਹੁੰਦੀ ਹੈ ਤਾਂ ਤੁਸੀਂ ਹਰਾਮ ਦੀ ਸੰਤਾਨ ਹੋ!
[IRV | PA | NT | Hebrews | Chapter 12 | Verse 9] ਫੇਰ ਸਾਡੇ ਸਰੀਰਕ ਪਿਉ ਜਿਹੜੇ ਸਾਡੀ ਤਾੜਨਾ ਕਰਦੇ ਸਨ ਅਤੇ ਅਸੀਂ ਫਿਰ ਵੀ ਉਹਨਾਂ ਦਾ ਆਦਰ ਕੀਤਾ। ਤਾਂ ਭਲਾ, ਅਸੀਂ ਆਤਮਿਆਂ ਦੇ ਪਿਤਾ ਦੇ ਵਧੇਰੇ ਅਧੀਨ ਨਾ ਹੋਈਏ ਅਤੇ ਜੀਵੀਏ?
[IRV | PA | NT | Hebrews | Chapter 12 | Verse 10] ਉਹ ਤਾਂ ਥੋੜ੍ਹੇ ਦਿਨਾਂ ਦੇ ਲਈ ਆਪਣੀ ਸਮਝ ਦੇ ਅਨੁਸਾਰ ਤਾੜਨਾ ਕਰਦੇ ਸਨ ਪਰ ਇਹ ਲਾਭ ਦੇ ਲਈ ਕਰਦਾ ਹੈ ਭਈ ਅਸੀਂ ਉਹ ਦੀ ਪਵਿੱਤਰਤਾਈ ਵਿੱਚ ਸਾਂਝੀ ਹੋਈਏ।
[IRV | PA | NT | Hebrews | Chapter 12 | Verse 11] ਸਾਰੀ ਤਾੜਨਾ ਤਾਂ ਉਸ ਵੇਲੇ ਅਨੰਦ ਦੀ ਨਹੀਂ ਸਗੋਂ ਦੁੱਖ ਦੀ ਗੱਲ ਜਾਪਦੀ ਹੈ ਪਰ ਮਗਰੋਂ ਉਹ ਉਹਨਾਂ ਨੂੰ ਜਿਹੜੇ ਉਹ ਦੇ ਨਾਲ ਸਿਖਾਏ ਗਏ ਹਨ ਧਰਮ ਦਾ ਸ਼ਾਂਤੀ-ਦਾਇਕ ਫਲ ਦਿੰਦੀ ਹੈ।
