[IRV | PA | NT | Hebrews | Chapter 13 | Verse 1] ਭਾਈਚਾਰੇ ਦਾ ਪਿਆਰ ਬਣਿਆ ਰਹੇ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 2] ਪਰਾਹੁਣਚਾਰੀ ਕਰਨੀ ਨਾ ਭੁੱਲੋ, ਕਿਉਂ ਜੋ ਇਹ ਕਰ ਕੇ ਕਈਆਂ ਨੇ ਦੂਤਾਂ ਨੂੰ ਬਿਨ੍ਹਾਂ ਪਛਾਣੇ ਘਰ ਉਤਾਰਿਆ ਹੈ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 3] ਬੰਧੂਆਂ ਨੂੰ ਇਸ ਤਰ੍ਹਾਂ ਚੇਤੇ ਰੱਖੋ ਜਿਵੇਂ ਤੁਸੀਂ ਆਪ ਵੀ ਉਹਨਾਂ ਦੇ ਨਾਲ ਬੰਧਨ ਵਿੱਚ ਪਏ ਹੋਏ ਹੋ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਜਿਹੜੇ ਜ਼ਬਰਦਸਤੀ ਝੱਲਦੇ ਹਨ ਚੇਤੇ ਰੱਖੋ ਇਹ ਜਾਣ ਕੇ ਭਈ ਤੁਸੀਂ ਆਪ ਵੀ ਸਰੀਰ ਵਾਲੇ ਹੋ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 4] ਵਿਆਹ ਕਰਨਾ ਸਭਨਾਂ ਵਿੱਚ ਆਦਰਯੋਗ ਗਿਣਿਆ ਜਾਵੇ ਅਤੇ ਵਿਆਹ ਦਾ ਵਿਛਾਉਣਾ ਬੇਦਾਗ ਰਹੇ ਕਿਉਂਕਿ ਪਰਮੇਸ਼ੁਰ ਹਰਾਮਕਾਰਾਂ ਅਤੇ ਵਿਭਚਾਰੀਆਂ ਦਾ ਨਿਆਂ ਕਰੇਗਾ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 5] ਤੁਹਾਡਾ ਜੀਵਨ ਮਾਇਆ ਦੇ ਲੋਭ ਤੋਂ ਦੂਰ ਰਹੇ। ਜੋ ਕੁਝ ਤੁਹਾਡੇ ਕੋਲ ਹੈ ਉਸ ਉੱਤੇ ਸਬਰ ਕਰੋ ਕਿਉਂ ਜੋ ਉਹ ਨੇ ਆਪ ਆਖਿਆ ਹੈ ਭਈ ਮੈਂ ਤੈਨੂੰ ਕਦੇ ਨਾ ਛੱਡਾਂਗਾ, ਨਾ ਕਦੇ ਤੈਨੂੰ ਤਿਆਗਾਂਗਾ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 6] ਇਸ ਕਰਕੇ ਅਸੀਂ ਹੌਂਸਲੇ ਨਾਲ ਆਖਦੇ ਹਾਂ, - ਪ੍ਰਭੂ ਮੇਰਾ ਸਹਾਇਕ ਹੈ, ਮੈਂ ਨਾ ਡਰਾਂਗਾ, ਮਨੁੱਖ ਮੇਰਾ ਕੀ ਕਰ ਸਕਦਾ ਹੈ?
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 7] ਤੁਸੀਂ ਆਪਣੇ ਆਗੂਆਂ ਨੂੰ ਚੇਤੇ ਰੱਖੋ ਜਿਨ੍ਹਾਂ ਤੁਹਾਨੂੰ ਪਰਮੇਸ਼ੁਰ ਦਾ ਬਚਨ ਸੁਣਾਇਆ। ਉਹਨਾਂ ਦੀ ਚਾਲ ਦੇ ਅੰਤ ਵੱਲ ਧਿਆਨ ਕਰ ਕੇ ਉਹਨਾਂ ਦੇ ਵਿਸ਼ਵਾਸ ਦੀ ਰੀਸ ਕਰੋ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 8] ਯਿਸੂ ਮਸੀਹ ਕੱਲ, ਅੱਜ ਅਤੇ ਜੁੱਗੋ-ਜੁੱਗ ਇੱਕੋ ਜਿਹਾ ਹੈ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 9] ਤੁਸੀਂ ਰੰਗ ਬਰੰਗੀਆਂ ਅਤੇ ਓਪਰੀਆਂ ਸਿੱਖਿਆਂਵਾਂ ਨਾਲ ਭਰਮਾਏ ਨਾ ਜਾਓ, ਕਿਉਂ ਜੋ ਚੰਗਾ ਇਹ ਹੈ ਕਿ ਮਨ ਕਿਰਪਾ ਨਾਲ ਤਕੜਾ ਕੀਤਾ ਜਾਵੇ, ਨਾ ਕਿ ਭੋਜਨਾਂ ਨਾਲ ਜਿਨ੍ਹਾਂ ਤੋਂ ਉਨ੍ਹਾਂ ਦੇ ਵਰਤਣ ਵਾਲਿਆਂ ਨੂੰ ਕੁਝ ਲਾਭ ਨਾ ਹੋਇਆ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 10] ਸਾਡੀ ਤਾਂ ਇੱਕ ਜਗਵੇਦੀ ਹੈ ਜਿਸ ਉੱਤੋਂ ਡੇਰੇ ਦੇ ਸੇਵਕਾਂ ਨੂੰ ਖਾਣ ਦਾ ਹੱਕ ਨਹੀਂ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 11] ਕਿਉਂਕਿ ਜਿਨ੍ਹਾਂ ਪਸ਼ੂਆਂ ਦਾ ਲਹੂ ਪ੍ਰਧਾਨ ਜਾਜਕ ਪਵਿੱਤਰ ਸਥਾਨ ਵਿੱਚ ਪਾਪ ਦੇ ਲਈ ਲੈ ਜਾਂਦਾ ਹੈ ਉਨ੍ਹਾਂ ਦੇ ਸਰੀਰ ਡੇਰਿਓਂ ਬਾਹਰ ਸਾੜੇ ਜਾਂਦੇ ਹਨ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 12] ਇਸ ਲਈ ਯਿਸੂ ਨੇ ਵੀ ਫਾਟਕੋਂ ਬਾਹਰ ਦੁੱਖ ਝੱਲਿਆ ਕਿ ਲੋਕਾਂ ਨੂੰ ਆਪਣੇ ਲਹੂ ਨਾਲ ਪਵਿੱਤਰ ਕਰੇ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 13] ਸੋ ਆਓ, ਅਸੀਂ ਉਹ ਦੇ ਨਮਿੱਤ ਨਿੰਦਿਆ ਸਹਿੰਦੇ ਹੋਏ ਤੰਬੂ ਤੋਂ ਬਾਹਰ ਉਹ ਦੇ ਕੋਲ ਚੱਲੀਏ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 14] ਕਿਉਂ ਜੋ ਸਾਡਾ ਇੱਥੇ ਕੋਈ ਸਥਿਰ ਰਹਿਣ ਵਾਲਾ ਸ਼ਹਿਰ ਨਹੀਂ ਹੈ, ਸਗੋਂ ਅਸੀਂ ਆਉਣ ਵਾਲੇ ਸ਼ਹਿਰ ਨੂੰ ਭਾਲਦੇ ਹਾਂ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 15] ਸੋ ਅਸੀਂ ਉਹ ਦੇ ਦੁਆਰਾ ਉਸਤਤ ਦਾ ਬਲੀਦਾਨ ਅਰਥਾਤ ਉਨ੍ਹਾਂ ਬੁਲ੍ਹਾਂ ਦਾ ਫਲ ਜਿਹੜੇ ਉਹ ਦੇ ਨਾਮ ਨੂੰ ਮੰਨ ਲੈਂਦੇ ਹਨ, ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਸਦਾ ਚੜ੍ਹਾਇਆ ਕਰੀਏ।
[IRV | PA | NT | Hebrews | Chapter 13 | Verse 16] ਪਰ ਭਲਾ ਕਰਨਾ ਅਤੇ ਪਰਉਪਕਾਰ ਕਰਨਾ ਨਾ ਭੁੱਲਿਓ, ਕਿਉਂਕਿ ਅਜਿਹੇ ਬਲੀਦਾਨਾਂ ਤੋਂ ਪਰਮੇਸ਼ੁਰ ਖੁਸ਼ ਹੁੰਦਾ ਹੈ।
