[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 1] Saul reigned one year; and when he had reigned two years over Israel,
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 2] Saul chose him three thousand men of Israel; whereof two thousand were with Saul in Michmash and in mount Beth-el, and a thousand were with Jonathan in Gibeah of Benjamin: and the rest of the people he sent every man to his tent.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 3] And Jonathan smote the garrison of the Philistines that was in Geba, and the Philistines heard of it. And Saul blew the trumpet throughout all the land, saying, Let the Hebrews hear.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 4] And all Israel heard say that Saul had smitten a garrison of the Philistines, and that Israel also was had in abomination with the Philistines. And the people were called together after Saul to Gilgal.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 5] And the Philistines gathered themselves together to fight with Israel, thirty thousand chariots, and six thousand horsemen, and people as the sand which is on the sea shore in multitude: and they came up, and pitched in Michmash, eastward from Beth-aven.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 6] When the men of Israel saw that they were in a strait, (for the people were distressed,) then the people did hide themselves in caves, and in thickets, and in rocks, and in high places, and in pits.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 7] And some of the Hebrews went over Jordan to the land of Gad and Gilead. As for Saul, he was yet in Gilgal, and all the people followed him trembling.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 8] And he tarried seven days, according to the set time that Samuel had appointed: but Samuel came not to Gilgal; and the people were scattered from him.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 9] And Saul said, Bring hither a burnt offering to me, and peace offerings. And he offered the burnt offering.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 10] And it came to pass, that as soon as he had made an end of offering the burnt offering, behold, Samuel came; and Saul went out to meet him, that he might salute him.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 11] And Samuel said, What hast thou done? And Saul said, Because I saw that the people were scattered from me, and that thou camest not within the days appointed, and that the Philistines gathered themselves together at Michmash;
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 12] therefore said I, The Philistines will come down now upon me to Gilgal, and I have not made supplication unto the Lord: I forced myself therefore, and offered a burnt offering.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 13] And Samuel said to Saul, Thou hast done foolishly: thou hast not kept the commandment of the Lord thy God, which he commanded thee: for now would the Lord have established thy kingdom upon Israel for ever.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 14] But now thy kingdom shall not continue: the Lord hath sought him a man after his own heart, and the Lord hath commanded him to be captain over his people, because thou hast not kept that which the Lord commanded thee.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 15] And Samuel arose, and gat him up from Gilgal unto Gibeah of Benjamin. And Saul numbered the people that were present with him, about six hundred men.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 16] And Saul, and Jonathan his son, and the people that were present with them, abode in Gibeah of Benjamin: but the Philistines encamped in Michmash.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 17] And the spoilers came out of the camp of the Philistines in three companies: one company turned unto the way that leadeth to Ophrah, unto the land of Shual:
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 18] and another company turned the way to Beth-horon: and another company turned to the way of the border that looketh to the valley of Zeboim toward the wilderness.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 19] Now there was no smith found throughout all the land of Israel: for the Philistines said, Lest the Hebrews make them swords or spears:
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 20] but all the Israelites went down to the Philistines, to sharpen every man his share, and his coulter, and his axe, and his mattock.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 21] Yet they had a file for the mattocks, and for the coulters, and for the forks, and for the axes, and to sharpen the goads.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 22] So it came to pass in the day of battle, that there was neither sword nor spear found in the hand of any of the people that were with Saul and Jonathan: but with Saul and with Jonathan his son was there found.
[KJV | EN | OT | 1 Samuel | Chapter 13 | Verse 23] And the garrison of the Philistines went out to the passage of Michmash.
