[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 1] And the child Samuel ministered unto the Lord before Eli. And the word of the Lord was precious in those days; there was no open vision.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 2] And it came to pass at that time, when Eli was laid down in his place, and his eyes began to wax dim, that he could not see;
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 3] and ere the lamp of God went out in the temple of the Lord, where the ark of God was, and Samuel was laid down to sleep;
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 4] that the Lord called Samuel: and he answered, Here am I.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 5] And he ran unto Eli, and said, Here am I; for thou calledst me. And he said, I called not; lie down again. And he went and lay down.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 6] And the Lord called yet again, Samuel. And Samuel arose and went to Eli, and said, Here am I; for thou didst call me. And he answered, I called not, my son; lie down again.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 7] Now Samuel did not yet know the Lord, neither was the word of the Lord yet revealed unto him.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 8] And the Lord called Samuel again the third time. And he arose and went to Eli, and said, Here am I; for thou didst call me. And Eli perceived that the Lord had called the child.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 9] Therefore Eli said unto Samuel, Go, lie down: and it shall be, if he call thee, that thou shalt say, Speak, Lord; for thy servant heareth. So Samuel went and lay down in his place.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 10] And the Lord came, and stood, and called as at other times, Samuel, Samuel. Then Samuel answered, Speak; for thy servant heareth.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 11] And the Lord said to Samuel, Behold, I will do a thing in Israel, at which both the ears of every one that heareth it shall tingle.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 12] In that day I will perform against Eli all things which I have spoken concerning his house: when I begin, I will also make an end.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 13] For I have told him that I will judge his house for ever for the iniquity which he knoweth; because his sons made themselves vile, and he restrained them not.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 14] And therefore I have sworn unto the house of Eli, that the iniquity of Eli’s house shall not be purged with sacrifice nor offering for ever.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 15] And Samuel lay until the morning, and opened the doors of the house of the Lord. And Samuel feared to shew Eli the vision.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 16] Then Eli called Samuel, and said, Samuel, my son. And he answered, Here am I.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 17] And he said, What is the thing that the Lord hath said unto thee? I pray thee hide it not from me: God do so to thee, and more also, if thou hide any thing from me of all the things that he said unto thee.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 18] And Samuel told him every whit, and hid nothing from him. And he said, It is the Lord: let him do what seemeth him good.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 19] And Samuel grew, and the Lord was with him, and did let none of his words fall to the ground.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 20] And all Israel from Dan even to Beer-sheba knew that Samuel was established to be a prophet of the Lord.
[KJV | EN | OT | 1 Samuel | Chapter 3 | Verse 21] And the Lord appeared again in Shiloh: for the Lord revealed himself to Samuel in Shiloh by the word of the Lord.
