[LXX | EL | OT | Nahum | Chapter 1 | Verse 1] ΛΗΜΜΑ Νινευὴ, βιβλίον ὁράσεως Ναοὺμ τοῦ Ἐλκεσαίου.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 2] Θεὸς ζηλωτὴς, καὶ ἐκδικῶν Κύριος, ἐκδικῶν Κύριος μετὰ θυμοῦ, ἐκδικῶν Κύριος τοὺς ὑπεναντίους αὐτοῦ, καὶ ἐξαίρων αὐτὸς τοὺς ἐχθροὺς αὐτοῦ.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 3] Κύριος μακρόθυμος, καὶ μεγάλη ἡ ἰσχὺς αὐτοῦ, καὶ ἀθῶον οὐκ ἀθωώσει Κύριος· ἐν συντελείᾳ, καὶ ἐν συσσεισμῷ ἡ ὁδὸς αὐτοῦ, καὶ νεφέλαι κονιορτὸς ποδῶν αὐτοῦ.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 4] Ἀπειλῶν θαλάσσῃ, καὶ ξηραίνων αὐτὴν, καὶ πάντας τοὺς ποταμοὺς ἐξερημῶν· ὠλιγώθη ἡ Βασανίτις, καὶ ὁ Κάρμηλος, καὶ τὰ ἐξανθοῦντα τοῦ Λιβάνου ἐξέλιπε.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 5] Τὰ ὄρη ἐσείσθησαν ἀπʼ αὐτοῦ, καὶ οἱ βουνοὶ ἐσαλεύθησαν· καὶ ἀνεστάλη ἡ γῆ ἀπὸ προσώπου αὐτοῦ, ἡ σύμπασα καὶ πάντες οἱ κατοικοῦντες ἐν αὐτῇ.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 6] Ἀπὸ προσώπου ὀργῆς αὐτοῦ τίς ὑποστήσεται; καὶ τίς ἀντιστήσεται ἐν ὀργῇ θυμοῦ αὐτοῦ; ὁ θυμὸς αὐτοῦ τήκει ἀρχὰς, καὶ αἱ πέτραι διεθρύβησαν ἀπʼ αὐτοῦ.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 7] Χρηστὸς Κύριος τοῖς ὑπομένουσιν αὐτὸν ἐν ἡμέρᾳ θλίψεως, καὶ γινώσκων τοὺς εὐλαβουμένους αὐτόν.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 8] Καὶ ἐν κατακλυσμῷ πορείας συντέλειαν ποιήσεται, τοὺς ἐπεγειρομένους καὶ τοὺς ἐχθροὺς αὐτοῦ διώξεται σκότος.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 9] Τί λογίζεσθε ἐπὶ τὸν Κύριον; συντέλειαν αὐτὸς ποιήσεται, οὐκ ἐκδικήσει δὶς ἐπιτοαυτὸ ἐν θλίψει.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 10] Ὅτι ἕως θεμελίου αὐτοῦ χερσωθήσεται· καὶ ὡς σμῖλαξ περιπλεκομένη βρωθήσεται, καὶ ὡς καλάμη ξηρασίας μεστή.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 11] Ἐκ σοῦ ἐξελεύσεται λογισμὸς κατὰ τοῦ Κυρίου, πονηρὰ βουλευόμενος ἐναντία.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 12] Τάδε λέγει Κύριος κατάρχων ὑδάτων πολλῶν, καὶ οὕτως διασταλήσονται, καὶ ἡ ἀκοή σου οὐκ ἐνακουσθήσεται ἔτι.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 13] Καὶ νῦν συντρίψω τὴν ῥάβδον αὐτοῦ ἀπὸ σοῦ, καὶ τοὺς δεσμοὺς διαῤῥήξω.
[LXX | EL | OT | Nahum | Chapter 1 | Verse 14] Καὶ ἐντελεῖται περὶ σοῦ Κύριος, οὐ σπαρήσεται ἐκ τοῦ ὀνόματός σου ἔτι· ἐξ οἴκου θεοῦ σου ἐξολοθρεύσω τὰ γλυπτὰ, καὶ χωνευτὰ, θήσομαι ταφήν σου, ὅτι ταχεῖς.
