[BBE | EN | NT | John | Chapter 12 | Verse 1] Then, six days before the Passover, Jesus came to Bethany where Lazarus was, whom Jesus had made to come back from the dead.
[BBE | EN | NT | John | Chapter 12 | Verse 2] So they made him a meal there, and he was waited on by Martha, and Lazarus was among those who were seated with him at table.
[BBE | EN | NT | John | Chapter 12 | Verse 3] Then Mary, taking a pound of perfumed oil of great value, put it on the feet of Jesus and made them dry with her hair: and the house became full of the smell of the perfume.
[BBE | EN | NT | John | Chapter 12 | Verse 4] But one of his disciples, Judas Iscariot (who was to give him up), said,
[BBE | EN | NT | John | Chapter 12 | Verse 5] Why was not this perfume traded for three hundred pence, and the money given to the poor?
[BBE | EN | NT | John | Chapter 12 | Verse 6] (He said this, not because he had any love for the poor; but because he was a thief, and, having the money-bag, took for himself what was put into it.)
[BBE | EN | NT | John | Chapter 12 | Verse 7] Then Jesus said, Let her be. Let her keep what she has for the day of my death.
[BBE | EN | NT | John | Chapter 12 | Verse 8] The poor you have ever with you, but me you have not for ever.
[BBE | EN | NT | John | Chapter 12 | Verse 9] Then a great number of the Jews had news that he was there: and they came, not only because of Jesus, but so that they might see Lazarus who had been dead and to whom he had given life.
[BBE | EN | NT | John | Chapter 12 | Verse 10] Now there was talk among the chief priests of putting Lazarus to death;
[BBE | EN | NT | John | Chapter 12 | Verse 11] For because of him a great number of the Jews went away and had belief in Jesus.
[BBE | EN | NT | John | Chapter 12 | Verse 12] The day after, a great number of people who were there for the feast, when they had the news that Jesus was coming to Jerusalem,
[BBE | EN | NT | John | Chapter 12 | Verse 13] Took branches of palm-trees and went out to him, crying, A blessing on him who comes in the name of the Lord, the King of Israel!
[BBE | EN | NT | John | Chapter 12 | Verse 14] And Jesus saw a young ass and took his seat on it; as the Writings say,
[BBE | EN | NT | John | Chapter 12 | Verse 15] Have no fear, daughter of Zion: see your King is coming, seated on a young ass.
[BBE | EN | NT | John | Chapter 12 | Verse 16] (These things were not clear to his disciples at first: but when Jesus had been lifted up into his glory, then it came to their minds that these things in the Writings were about him and that they had been done to him.)
[BBE | EN | NT | John | Chapter 12 | Verse 17] Now the people who were with him when his voice came to Lazarus in the place of the dead, and gave him life again, had been talking about it.
[BBE | EN | NT | John | Chapter 12 | Verse 18] And that was the reason the people went out to him, because it had come to their ears that he had done this sign.
[BBE | EN | NT | John | Chapter 12 | Verse 19] Then the Pharisees said one to another, You see, you are unable to do anything: the world has gone after him.
[BBE | EN | NT | John | Chapter 12 | Verse 20] Now there were some Greeks among the people who had come up to give worship at the feast:
[BBE | EN | NT | John | Chapter 12 | Verse 21] They came to Philip, who was of Beth-saida in Galilee, and made a request, saying, Sir, we have a desire to see Jesus.
[BBE | EN | NT | John | Chapter 12 | Verse 22] Philip went and gave word of it to Andrew; and Andrew went with Philip to Jesus.
[BBE | EN | NT | John | Chapter 12 | Verse 23] And Jesus said to them in answer, The hour of the glory of the Son of man has come.
[BBE | EN | NT | John | Chapter 12 | Verse 24] Truly I say to you, If a seed of grain does not go into the earth and come to an end, it is still a seed and no more; but through its death it gives much fruit.
[BBE | EN | NT | John | Chapter 12 | Verse 25] He who is in love with life will have it taken from him; and he who has no care for his life in this world will keep it for ever and ever.
[BBE | EN | NT | John | Chapter 12 | Verse 26] If any man is my servant, let him come after me; and where I am, there will my servant be. If any man becomes my servant, my Father will give him honour.
[BBE | EN | NT | John | Chapter 12 | Verse 27] Now is my soul troubled; and what am I to say? Father, keep me from this hour. No: for this purpose have I come to this hour.
[BBE | EN | NT | John | Chapter 12 | Verse 28] Father, give glory to your name. Then there came a voice out of heaven, saying, I have given it glory, and I will give it glory again.
[BBE | EN | NT | John | Chapter 12 | Verse 29] Hearing the sound, a number of people who were there said that it was thunder: others said, An angel was talking to him.
[BBE | EN | NT | John | Chapter 12 | Verse 30] Jesus said in answer, This voice came not for me but for you.
[BBE | EN | NT | John | Chapter 12 | Verse 31] Now is this world to be judged: now will the ruler of this world be sent out.
