[BBE | EN | NT | John | Chapter 11 | Verse 1] Now a certain man named Lazarus was ill; he was of Bethany, the town of Mary and her sister Martha.
[BBE | EN | NT | John | Chapter 11 | Verse 2] (The Mary whose brother Lazarus was ill, was the Mary who put perfumed oil on the Lord and made his feet dry with her hair.)
[BBE | EN | NT | John | Chapter 11 | Verse 3] So the sisters sent to him, saying, Lord, your dear friend is ill.
[BBE | EN | NT | John | Chapter 11 | Verse 4] When this came to his ears, Jesus said, The end of this disease is not death, but the glory of God, so that the Son of God may have glory because of it.
[BBE | EN | NT | John | Chapter 11 | Verse 5] Now Jesus had love in his heart for Martha and her sister and Lazarus.
[BBE | EN | NT | John | Chapter 11 | Verse 6] So when the news came to him that Lazarus was ill, he did not go from the place where he was for two days.
[BBE | EN | NT | John | Chapter 11 | Verse 7] Then after that time he said to his disciples, Let us go into Judaea again.
[BBE | EN | NT | John | Chapter 11 | Verse 8] The disciples said to him, Master, the Jews were attempting only the other day to have you stoned, and are you going back there again?
[BBE | EN | NT | John | Chapter 11 | Verse 9] Then Jesus said in answer, Are there not twelve hours in the day? A man may go about in the day without falling, because he sees the light of this world.
[BBE | EN | NT | John | Chapter 11 | Verse 10] But if a man goes about in the night, he may have a fall because the light is not in him.
[BBE | EN | NT | John | Chapter 11 | Verse 11] These things said he: and after that he said to them, Lazarus our friend is at rest; but I go so that I may make him come out of his sleep.
[BBE | EN | NT | John | Chapter 11 | Verse 12] Then his disciples said to him, Lord, if he is resting he will get well.
[BBE | EN | NT | John | Chapter 11 | Verse 13] Jesus, however, was talking of his death: but they had the idea that he was talking about taking rest in sleep.
[BBE | EN | NT | John | Chapter 11 | Verse 14] Then Jesus said to them clearly, Lazarus is dead.
[BBE | EN | NT | John | Chapter 11 | Verse 15] And because of you I am glad I was not there, so that you may have faith; but let us go to him.
[BBE | EN | NT | John | Chapter 11 | Verse 16] Then Thomas, who was named Didymus, said to the other disciples, Let us go so that we may be with him in death.
[BBE | EN | NT | John | Chapter 11 | Verse 17] Now when Jesus came, he made the discovery that Lazarus had been put into the earth four days before.
