[BBE | EN | NT | John | Chapter 15 | Verse 1] I am the true vine and my Father is the gardener.
[BBE | EN | NT | John | Chapter 15 | Verse 2] He takes away every branch in me which has no fruit, and every branch which has fruit he makes clean, so that it may have more fruit.
[BBE | EN | NT | John | Chapter 15 | Verse 3] You are clean, even now, through the teaching which I have given you.
[BBE | EN | NT | John | Chapter 15 | Verse 4] Be in me at all times as I am in you. As the branch is not able to give fruit of itself, if it is not still on the vine, so you are not able to do so if you are not in me.
[BBE | EN | NT | John | Chapter 15 | Verse 5] I am the vine, you are the branches: he who is in me at all times as I am in him, gives much fruit, because without me you are able to do nothing.
[BBE | EN | NT | John | Chapter 15 | Verse 6] If a man does not keep himself in me, he becomes dead and is cut off like a dry branch; such branches are taken up and put in the fire and burned.
[BBE | EN | NT | John | Chapter 15 | Verse 7] If you are in me at all times, and my words are in you, then anything for which you make a request will be done for you.
[BBE | EN | NT | John | Chapter 15 | Verse 8] Here is my Father's glory, in that you give much fruit and so are my true disciples.
[BBE | EN | NT | John | Chapter 15 | Verse 9] Even as the Father has given me his love, so I have given my love to you: be ever in my love.
[BBE | EN | NT | John | Chapter 15 | Verse 10] If you keep my laws, you will be ever in my love, even as I have kept my Father's laws, and am ever in his love.
[BBE | EN | NT | John | Chapter 15 | Verse 11] I have said these things to you so that I may have joy in you and so that your joy may be complete.
[BBE | EN | NT | John | Chapter 15 | Verse 12] This is the law I give you: Have love one for another, even as I have love for you.
[BBE | EN | NT | John | Chapter 15 | Verse 13] Greater love has no man than this, that a man gives up his life for his friends.
[BBE | EN | NT | John | Chapter 15 | Verse 14] You are my friends, if you do what I give you orders to do.
[BBE | EN | NT | John | Chapter 15 | Verse 15] No longer do I give you the name of servants; because a servant is without knowledge of what his master is doing: I give you the name of friends, because I have given you knowledge of all the things which my Father has said to me.
[BBE | EN | NT | John | Chapter 15 | Verse 16] You did not take me for yourselves, but I took you for myself; and I gave you the work of going about and producing fruit which will be for ever; so that whatever request you make to the Father in my name he may give it to you.
[BBE | EN | NT | John | Chapter 15 | Verse 17] So this is my law for you: Have love one for another.
[BBE | EN | NT | John | Chapter 15 | Verse 18] If you are hated by the world, keep in mind that I was hated by the world before you.
[BBE | EN | NT | John | Chapter 15 | Verse 19] If you were of the world, you would be loved by the world: but because you are not of the world, but I have taken you out of the world, you are hated by the world.
[BBE | EN | NT | John | Chapter 15 | Verse 20] Keep in mind the words I said to you, A servant is not greater than his lord. If they were cruel to me, they will be cruel to you; if they kept my words, they will keep yours.
[BBE | EN | NT | John | Chapter 15 | Verse 21] They will do all this to you because of my name — because they have no knowledge of him who sent me.
[BBE | EN | NT | John | Chapter 15 | Verse 22] If I had not come and been their teacher they would have had no sin: but now they have no reason to give for their sin.
[BBE | EN | NT | John | Chapter 15 | Verse 23] He who has hate for me has hate for my Father.
[BBE | EN | NT | John | Chapter 15 | Verse 24] If I had not done among them the works which no other man ever did, they would have had no sin: but now they have seen, and they have had hate in their hearts for me and my Father.
[BBE | EN | NT | John | Chapter 15 | Verse 25] This comes about so that the writing in their law may be made true, Their hate for me was without cause.
[BBE | EN | NT | John | Chapter 15 | Verse 26] When the Helper comes, whom I will send to you from the Father even the Spirit of true knowledge who comes from the Father — he will give witness about me;
[BBE | EN | NT | John | Chapter 15 | Verse 27] And you, in addition, will give witness because you have been with me from the first.
